time,activity,mean,variance,tag_id
05:31.1,1,-51,0,3
05:31.3,1,-51,0,3
05:31.4,1,-51,0,3
05:31.4,1,-50,1,3
05:31.6,1,-50,1,3
05:31.7,1,-49,0,3
05:31.7,1,-50,0,3
05:31.8,1,-50,0,3
05:31.9,1,-49,0,3
05:32.0,1,-51,0,3
05:32.1,1,-50,1,3
05:32.2,1,-50,0,3
05:32.2,1,-51,0,3
05:32.3,1,-51,0,3
05:32.4,1,-51,1,3
05:32.5,1,-50,0,3
05:32.6,1,-51,0,3
05:32.7,1,-50,0,3
05:32.8,1,-51,0,3
05:32.9,1,-51,0,3
05:33.0,1,-52,0,3
05:33.2,1,-51,0,3
05:33.3,1,-51,0,3
05:33.4,1,-51,0,3
05:33.4,1,-51,0,3
05:33.5,1,-51,0,3
05:33.5,1,-51,0,3
05:33.6,1,-51,0,3
05:33.7,1,-51,0,3
05:33.8,1,-51,0,3
05:33.9,1,-51,0,3
05:34.0,1,-51,0,3
05:34.2,1,-51,0,3
05:34.3,1,-51,0,3
05:34.4,1,-49,0,3
05:34.5,1,-49,0,3
05:34.6,1,-49,0,3
05:34.7,1,-50,0,3
05:34.8,1,-51,0,3
05:34.8,1,-50,1,3
05:34.9,1,-49,0,3
05:35.0,1,-51,0,3
05:35.2,1,-58,1,1
05:35.2,1,-50,0,3
05:35.3,1,-50,1,3
05:35.4,1,-49,0,3
05:35.5,1,-57,9,2
05:35.5,1,-49,0,3
05:35.6,1,-49,0,3
05:35.7,1,-50,1,3
05:35.7,1,-49,0,3
05:35.8,1,-50,0,3
05:35.9,1,-50,0,3
05:36.0,1,-51,0,3
05:36.2,1,-51,0,3
05:36.3,1,-56,1,2
05:36.4,1,-59,2,1
05:36.4,1,-51,0,3
05:36.5,1,-51,0,3
05:36.6,1,-51,0,3
05:36.7,1,-51,0,3
05:36.7,1,-50,0,3
05:36.8,1,-50,0,3
05:36.9,1,-50,0,3
05:37.0,1,-51,0,3
05:37.2,1,-51,0,3
05:37.3,1,-56,3,2
05:37.3,1,-50,2,3
05:37.4,1,-55,0,1
05:37.4,1,-49,0,3
05:37.5,1,-55,0,1
05:37.6,1,-56,1,1
05:37.6,1,-49,0,3
05:37.7,1,-49,0,3
05:37.8,1,-51,0,3
05:37.8,1,-49,0,3
05:37.9,1,-56,0,2
05:37.9,1,-50,1,3
05:38.0,1,-51,0,3
05:38.2,1,-50,0,3
05:38.3,1,-50,0,3
05:38.4,1,-58,0,1
05:38.4,1,-50,0,3
05:38.5,1,-50,0,3
05:38.6,1,-58,0,1
05:38.6,1,-50,0,3
05:38.7,1,-51,0,3
05:38.8,1,-50,0,3
05:38.8,1,-51,0,3
05:38.9,1,-51,0,3
05:39.0,1,-51,0,3
05:39.2,1,-51,0,3
05:39.3,1,-50,1,3
05:39.4,1,-49,0,3
05:39.5,1,-55,4,2
05:39.5,1,-49,0,3
05:39.6,1,-49,0,3
05:39.7,1,-57,0,1
05:39.7,1,-49,0,3
05:39.8,1,-57,0,1
05:39.9,1,-51,0,3
05:39.9,1,-50,1,3
05:40.0,1,-49,0,3
05:40.2,1,-49,0,3
05:40.3,1,-49,1,3
05:40.4,1,-51,0,3
05:40.5,1,-51,0,3
05:40.6,1,-51,0,3
05:40.6,1,-50,1,3
05:40.7,1,-49,0,3
05:40.8,1,-56,1,1
05:40.8,1,-50,0,3
05:40.9,1,-56,3,1
05:40.9,1,-49,0,3
05:41.0,1,-51,0,3
05:41.1,1,-51,0,3
05:41.2,1,-51,0,3
05:41.3,1,-51,0,3
05:41.4,1,-51,0,3
05:41.5,1,-51,0,3
05:41.6,1,-50,0,3
05:41.7,1,-49,0,3
05:41.7,1,-50,0,3
05:41.8,1,-55,1,2
05:41.9,1,-49,0,3
05:42.1,1,-50,0,3
05:42.2,1,-57,1,1
