time,id,id_num,RSSI,phase,activity
07:35.3,e2001d871271320b9f,4,-55,"168
",5
07:35.5,e2001d871271320b9f,4,-53,"174
",5
07:35.6,e2001d871271320b9f,4,-52,"171
",5
07:35.6,e2001d871271320b9f,4,-49,"174
",5
07:35.7,e2001d871271320b9f,4,-52,"174
",5
07:35.7,e2001d871271320b9f,4,-51,"171
",5
07:35.9,e2001d871271320b9f,4,-51,"174
",5
07:35.9,e2001d871271320b9f,4,-51,"174
",5
07:36.7,e2001d871271320b9f,4,-49,"171
",5
07:36.1,e2001d871271320b9f,4,-49,"171
",5
07:36.2,e2001d871271320b9f,4,-50,"174
",5
07:36.2,e2001d871271320b9f,4,-50,"174
",5
07:36.3,e2001d871271320b9f,4,-53,"171
",5
07:36.4,e2001d871271320b9f,4,-55,"171
",5
07:36.4,e2001d871271320b9f,4,-57,"174
",5
07:36.5,e2001d871271320b9f,4,-56,"171
",5
07:37.4,e2001d871271320b9f,4,-58,"174
",5
07:38.2,e2001d871271320b9f,4,-55,"171
",5
07:38.3,e2001d871271320b9f,4,-52,"174
",5
07:38.4,e2001d871271320b9f,4,-52,"171
",5
07:38.5,e2001d871271320b9f,4,-51,"174
",5
07:38.5,e2001d871271320b9f,4,-49,"171
",5
07:38.5,e2001d871271320b9f,4,-49,"171
",5
07:38.6,e2001d871271320b9f,4,-49,"168
",5
07:38.8,e2001d871271320b9f,4,-51,"174
",5
07:38.9,e2001d871271320b9f,4,-51,"174
",5
07:38.9,e2001d871271320b9f,4,-51,"174
",5
07:41.4,e2001d871271320b9f,4,-51,"174
",5
07:41.5,e2001d871271320b9f,4,-50,"171
",5
07:41.6,e2001d871271320b9f,4,-50,"171
",5
07:41.6,e2001d871271320b9f,4,-50,"168
",5
07:41.8,e2001d871271320b9f,4,-51,"174
",5
07:41.9,e2001d871271320b9f,4,-51,"174
",5
07:41.9,e2001d871271320b9f,4,-52,"171
",5
07:41.9,e2001d871271320b9f,4,-53,"171
",5
07:42.2,e2001d871271320b9f,4,-53,"168
",5
07:43.0,e2001d871271320b9f,4,-56,"177
",5
07:42.1,e2001d871271320b9f,4,-57,"168
",5
07:43.7,e2001d871271320b9f,4,-57,"171
",5
07:43.8,e2001d871271320b9f,4,-55,"171
",5
07:43.8,e2001d871271320b9f,4,-55,"171
",5
07:43.8,e2001d871271320b9f,4,-55,"171
",5
07:43.9,e2001d871271320b9f,4,-55,"171
",5
07:43.9,e2001d871271320b9f,4,-52,"174
",5
07:44.0,e2001d871271320b9f,4,-51,"171
",5
07:44.1,e2001d871271320b9f,4,-49,"174
",5
07:44.2,e2001d871271320b9f,4,-49,"174
",5
07:44.3,e2001d871271320b9f,4,-49,"171
",5
07:44.4,e2001d871271320b9f,4,-49,"174
",5
07:44.4,e2001d871271320b9f,4,-49,"177
",5
07:44.4,e2001d871271320b9f,4,-49,"171
",5
07:44.5,e2001d871271320b9f,4,-49,"168
",5
07:44.5,e2001d871271320b9f,4,-51,"174
",5
07:44.7,e2001d871271320b9f,4,-58,"168
",5
07:44.8,e2001d871271320b9f,4,-56,"171
",5
07:44.9,e2001d871271320b9f,4,-55,"174
",5
07:45.0,e2001d871271320b9f,4,-58,"174
",5
07:46.3,e2001d871271320b9f,4,-57,"171
",5
07:46.6,e2001d871271320b9f,4,-53,"171
",5
07:46.9,e2001d871271320b9f,4,-52,"171
",5
07:46.9,e2001d871271320b9f,4,-52,"174
",5
07:47.0,e2001d871271320b9f,4,-47,"174
",5
07:47.7,e2001d871271320b9f,4,-49,"174
",5
07:47.2,e2001d871271320b9f,4,-49,"171
",5
07:47.3,e2001d871271320b9f,4,-51,"171
",5
07:47.4,e2001d871271320b9f,4,-53,"168
",5
07:47.4,e2001d871271320b9f,4,-53,"174
",5
07:47.5,e2001d871271320b9f,4,-53,"174
",5
07:47.5,e2001d871271320b9f,4,-55,"171
",5
07:48.9,e2001d871271320b9f,4,-57,"174
",5
07:49.0,e2001d871271320b9f,4,-55,"174
",5
07:49.3,e2001d871271320b9f,4,-58,"168
",5
07:49.7,e2001d871271320b9f,4,-57,"171
",5
07:49.1,e2001d871271320b9f,4,-56,"171
",5
07:49.2,e2001d871271320b9f,4,-55,"171
",5
07:49.5,e2001d871271320b9f,4,-50,"174
",5
07:49.7,e2001d871271320b9f,4,-52,"174
",5
07:49.7,e2001d871271320b9f,4,-52,"174
",5
07:49.9,e2001d871271320b9f,4,-53,"168
",5
07:50.1,e2001d871271320b9f,4,-51,"171
",5
07:50.3,e2001d871271320b9f,4,-56,"171
",5
07:51.6,e2001d871271320b9f,4,-56,"171
",5
07:51.8,e2001d871271320b9f,4,-56,"174
",5
07:51.9,e2001d871271320b9f,4,-57,"174
",5
07:51.9,e2001d871271320b9f,4,-55,"171
",5
07:52.3,e2001d871271320b9f,4,-51,"174
",5
07:52.4,e2001d871271320b9f,4,-51,"174
",5
07:52.5,e2001d871271320b9f,4,-51,"171
",5
07:52.5,e2001d871271320b9f,4,-52,"174
",5
07:52.6,e2001d871271320b9f,4,-52,"174
",5
07:52.7,e2001d871271320b9f,4,-51,"174
",5
07:52.7,e2001d871271320b9f,4,-53,"174
",5
07:52.8,e2001d871271320b9f,4,-53,"174
",5
07:52.8,e2001d871271320b9f,4,-52,"168
",5
07:52.9,e2001d871271320b9f,4,-53,"174
",5
07:53.0,e2001d871271320b9f,4,-56,"171
",5
07:54.4,e2001d871271320b9f,4,-55,"174
",5
07:54.5,e2001d871271320b9f,4,-52,"174
",5
07:54.6,e2001d871271320b9f,4,-51,"171
",5
07:54.7,e2001d871271320b9f,4,-49,"174
",5
07:54.7,e2001d871271320b9f,4,-49,"174
",5
07:54.7,e2001d871271320b9f,4,-49,"171
",5
07:54.8,e2001d871271320b9f,4,-49,"174
",5
07:54.9,e2001d871271320b9f,4,-49,"171
",5
07:57.0,e2001d871271320b9f,4,-58,"174
",5
07:57.3,e2001d871271320b9f,4,-57,"168
",5
07:57.3,e2001d871271320b9f,4,-53,"171
",5
07:57.4,e2001d871271320b9f,4,-52,"171
",5
07:57.5,e2001d871271320b9f,4,-52,"174
",5
07:57.6,e2001d871271320b9f,4,-49,"174
",5
07:57.6,e2001d871271320b9f,4,-49,"174
",5
07:57.7,e2001d871271320b9f,4,-49,"174
",5
07:57.8,e2001d871271320b9f,4,-51,"171
",5
07:57.9,e2001d871271320b9f,4,-50,"174
",5
07:57.9,e2001d871271320b9f,4,-51,"174
",5
07:58.0,e2001d871271320b9f,4,-53,"171
",5
07:58.3,e2001d871271320b9f,4,-55,"174
",5
07:58.1,e2001d871271320b9f,4,-55,"171
",5
07:58.2,e2001d871271320b9f,4,-55,"174
",5
07:58.6,e2001d871271320b9f,4,-59,"174
",5
07:58.7,e2001d871271320b9f,4,-59,"174
",5
07:59.7,e2001d871271320b9f,4,-58,"171
",5
08:00.0,e2001d871271320b9f,4,-58,"171
",5
07:59.7,e2001d871271320b9f,4,-51,"171
",5
07:59.8,e2001d871271320b9f,4,-51,"171
",5
07:59.9,e2001d871271320b9f,4,-49,"171
",5
08:00.2,e2001d871271320b9f,4,-49,"171
",5
08:00.7,e2001d871271320b9f,4,-49,"171
",5
08:00.8,e2001d871271320b9f,4,-49,"171
",5
08:00.2,e2001d871271320b9f,4,-51,"174
",5
08:00.3,e2001d871271320b9f,4,-51,"174
",5
08:00.7,e2001d871271320b9f,4,-55,"171
",5
08:00.8,e2001d871271320b9f,4,-53,"171
",5
08:00.9,e2001d871271320b9f,4,-55,"171
",5
08:02.5,e2001d871271320b9f,4,-51,"171
",5
08:02.8,e2001d871271320b9f,4,-50,"174
",5
08:02.8,e2001d871271320b9f,4,-50,"171
",5
08:02.9,e2001d871271320b9f,4,-50,"171
",5
08:03.7,e2001d871271320b9f,4,-52,"174
",5
08:03.2,e2001d871271320b9f,4,-52,"168
",5
08:03.3,e2001d871271320b9f,4,-55,"171
",5
08:03.4,e2001d871271320b9f,4,-56,"174
",5
08:03.4,e2001d871271320b9f,4,-58,"174
",5
08:03.7,e2001d871271320b9f,4,-57,"168
",5
08:05.3,e2001d871271320b9f,4,-55,"171
",5
08:05.3,e2001d871271320b9f,4,-56,"168
",5
08:05.4,e2001d871271320b9f,4,-55,"174
",5
08:05.4,e2001d871271320b9f,4,-53,"168
",5
08:05.5,e2001d871271320b9f,4,-53,"174
",5
08:05.7,e2001d871271320b9f,4,-52,"174
",5
08:05.7,e2001d871271320b9f,4,-52,"168
",5
08:05.8,e2001d871271320b9f,4,-52,"174
",5
08:05.9,e2001d871271320b9f,4,-52,"171
",5
08:06.2,e2001d871271320b9f,4,-51,"171
",5
08:06.5,e2001d871271320b9f,4,-52,"174
",5
08:06.2,e2001d871271320b9f,4,-58,"177
",5
