time,id,id_num,RSSI,phase,activity
05:35.5,e2001d8712401320d4a0,2,-61,"174
",1
05:36.1,e2001d8712401320d4a0,2,-57,"174
",1
05:36.2,e2001d8712401320d4a0,2,-55,"171
",1
05:36.3,e2001d8712401320d4a0,2,-57,"174
",1
05:36.6,e2001d8712401320d4a0,2,-55,"174
",1
05:36.6,e2001d8712401320d4a0,2,-57,"171
",1
05:37.3,e2001d8712401320d4a0,2,-58,"171
",1
05:37.3,e2001d8712401320d4a0,2,-55,"171
",1
05:37.7,e2001d8712401320d4a0,2,-55,"174
",1
05:37.9,e2001d8712401320d4a0,2,-57,"174
",1
05:38.4,e2001d8712401320d4a0,2,-57,"174
",1
05:38.9,e2001d8712401320d4a0,2,-56,"171
",1
05:39.5,e2001d8712401320d4a0,2,-57,"168
",1
05:39.5,e2001d8712401320d4a0,2,-53,"171
",1
05:40.0,e2001d8712401320d4a0,2,-55,"174
",1
05:41.8,e2001d8712401320d4a0,2,-57,"168
",1
05:41.9,e2001d8712401320d4a0,2,-55,"171
",1
05:42.3,e2001d8712401320d4a0,2,-55,"174
",1
05:42.3,e2001d8712401320d4a0,2,-57,"168
",1
07:35.1,e2001d8712401320d4a0,2,-58,"171
",5
07:35.2,e2001d8712401320d4a0,2,-57,"174
",5
07:35.2,e2001d8712401320d4a0,2,-56,"174
",5
07:35.2,e2001d8712401320d4a0,2,-55,"171
",5
07:35.3,e2001d8712401320d4a0,2,-52,"177
",5
07:35.4,e2001d8712401320d4a0,2,-52,"174
",5
07:35.5,e2001d8712401320d4a0,2,-52,"177
",5
07:35.5,e2001d8712401320d4a0,2,-55,"174
",5
07:35.7,e2001d8712401320d4a0,2,-55,"174
",5
07:35.8,e2001d8712401320d4a0,2,-55,"174
",5
07:35.8,e2001d8712401320d4a0,2,-55,"174
",5
07:35.9,e2001d8712401320d4a0,2,-55,"174
",5
07:36.0,e2001d8712401320d4a0,2,-55,"168
",5
07:36.8,e2001d8712401320d4a0,2,-52,"171
",5
07:36.2,e2001d8712401320d4a0,2,-55,"171
",5
07:36.2,e2001d8712401320d4a0,2,-53,"171
",5
07:36.4,e2001d8712401320d4a0,2,-58,"174
",5
07:36.5,e2001d8712401320d4a0,2,-57,"171
",5
07:36.6,e2001d8712401320d4a0,2,-56,"171
",5
07:36.6,e2001d8712401320d4a0,2,-57,"174
",5
07:36.6,e2001d8712401320d4a0,2,-53,"174
",5
07:36.7,e2001d8712401320d4a0,2,-55,"168
",5
07:36.7,e2001d8712401320d4a0,2,-56,"174
",5
07:36.7,e2001d8712401320d4a0,2,-57,"171
",5
07:36.8,e2001d8712401320d4a0,2,-57,"174
",5
07:38.0,e2001d8712401320d4a0,2,-58,"171
",5
07:38.2,e2001d8712401320d4a0,2,-55,"168
",5
07:38.7,e2001d8712401320d4a0,2,-55,"171
",5
07:38.1,e2001d8712401320d4a0,2,-55,"174
",5
07:38.1,e2001d8712401320d4a0,2,-52,"171
",5
07:38.2,e2001d8712401320d4a0,2,-52,"171
",5
07:38.2,e2001d8712401320d4a0,2,-53,"168
",5
07:38.3,e2001d8712401320d4a0,2,-53,"174
",5
07:38.4,e2001d8712401320d4a0,2,-52,"174
",5
07:38.4,e2001d8712401320d4a0,2,-52,"171
",5
07:38.6,e2001d8712401320d4a0,2,-52,"168
",5
07:38.8,e2001d8712401320d4a0,2,-56,"168
",5
07:38.8,e2001d8712401320d4a0,2,-57,"171
",5
07:38.9,e2001d8712401320d4a0,2,-56,"174
",5
07:38.9,e2001d8712401320d4a0,2,-55,"171
",5
07:39.3,e2001d8712401320d4a0,2,-55,"174
",5
07:39.5,e2001d8712401320d4a0,2,-55,"174
",5
07:39.6,e2001d8712401320d4a0,2,-56,"174
",5
07:39.6,e2001d8712401320d4a0,2,-58,"174
",5
07:40.8,e2001d8712401320d4a0,2,-58,"174
",5
07:40.8,e2001d8712401320d4a0,2,-57,"174
",5
07:40.9,e2001d8712401320d4a0,2,-57,"171
",5
07:41.0,e2001d8712401320d4a0,2,-58,"171
",5
07:41.2,e2001d8712401320d4a0,2,-55,"174
",5
07:41.4,e2001d8712401320d4a0,2,-53,"171
",5
07:41.5,e2001d8712401320d4a0,2,-55,"171
",5
07:41.5,e2001d8712401320d4a0,2,-55,"171
",5
07:41.5,e2001d8712401320d4a0,2,-55,"171
",5
07:41.8,e2001d8712401320d4a0,2,-55,"168
",5
07:41.9,e2001d8712401320d4a0,2,-56,"171
",5
07:42.3,e2001d8712401320d4a0,2,-57,"168
",5
07:42.8,e2001d8712401320d4a0,2,-55,"174
",5
07:42.2,e2001d8712401320d4a0,2,-53,"171
",5
07:42.3,e2001d8712401320d4a0,2,-55,"171
",5
07:42.3,e2001d8712401320d4a0,2,-56,"171
",5
