time,id,RSSI,phase,,,
6:04:45.PM,e2001d8712401320d4a0,-57,"174
",,,
04:44.6,e2001d8712401320d4a0,-57,"174
",,,
04:44.6,e2001d871271320b9f,-57,"174
",,,
04:44.8,e2001d8712461320db93,-49,"168
",,,
04:44.8,e2001d8712171320c120,-53,"171
",,,
04:44.8,e2001d8712401320d4a0,-51,"171
",,,
04:44.9,e2001d8712461320db93,-49,"171
",,,
04:44.9,e2001d8712461320db93,-49,"171
",,,
04:44.9,e2001d8712461320db93,-49,"171
",,,
04:44.9,e2001d8712401320d4a0,-51,"174
",,,
04:44.9,e2001d8712401320d4a0,-51,"174
",,,
04:45.7,e2001d8712171320c120,-53,"174
",,,
04:45.7,e2001d871271320b9f,-51,"171
",,,
04:45.8,e2001d8712171320c120,-53,"168
",,,
04:45.8,e2001d8712461320db93,-49,"174
",,,
04:45.8,e2001d8712461320db93,-49,"174
",,,
04:45.9,e2001d8712171320c120,-53,"174
",,,
04:45.9,e2001d871271320b9f,-51,"171
",,,
04:45.9,e2001d871271320b9f,-51,"171
",,,
04:45.9,e2001d8712401320d4a0,-52,"171
",,,
04:46.5,e2001d8712461320db93,-50,"174
",,,
04:46.5,e2001d8712461320db93,-50,"174
",,,
04:46.8,e2001d8712401320d4a0,-52,"171
",,,
04:46.6,e2001d8712461320db93,-51,"174
",,,
04:46.6,e2001d8712461320db93,-51,"174
",,,
04:46.6,e2001d8712461320db93,-51,"174
",,,
04:46.6,e2001d8712401320d4a0,-57,"168
",,,
04:47.0,e2001d871271320b9f,-56,"171
",,,
04:47.0,e2001d8712171320c120,-55,"171
",,,
04:47.5,e2001d8712171320c120,-55,"168
",,,
04:47.5,e2001d8712461320db93,-51,"174
",,,
04:47.7,e2001d8712171320c120,-53,"171
",,,
04:47.7,e2001d8712171320c120,-53,"171
",,,
04:47.7,e2001d871271320b9f,-51,"174
",,,
04:47.8,e2001d8712401320d4a0,-51,"174
",,,
04:47.8,e2001d8712401320d4a0,-51,"174
",,,
04:47.8,e2001d8712461320db93,-49,"174
",,,
04:47.8,e2001d8712461320db93,-49,"174
",,,
04:47.9,e2001d871271320b9f,-51,"174
",,,
04:47.9,e2001d871271320b9f,-51,"174
",,,
04:47.9,e2001d8712401320d4a0,-51,"171
",,,
04:48.0,e2001d871271320b9f,-51,"174
",,,
04:48.0,e2001d871271320b9f,-51,"174
",,,
04:48.4,e2001d8712461320db93,-49,"174
",,,
04:48.1,e2001d8712171320c120,-53,"171
",,,
04:48.1,e2001d871271320b9f,-51,"171
",,,
04:48.1,e2001d871271320b9f,-51,"171
",,,
04:48.2,e2001d8712171320c120,-53,"168
",,,
04:48.2,e2001d8712171320c120,-53,"168
",,,
04:48.3,e2001d871271320b9f,-52,"168
",,,
04:48.5,e2001d8712461320db93,-51,"174
",,,
04:48.5,e2001d8712401320d4a0,-53,"171
",,,
04:48.6,e2001d871271320b9f,-53,"171
",,,
04:48.6,e2001d8712401320d4a0,-52,"171
",,,
04:48.6,e2001d8712461320db93,-50,"174
",,,
04:48.6,e2001d8712461320db93,-50,"174
",,,
04:48.7,e2001d8712401320d4a0,-53,"171
",,,
04:48.7,e2001d8712401320d4a0,-53,"171
",,,
04:49.5,e2001d8712401320d4a0,-55,"174
",,,
04:49.5,e2001d871271320b9f,-55,"174
",,,
04:49.6,e2001d8712461320db93,-51,"171
",,,
04:49.6,e2001d8712461320db93,-51,"171
",,,
04:49.7,e2001d8712171320c120,-55,"171
",,,
04:49.8,e2001d8712171320c120,-53,"171
",,,
04:49.8,e2001d8712461320db93,-49,"168
",,,
04:49.9,e2001d8712401320d4a0,-51,"174
",,,
04:49.9,e2001d8712461320db93,-49,"174
",,,
04:50.0,e2001d8712461320db93,-49,"174
",,,
04:50.0,e2001d8712401320d4a0,-51,"168
",,,
04:50.5,e2001d8712171320c120,-53,"174
",,,
04:50.5,e2001d8712461320db93,-49,"171
",,,
04:50.5,e2001d871271320b9f,-52,"171
",,,
04:50.5,e2001d871271320b9f,-52,"171
",,,
04:50.6,e2001d8712171320c120,-52,"174
",,,
04:50.7,e2001d8712171320c120,-55,"171
",,,
04:50.7,e2001d8712171320c120,-55,"171
",,,
04:50.8,e2001d8712461320db93,-51,"171
",,,
04:50.8,e2001d8712461320db93,-51,"171
",,,
04:51.0,e2001d8712461320db93,-51,"171
",,,
04:51.0,e2001d8712461320db93,-51,"171
",,,
04:51.0,e2001d8712401320d4a0,-57,"174
",,,
04:51.0,e2001d8712401320d4a0,-57,"174
",,,
04:51.2,e2001d871271320b9f,-51,"174
",,,
04:51.2,e2001d8712461320db93,-50,"171
",,,
04:51.5,e2001d8712461320db93,-51,"171
",,,
04:51.5,e2001d871271320b9f,-55,"174
",,,
04:51.6,e2001d8712461320db93,-51,"174
",,,
04:51.6,e2001d8712461320db93,-51,"174
",,,
04:51.6,e2001d871271320b9f,-55,"174
",,,
04:51.6,e2001d871271320b9f,-55,"174
",,,
04:51.9,e2001d8712461320db93,-50,"171
",,,
04:51.9,e2001d8712461320db93,-50,"171
",,,
04:51.9,e2001d8712401320d4a0,-55,"174
",,,
04:52.4,e2001d8712461320db93,-49,"174
",,,
04:52.4,e2001d8712171320c120,-53,"171
",,,
04:52.5,e2001d8712401320d4a0,-51,"174
",,,
04:52.5,e2001d8712461320db93,-49,"174
",,,
04:52.5,e2001d8712171320c120,-53,"174
",,,
04:52.5,e2001d8712171320c120,-53,"174
",,,
04:52.5,e2001d8712171320c120,-53,"174
",,,
04:52.6,e2001d8712401320d4a0,-52,"174
",,,
04:52.8,e2001d871271320b9f,-51,"171
",,,
04:52.8,e2001d871271320b9f,-51,"171
",,,
04:52.8,e2001d8712401320d4a0,-51,"171
",,,
04:53.2,e2001d871271320b9f,-56,"168
",,,
04:53.2,e2001d871271320b9f,-56,"168
",,,
04:53.2,e2001d8712401320d4a0,-55,"171
",,,
04:53.4,e2001d8712401320d4a0,-52,"177
",,,
04:53.4,e2001d871271320b9f,-52,"171
",,,
04:53.4,e2001d8712401320d4a0,-52,"168
",,,
04:53.5,e2001d8712171320c120,-53,"171
",,,
04:53.5,e2001d871271320b9f,-52,"171
",,,
04:53.9,e2001d871271320b9f,-55,"171
",,,
04:54.2,e2001d8712461320db93,-50,"171
",,,
04:54.2,e2001d871271320b9f,-55,"171
",,,
04:54.6,e2001d871271320b9f,-57,"171
",,,
04:54.6,e2001d871271320b9f,-57,"171
",,,
