time,id,RSSI,phase,,18:05:03.36,
18:04:44.55,e2001d8712401320d4a0,-57,"174
",,,
18:04:44.58,e2001d871271320b9f,-57,"174
",,,
18:04:44.77,e2001d8712461320db93,-49,"168
",,,
18:04:44.82,e2001d8712171320c120,-53,"171
",,,
18:04:44.83,e2001d8712401320d4a0,-51,"171
",,,
18:04:44.85,e2001d8712461320db93,-49,"171
",,,
18:04:44.88,e2001d8712461320db93,-49,"171
",,,
18:04:44.88,e2001d8712461320db93,-49,"171
",,,
18:04:44.92,e2001d8712401320d4a0,-51,"174
",,,
18:04:44.92,e2001d8712401320d4a0,-51,"174
",,,
18:04:45.67,e2001d8712171320c120,-53,"174
",,,
18:04:45.68,e2001d871271320b9f,-51,"171
",,,
18:04:45.77,e2001d8712171320c120,-53,"168
",,,
18:04:45.78,e2001d8712461320db93,-49,"174
",,,
18:04:45.78,e2001d8712461320db93,-49,"174
",,,
18:04:45.87,e2001d8712171320c120,-53,"174
",,,
18:04:45.88,e2001d871271320b9f,-51,"171
",,,
18:04:45.93,e2001d871271320b9f,-51,"171
",,,
18:04:45.95,e2001d8712401320d4a0,-52,"171
",,,
18:04:46.49,e2001d8712461320db93,-50,"174
",,,
18:04:46.49,e2001d8712461320db93,-50,"174
",,,
18:04:46.83,e2001d8712401320d4a0,-52,"171
",,,
18:04:46.60,e2001d8712461320db93,-51,"174
",,,
18:04:46.60,e2001d8712461320db93,-51,"174
",,,
18:04:46.60,e2001d8712461320db93,-51,"174
",,,
18:04:46.65,e2001d8712401320d4a0,-57,"168
",,,
18:04:46.98,e2001d871271320b9f,-56,"171
",,,
18:04:47.00,e2001d8712171320c120,-55,"171
",,,
18:04:47.52,e2001d8712171320c120,-55,"168
",,,
18:04:47.53,e2001d8712461320db93,-51,"174
",,,
18:04:47.65,e2001d8712171320c120,-53,"171
",,,
18:04:47.65,e2001d8712171320c120,-53,"171
",,,
18:04:47.69,e2001d871271320b9f,-51,"174
",,,
18:04:47.75,e2001d8712401320d4a0,-51,"174
",,,
18:04:47.75,e2001d8712401320d4a0,-51,"174
",,,
18:04:47.78,e2001d8712461320db93,-49,"174
",,,
18:04:47.78,e2001d8712461320db93,-49,"174
",,,
18:04:47.90,e2001d871271320b9f,-51,"174
",,,
18:04:47.90,e2001d871271320b9f,-51,"174
",,,
18:04:47.93,e2001d8712401320d4a0,-51,"171
",,,
18:04:48.00,e2001d871271320b9f,-51,"174
",,,
18:04:48.00,e2001d871271320b9f,-51,"174
",,,
18:04:48.35,e2001d8712461320db93,-49,"174
",,,
18:04:48.12,e2001d8712171320c120,-53,"171
",,,
18:04:48.13,e2001d871271320b9f,-51,"171
",,,
18:04:48.13,e2001d871271320b9f,-51,"171
",,,
18:04:48.22,e2001d8712171320c120,-53,"168
",,,
18:04:48.22,e2001d8712171320c120,-53,"168
",,,
18:04:48.25,e2001d871271320b9f,-52,"168
",,,
18:04:48.52,e2001d8712461320db93,-51,"174
",,,
18:04:48.53,e2001d8712401320d4a0,-53,"171
",,,
18:04:48.57,e2001d871271320b9f,-53,"171
",,,
18:04:48.58,e2001d8712401320d4a0,-52,"171
",,,
18:04:48.63,e2001d8712461320db93,-50,"174
",,,
18:04:48.63,e2001d8712461320db93,-50,"174
",,,
18:04:48.67,e2001d8712401320d4a0,-53,"171
",,,
18:04:48.67,e2001d8712401320d4a0,-53,"171
",,,
18:04:49.50,e2001d8712401320d4a0,-55,"174
",,,
18:04:49.52,e2001d871271320b9f,-55,"174
",,,
18:04:49.60,e2001d8712461320db93,-51,"171
",,,
18:04:49.60,e2001d8712461320db93,-51,"171
",,,
18:04:49.65,e2001d8712171320c120,-55,"171
",,,
18:04:49.78,e2001d8712171320c120,-53,"171
",,,
18:04:49.82,e2001d8712461320db93,-49,"168
",,,
18:04:49.88,e2001d8712401320d4a0,-51,"174
",,,
18:04:49.90,e2001d8712461320db93,-49,"174
",,,
18:04:49.95,e2001d8712461320db93,-49,"174
",,,
18:04:50.00,e2001d8712401320d4a0,-51,"168
",,,
18:04:50.47,e2001d8712171320c120,-53,"174
",,,
18:04:50.48,e2001d8712461320db93,-49,"171
",,,
18:04:50.53,e2001d871271320b9f,-52,"171
",,,
18:04:50.53,e2001d871271320b9f,-52,"171
",,,
18:04:50.58,e2001d8712171320c120,-52,"174
",,,
18:04:50.73,e2001d8712171320c120,-55,"171
",,,
18:04:50.73,e2001d8712171320c120,-55,"171
",,,
18:04:50.77,e2001d8712461320db93,-51,"171
",,,
18:04:50.77,e2001d8712461320db93,-51,"171
",,,
18:04:50.95,e2001d8712461320db93,-51,"171
",,,
18:04:50.95,e2001d8712461320db93,-51,"171
",,,
18:04:50.98,e2001d8712401320d4a0,-57,"174
",,,
18:04:50.98,e2001d8712401320d4a0,-57,"174
",,,
18:04:51.17,e2001d871271320b9f,-51,"174
",,,
18:04:51.18,e2001d8712461320db93,-50,"171
",,,
18:04:51.53,e2001d8712461320db93,-51,"171
",,,
18:04:51.55,e2001d871271320b9f,-55,"174
",,,
18:04:51.58,e2001d8712461320db93,-51,"174
",,,
18:04:51.58,e2001d8712461320db93,-51,"174
",,,
18:04:51.62,e2001d871271320b9f,-55,"174
",,,
18:04:51.62,e2001d871271320b9f,-55,"174
",,,
18:04:51.92,e2001d8712461320db93,-50,"171
",,,
18:04:51.92,e2001d8712461320db93,-50,"171
",,,
18:04:51.95,e2001d8712401320d4a0,-55,"174
",,,
18:04:52.40,e2001d8712461320db93,-49,"174
",,,
18:04:52.42,e2001d8712171320c120,-53,"171
",,,
18:04:52.47,e2001d8712401320d4a0,-51,"174
",,,
18:04:52.48,e2001d8712461320db93,-49,"174
",,,
