time,id,id_num,RSSI,phase,,activity,,,,,,,,,,,,,,,,
04:44.6,e2001d8712401320d4a0,2,-57,"174
",05:03.4,,,,873,60,1.739130435,00:34.5,,,,40,3.636363636,00:11.0,,0,,00:09.7
04:44.6,e2001d871271320b9f,4,-57,"174
",,,,,422,60,1.739130435,,,,,19,1.727272727,,,0,,
04:44.8,e2001d8712461320db93,3,-49,"168
",,,,,4596,81,2.347826087,,,,,334,30.36363636,,,309,31.8556701,
04:44.8,e2001d8712171320c120,1,-53,"171
",,,,,1832,65,1.884057971,,,,,0,0,,,0,,
04:44.8,e2001d8712401320d4a0,2,-51,"171
",,,,,3608,,,,,,,,,,,,,
04:44.9,e2001d8712461320db93,3,-49,"171
",,,,,1148,,,,,,,,,,,,,
04:44.9,e2001d8712461320db93,3,-49,"171
",,,,,1240,,,,,,08:14.9,,,,,,,
04:44.9,e2001d8712401320d4a0,2,-51,"174
",,,,,,,,,,,34.23519903,,,,,,,
04:45.7,e2001d8712171320c120,1,-53,"174
",,,,,,,,,,,,,,,,,,
04:45.7,e2001d871271320b9f,4,-51,"171
",,,,,,,,,,,,,,,,,,
04:45.8,e2001d8712171320c120,1,-53,"168
",,,,,,,,,,,,,,,,,,
04:45.8,e2001d8712461320db93,3,-49,"174
",,,,,,,,,,,,,,,,,,
04:45.9,e2001d8712171320c120,1,-53,"174
",,,,,,,,,,,,,,,,,,
04:45.9,e2001d871271320b9f,4,-51,"171
",,,,,,,,,,,,,,,,,,
04:45.9,e2001d871271320b9f,4,-51,"171
",,,,,,,,,,,,,,,,,,
04:45.9,e2001d8712401320d4a0,2,-52,"171
",,,,,,,,,,,,,,,,,,
04:46.5,e2001d8712461320db93,3,-50,"174
",,,,,,,,,,,,,,,,,,
04:46.8,e2001d8712401320d4a0,2,-52,"171
",,,,,,,,,,,,,,,,,,
04:46.6,e2001d8712461320db93,3,-51,"174
",,,,,,,,,,,,,,,,,,
04:46.7,e2001d8712401320d4a0,2,-57,"168
",,,,,,,,,,,,,,,,,,
04:47.0,e2001d871271320b9f,4,-56,"171
",,,,,,,,,,,,,,,,,,
04:47.0,e2001d8712171320c120,1,-55,"171
",,,,,,,,,,,,,,,,,,
04:47.5,e2001d8712171320c120,1,-55,"168
",,,,,,,,,,,,,,,,,,
04:47.5,e2001d8712461320db93,3,-51,"174
",,,,,,,,,,,,,,,,,,
04:47.7,e2001d8712171320c120,1,-53,"171
",,,,,,,,,,,,,,,,,,
04:47.7,e2001d871271320b9f,4,-51,"174
",,,,,,,,,,,,,,,,,,
04:47.8,e2001d8712401320d4a0,2,-51,"174
",,,,,,,,,,,,,,,,,,
04:47.8,e2001d8712461320db93,3,-49,"174
",,,,,,,,,,,,,,,,,,
04:47.9,e2001d871271320b9f,4,-51,"174
",,,,,,,,,,,,,,,,,,
04:47.9,e2001d8712401320d4a0,2,-51,"171
",,,,,,,,,,,,,,,,,,
04:48.0,e2001d871271320b9f,4,-51,"174
",,,,,,,,,,,,,,,,,,
04:48.4,e2001d8712461320db93,3,-49,"174
",,,,,,,,,,,,,,,,,,
04:48.1,e2001d8712171320c120,1,-53,"171
",,,,,,,,,,,,,,,,,,
04:48.1,e2001d871271320b9f,4,-51,"171
",,,,,,,,,,,,,,,,,,
04:48.2,e2001d8712171320c120,1,-53,"168
",,,,,,,,,,,,,,,,,,
04:48.3,e2001d871271320b9f,4,-52,"168
",,,,,,,,,,,,,,,,,,
04:48.5,e2001d8712461320db93,3,-51,"174
",,,,,,,,,,,,,,,,,,
04:48.5,e2001d8712401320d4a0,2,-53,"171
",,,,,,,,,,,,,,,,,,
04:48.6,e2001d871271320b9f,4,-53,"171
",,,,,,,,,,,,,,,,,,
04:48.6,e2001d8712401320d4a0,2,-52,"171
",,,,,,,,,,,,,,,,,,
04:48.6,e2001d8712461320db93,3,-50,"174
",,,,,,,,,,,,,,,,,,
04:48.7,e2001d8712401320d4a0,2,-53,"171
",,,,,,,,,,,,,,,,,,
04:49.5,e2001d8712401320d4a0,2,-55,"174
",,,,,,,,,,,,,,,,,,
04:49.5,e2001d871271320b9f,4,-55,"174
",,,,,,,,,,,,,,,,,,
04:49.6,e2001d8712461320db93,3,-51,"171
",,,,,,,,,,,,,,,,,,
04:49.7,e2001d8712171320c120,1,-55,"171
",,,,,,,,,,,,,,,,,,
04:49.8,e2001d8712171320c120,1,-53,"171
",,,,,,,,,,,,,,,,,,
04:49.8,e2001d8712461320db93,3,-49,"168
",,,,,,,,,,,,,,,,,,
04:49.9,e2001d8712401320d4a0,2,-51,"174
",,,,,,,,,,,,,,,,,,
04:49.9,e2001d8712461320db93,3,-49,"174
",,,,,,,,,,,,,,,,,,
04:50.0,e2001d8712461320db93,3,-49,"174
",,,,,,,,,,,,,,,,,,
04:50.0,e2001d8712401320d4a0,2,-51,"168
",,,,,,,,,,,,,,,,,,
04:50.5,e2001d8712171320c120,1,-53,"174
",,,,,,,,,,,,,,,,,,
04:50.5,e2001d8712461320db93,3,-49,"171
",,,,,,,,,,,,,,,,,,
04:50.5,e2001d871271320b9f,4,-52,"171
",,,,,,,,,,,,,,,,,,
04:50.6,e2001d8712171320c120,1,-52,"174
",,,,,,,,,,,,,,,,,,
04:50.7,e2001d8712171320c120,1,-55,"171
",,,,,,,,,,,,,,,,,,
04:50.8,e2001d8712461320db93,3,-51,"171
",,,,,,,,,,,,,,,,,,
04:50.9,e2001d8712461320db93,3,-51,"171
",,,,,,,,,,,,,,,,,,
04:51.0,e2001d8712401320d4a0,2,-57,"174
",,,,,,,,,,,,,,,,,,
04:51.2,e2001d871271320b9f,4,-51,"174
",,,,,,,,,,,,,,,,,,
04:51.2,e2001d8712461320db93,3,-50,"171
",,,,,,,,,,,,,,,,,,
04:51.5,e2001d8712461320db93,3,-51,"171
",,,,,,,,,,,,,,,,,,
04:51.6,e2001d871271320b9f,4,-55,"174
",,,,,,,,,,,,,,,,,,
04:51.6,e2001d8712461320db93,3,-51,"174
",,,,,,,,,,,,,,,,,,
04:51.6,e2001d871271320b9f,4,-55,"174
",,,,,,,,,,,,,,,,,,
04:51.9,e2001d8712461320db93,3,-50,"171
",,,,,,,,,,,,,,,,,,
04:52.0,e2001d8712401320d4a0,2,-55,"174
",,,,,,,,,,,,,,,,,,
04:52.4,e2001d8712461320db93,3,-49,"174
",,,,,,,,,,,,,,,,,,
04:52.4,e2001d8712171320c120,1,-53,"171
",,,,,,,,,,,,,,,,,,
04:52.5,e2001d8712401320d4a0,2,-51,"174
",,,,,,,,,,,,,,,,,,
04:52.5,e2001d8712461320db93,3,-49,"174
",,,,,,,,,,,,,,,,,,
04:52.5,e2001d8712171320c120,1,-53,"174
",,,,,,,,,,,,,,,,,,
04:52.6,e2001d8712401320d4a0,2,-52,"174
",,,,,,,,,,,,,,,,,,
04:52.8,e2001d871271320b9f,4,-51,"171
",,,,,,,,,,,,,,,,,,
04:52.8,e2001d8712401320d4a0,2,-51,"171
",,,,,,,,,,,,,,,,,,
04:53.2,e2001d871271320b9f,4,-56,"168
",,,,,,,,,,,,,,,,,,
04:53.2,e2001d8712401320d4a0,2,-55,"171
",,,,,,,,,,,,,,,,,,
04:53.4,e2001d8712401320d4a0,2,-52,"177
",,,,,,,,,,,,,,,,,,
04:53.4,e2001d871271320b9f,4,-52,"171
",,,,,,,,,,,,,,,,,,
04:53.4,e2001d8712401320d4a0,2,-52,"168
",,,,,,,,,,,,,,,,,,
04:53.5,e2001d8712171320c120,1,-53,"171
",,,,,,,,,,,,,,,,,,
04:53.5,e2001d871271320b9f,4,-52,"171
",,,,,,,,,,,,,,,,,,
04:53.9,e2001d871271320b9f,4,-55,"171
",,,,,,,,,,,,,,,,,,
04:54.2,e2001d8712461320db93,3,-50,"171
",,,,,,,,,,,,,,,,,,
04:54.2,e2001d871271320b9f,4,-55,"171
",,,,,,,,,,,,,,,,,,
04:54.6,e2001d871271320b9f,4,-57,"171
",,,,,,,,,,,,,,,,,,
04:54.7,e2001d8712461320db93,3,-51,"174
",,,,,,,,,,,,,,,,,,
04:54.9,e2001d8712461320db93,3,-51,"168
",,,,,,,,,,,,,,,,,,
04:54.9,e2001d871271320b9f,4,-57,"174
",,,,,,,,,,,,,,,,,,
04:55.0,e2001d8712401320d4a0,2,-57,"171
",,,,,,,,,,,,,,,,,,
04:55.2,e2001d8712171320c120,1,-55,"177
",,,,,,,,,,,,,,,,,,
04:55.6,e2001d8712461320db93,3,-49,"174
",,,,,,,,,,,,,,,,,,
04:55.7,e2001d8712461320db93,3,-50,"174
",,,,,,,,,,,,,,,,,,
04:55.7,e2001d8712171320c120,1,-53,"171
",,,,,,,,,,,,,,,,,,
04:55.9,e2001d8712461320db93,3,-50,"174
",,,,,,,,,,,,,,,,,,
04:55.9,e2001d8712171320c120,1,-55,"168
",,,,,,,,,,,,,,,,,,
04:56.2,e2001d8712401320d4a0,2,-53,"174
",,,,,,,,,,,,,,,,,,
04:56.2,e2001d8712461320db93,3,-50,"174
",,,,,,,,,,,,,,,,,,
04:57.4,e2001d8712401320d4a0,2,-52,"171
",,,,,,,,,,,,,,,,,,
04:57.4,e2001d8712461320db93,3,-49,"171
",,,,,,,,,,,,,,,,,,
04:58.0,e2001d871271320b9f,4,-55,"174
",,,,,,,,,,,,,,,,,,
04:58.0,e2001d8712171320c120,1,-55,"168
",,,,,,,,,,,,,,,,,,
04:58.7,e2001d8712461320db93,3,-50,"171
",,,,,,,,,,,,,,,,,,
04:58.1,e2001d8712171320c120,1,-55,"174
",,,,,,,,,,,,,,,,,,
04:58.3,e2001d871271320b9f,4,-52,"174
",,,,,,,,,,,,,,,,,,
04:58.4,e2001d8712171320c120,1,-53,"171
",,,,,,,,,,,,,,,,,,
04:58.4,e2001d8712401320d4a0,2,-52,"168
",,,,,,,,,,,,,,,,,,
04:58.5,e2001d8712171320c120,1,-52,"174
",,,,,,,,,,,,,,,,,,
04:58.5,e2001d871271320b9f,4,-52,"174
",,,,,,,,,,,,,,,,,,
04:58.5,e2001d8712461320db93,3,-50,"171
",,,,,,,,,,,,,,,,,,
04:58.6,e2001d8712171320c120,1,-53,"171
",,,,,,,,,,,,,,,,,,
04:58.6,e2001d8712461320db93,3,-50,"171
",,,,,,,,,,,,,,,,,,
05:00.2,e2001d8712401320d4a0,2,-57,"177
",,,,,,,,,,,,,,,,,,
05:00.3,e2001d871271320b9f,4,-53,"174
",,,,,,,,,,,,,,,,,,
05:00.4,e2001d8712171320c120,1,-53,"171
",,,,,,,,,,,,,,,,,,
05:00.4,e2001d8712401320d4a0,2,-53,"171
",,,,,,,,,,,,,,,,,,
05:00.5,e2001d871271320b9f,4,-53,"171
",,,,,,,,,,,,,,,,,,
05:00.5,e2001d8712171320c120,1,-55,"174
",,18:05:00:533,,,,,,,,,,,,,,,,
05:00.6,e2001d8712461320db93,3,-51,"171
",,,,,,,,,,,,,,,,,,
05:00.6,e2001d871271320b9f,4,-56,"177
",,,,,,,,,,,,,,,,,,
05:00.7,e2001d871271320b9f,4,-57,"174
",,,,,,,,,,,,,,,,,,
05:00.7,e2001d8712401320d4a0,2,-56,"174
",,,,,,,,,,,,,,,,,,
05:00.8,e2001d8712401320d4a0,2,-55,"174
",,,,,,,,,,,,,,,,,,
05:00.8,e2001d8712461320db93,3,-51,"174
",,,,,,,,,,,,,,,,,,
05:00.9,e2001d8712171320c120,1,-55,"171
",,,,,,,,,,,,,,,,,,
05:00.9,e2001d8712461320db93,3,-51,"174
",,,,,,,,,,,,,,,,,,
05:01.0,e2001d8712171320c120,1,-55,"174
",,,,,,,,,,,,,,,,,,
05:01.0,e2001d8712461320db93,3,-51,"171
",,,,,,,,,,,,,,,,,,
05:01.5,e2001d871271320b9f,4,-57,"171
",,,,,,,,,,,,,,,,,,
05:01.7,e2001d8712401320d4a0,2,-56,"171
",,,,,,,,,,,,,,,,,,
05:01.1,e2001d8712401320d4a0,2,-57,"171
",,,,,,,,,,,,,,,,,,
05:01.1,e2001d8712171320c120,1,-55,"171
",,,,,,,,,,,,,,,,,,
05:01.2,e2001d871271320b9f,4,-56,"174
",,,,,,,,,,,,,,,,,,
05:01.2,e2001d871271320b9f,4,-57,"171
",,,,,,,,,,,,,,,,,,
05:01.2,e2001d8712461320db93,3,-51,"174
",,,,,,,,,,,,,,,,,,
05:01.5,e2001d871271320b9f,4,-52,"171
",,,,,,,,,,,,,,,,,,
05:01.5,e2001d8712171320c120,1,-53,"174
",,,,,,,,,,,,,,,,,,
05:01.6,e2001d871271320b9f,4,-52,"171
",,,,,,,,,,,,,,,,,,
05:01.6,e2001d8712171320c120,1,-53,"174
",,,,,,,,,,,,,,,,,,
05:02.0,e2001d8712461320db93,3,-50,"174
",,,,,,,,,,,,,,,,,,
05:02.0,e2001d871271320b9f,4,-52,"171
",,,,,,,,,,,,,,,,,,
05:03.8,e2001d871271320b9f,4,-57,"171
",,,,,,,,,,,,,,,,,,
05:03.1,e2001d8712401320d4a0,2,-55,"168
",,,,,,,,,,,,,,,,,,
05:03.1,e2001d8712171320c120,1,-55,"168
",,,,,,,,,,,,,,,,,,
05:03.2,e2001d8712461320db93,3,-51,"168
",,,,,,,,,,,,,,,,,,
05:03.2,e2001d8712171320c120,1,-55,"171
",,,,,,,,,,,,,,,,,,
05:03.4,e2001d871271320b9f,4,-55,"171
",00:00.1,,,,,,,,,,,,,,,,,
05:03.5,e2001d8712401320d4a0,2,-56,"171
",00:00.1,,,,,,,,,,,,,,,,,
05:03.5,e2001d8712461320db93,3,-51,"171
",00:00.1,,,,,,,,,,,,,,,,,
05:03.7,e2001d8712401320d4a0,2,-52,"174
",00:00.4,,,,,,,,,,,,,,,,,
05:03.9,e2001d8712401320d4a0,2,-52,"174
",00:00.5,,,,,,,,,,,,,,,,,
05:03.9,e2001d871271320b9f,4,-53,"174
",00:00.5,,,,,,,,,,,,,,,,,
05:04.3,e2001d8712461320db93,3,-49,"174
",00:00.9,,,,,,,,,,,,,,,,,
05:04.3,e2001d8712401320d4a0,2,-51,"171
",00:01.0,,,,,,,,,,,,,,,,,
05:04.4,e2001d8712461320db93,3,-49,"174
",00:01.0,,,,,,,,,,,,,,,,,
05:04.5,e2001d8712171320c120,1,-53,"174
",00:01.1,,,,,,,,,,,,,,,,,
05:04.5,e2001d8712461320db93,3,-49,"171
",00:01.1,,,,,,,,,,,,,,,,,
05:04.6,e2001d8712171320c120,1,-53,"168
",00:01.2,,,,,,,,,,,,,,,,,
05:04.6,e2001d8712401320d4a0,2,-51,"174
",00:01.3,,,,,,,,,,,,,,,,,
05:04.7,e2001d8712401320d4a0,2,-51,"174
",00:01.3,,,,,,,,,,,,,,,,,
05:04.7,e2001d8712461320db93,3,-50,"171
",00:01.3,,,,,,,,,,,,,,,,,
05:05.1,e2001d8712461320db93,3,-51,"174
",00:01.7,,,,,,,,,,,,,,,,,
05:05.1,e2001d871271320b9f,4,-55,"171
",00:01.8,,,,,,,,,,,,,,,,,
05:05.2,e2001d8712461320db93,3,-49,"174
",00:01.8,,,,,,,,,,,,,,,,,
05:05.2,e2001d8712461320db93,3,-50,"171
",00:01.9,,,,,,,,,,,,,,,,,
05:05.3,e2001d8712171320c120,1,-53,"174
",00:02.0,,,,,,,,,,,,,,,,,
05:05.4,e2001d871271320b9f,4,-55,"171
",00:02.0,,,,,,,,,,,,,,,,,
05:05.4,e2001d8712401320d4a0,2,-53,"171
",00:02.1,,,,,,,,,,,,,,,,,
05:05.5,e2001d8712461320db93,3,-50,"171
",00:02.1,,,,,,,,,,,,,,,,,
05:05.9,e2001d8712461320db93,3,-51,"168
",00:02.6,,,,,,,,,,,,,,,,,
05:06.0,e2001d8712461320db93,3,-51,"168
",00:02.6,,,,,,,,,,,,,,,,,
05:06.0,e2001d8712401320d4a0,2,-55,"171
",00:02.6,,,,,,,,,,,,,,,,,
05:06.2,e2001d871271320b9f,4,-55,"174
",00:02.8,,,,,,,,,,,,,,,,,
05:06.2,e2001d8712461320db93,3,-51,"174
",00:02.8,,,,,,,,,,,,,,,,,
05:06.2,e2001d8712171320c120,1,-55,"171
",00:02.9,,,,,,,,,,,,,,,,,
05:06.8,e2001d8712461320db93,3,-51,"171
",00:03.5,,,,,,,,,,,,,,,,,
05:06.9,e2001d8712401320d4a0,2,-55,"174
",00:03.5,,,,,,,,,,,,,,,,,
05:08.4,e2001d8712401320d4a0,2,-53,"168
",00:05.0,,,,,,,,,,,,,,,,,
05:08.4,e2001d8712171320c120,1,-55,"171
",00:05.1,,,,,,,,,,,,,,,,,
05:08.5,e2001d871271320b9f,4,-55,"168
",00:05.1,,,,,,,,,,,,,,,,,
05:08.5,e2001d8712461320db93,3,-51,"174
",00:05.2,,,,,,,,,,,,,,,,,
05:08.7,e2001d8712461320db93,3,-50,"168
",00:05.3,,,,,,,,,,,,,,,,,
05:08.7,e2001d871271320b9f,4,-52,"174
",00:05.3,,,,,,,,,,,,,,,,,
05:08.8,e2001d8712171320c120,1,-53,"171
",00:05.4,,,,,,,,,,,,,,,,,
05:08.8,e2001d8712461320db93,3,-49,"174
",00:05.4,,,,,,,,,,,,,,,,,
05:08.8,e2001d8712171320c120,1,-53,"171
",00:05.5,,,,,,,,,,,,,,,,,
05:08.8,e2001d8712401320d4a0,2,-53,"168
",00:05.5,,,,,,,,,,,,,,,,,
05:10.0,e2001d8712171320c120,1,-55,"171
",00:06.6,,,,,,,,,,,,,,,,,
05:09.1,e2001d871271320b9f,4,-52,"174
",00:05.8,,,,,,,,,,,,,,,,,
05:09.8,e2001d8712401320d4a0,2,-55,"171
",00:06.4,,,,,,,,,,,,,,,,,
05:09.8,e2001d8712461320db93,3,-51,"171
",00:06.4,,,,,,,,,,,,,,,,,
05:10.5,e2001d8712401320d4a0,2,-53,"171
",00:07.2,,,,,,,,,,,,,,,,,
05:10.6,e2001d8712461320db93,3,-50,"174
",00:07.2,,,,,,,,,,,,,,,,,
05:11.3,e2001d8712401320d4a0,2,-55,"174
",00:07.9,,,,,,,,,,,,,,,,,
05:11.3,e2001d8712461320db93,3,-51,"171
",00:08.0,,,,,,,,,,,,,,,,,
05:11.4,e2001d8712171320c120,1,-55,"171
",00:08.0,,,,,,,,,,,,,,,,,
05:11.4,e2001d8712461320db93,3,-51,"174
",00:08.1,,,,,,,,,,,,,,,,,
05:11.5,e2001d871271320b9f,4,-57,"174
",00:08.1,,,,,,,,,,,,,,,,,
05:11.5,e2001d8712401320d4a0,2,-57,"171
",00:08.2,,,,,,,,,,,,,,,,,
