time,id,id_num,RSSI,phase,activity
05:31.5,e2001d8712461320db93,3,-51,"174
",1
05:31.8,e2001d8712461320db93,3,-51,"171
",1
05:31.1,e2001d8712461320db93,3,-51,"174
",1
05:31.1,e2001d8712461320db93,3,-51,"171
",1
05:31.2,e2001d8712461320db93,3,-51,"168
",1
05:31.2,e2001d8712461320db93,3,-51,"174
",1
05:31.3,e2001d8712461320db93,3,-51,"174
",1
05:31.3,e2001d8712461320db93,3,-51,"174
",1
05:31.3,e2001d8712461320db93,3,-51,"171
",1
05:31.4,e2001d8712461320db93,3,-52,"174
",1
05:31.4,e2001d8712461320db93,3,-51,"171
",1
05:31.4,e2001d8712461320db93,3,-51,"174
",1
05:31.4,e2001d8712461320db93,3,-51,"171
",1
05:31.5,e2001d8712461320db93,3,-49,"171
",1
05:31.5,e2001d8712461320db93,3,-51,"174
",1
05:31.6,e2001d8712461320db93,3,-51,"171
",1
05:31.6,e2001d8712461320db93,3,-50,"174
",1
05:31.6,e2001d8712461320db93,3,-49,"171
",1
05:31.7,e2001d8712461320db93,3,-49,"171
",1
05:31.7,e2001d8712461320db93,3,-49,"174
",1
05:31.7,e2001d8712461320db93,3,-50,"174
",1
05:31.7,e2001d8712461320db93,3,-50,"174
",1
05:31.8,e2001d8712461320db93,3,-50,"171
",1
05:31.8,e2001d8712461320db93,3,-50,"174
",1
05:31.8,e2001d8712461320db93,3,-50,"174
",1
05:31.9,e2001d8712461320db93,3,-50,"168
",1
05:31.9,e2001d8712461320db93,3,-50,"171
",1
05:31.9,e2001d8712461320db93,3,-49,"171
",1
05:32.0,e2001d8712461320db93,3,-49,"168
",1
05:32.0,e2001d8712461320db93,3,-49,"171
",1
05:32.2,e2001d8712461320db93,3,-50,"174
",1
05:32.5,e2001d8712461320db93,3,-50,"168
",1
05:32.8,e2001d8712461320db93,3,-50,"171
",1
05:32.1,e2001d8712461320db93,3,-49,"174
",1
05:32.2,e2001d8712461320db93,3,-50,"174
",1
05:32.2,e2001d8712461320db93,3,-51,"171
",1
05:32.2,e2001d8712461320db93,3,-51,"171
",1
05:32.2,e2001d8712461320db93,3,-51,"168
",1
05:32.3,e2001d8712461320db93,3,-51,"174
",1
05:32.3,e2001d8712461320db93,3,-51,"174
",1
05:32.4,e2001d8712461320db93,3,-52,"174
",1
05:32.4,e2001d8712461320db93,3,-51,"174
",1
05:32.4,e2001d8712461320db93,3,-52,"168
",1
05:32.4,e2001d8712461320db93,3,-51,"174
",1
05:32.5,e2001d8712461320db93,3,-50,"171
",1
05:32.5,e2001d8712461320db93,3,-50,"171
",1
05:32.5,e2001d8712461320db93,3,-51,"174
",1
05:32.6,e2001d8712461320db93,3,-51,"174
",1
05:32.6,e2001d8712461320db93,3,-51,"174
",1
05:32.6,e2001d8712461320db93,3,-51,"171
",1
05:32.7,e2001d8712461320db93,3,-51,"174
",1
05:32.7,e2001d8712461320db93,3,-51,"171
",1
05:32.7,e2001d8712461320db93,3,-50,"174
",1
05:32.7,e2001d8712461320db93,3,-51,"171
",1
05:32.8,e2001d8712461320db93,3,-51,"174
",1
05:32.8,e2001d8712461320db93,3,-51,"174
",1
05:32.8,e2001d8712461320db93,3,-52,"174
",1
05:32.9,e2001d8712461320db93,3,-51,"171
",1
05:32.9,e2001d8712461320db93,3,-51,"171
",1
05:32.9,e2001d8712461320db93,3,-52,"171
",1
05:33.0,e2001d8712461320db93,3,-52,"174
",1
05:33.0,e2001d8712461320db93,3,-53,"171
",1
05:33.2,e2001d8712461320db93,3,-52,"174
",1
05:33.5,e2001d8712461320db93,3,-52,"174
",1
05:33.8,e2001d8712461320db93,3,-51,"174
",1
05:33.1,e2001d8712461320db93,3,-51,"174
",1
05:33.2,e2001d8712461320db93,3,-51,"171
",1
05:33.2,e2001d8712461320db93,3,-52,"174
",1
05:33.2,e2001d8712461320db93,3,-52,"174
",1
05:33.3,e2001d8712461320db93,3,-52,"174
",1
05:33.3,e2001d8712461320db93,3,-52,"171
",1
05:33.3,e2001d8712461320db93,3,-51,"171
",1
05:33.4,e2001d8712461320db93,3,-52,"174
",1
05:33.4,e2001d8712461320db93,3,-51,"171
",1
05:33.4,e2001d8712461320db93,3,-51,"171
",1
05:33.4,e2001d8712461320db93,3,-51,"174
",1
05:33.5,e2001d8712461320db93,3,-51,"174
",1
05:33.5,e2001d8712461320db93,3,-51,"171
",1
05:33.5,e2001d8712461320db93,3,-51,"174
",1
05:33.6,e2001d8712461320db93,3,-51,"174
",1
05:33.6,e2001d8712461320db93,3,-51,"171
",1
05:33.6,e2001d8712461320db93,3,-51,"174
",1
05:33.7,e2001d8712461320db93,3,-51,"171
",1
05:33.7,e2001d8712461320db93,3,-51,"171
",1
05:33.7,e2001d8712461320db93,3,-51,"171
",1
05:33.7,e2001d8712461320db93,3,-52,"168
",1
05:33.8,e2001d8712461320db93,3,-51,"171
",1
05:33.8,e2001d8712461320db93,3,-52,"171
",1
05:33.8,e2001d8712461320db93,3,-51,"171
",1
05:33.9,e2001d8712461320db93,3,-51,"171
",1
05:33.9,e2001d8712461320db93,3,-51,"174
",1
05:33.9,e2001d8712461320db93,3,-51,"174
",1
05:34.0,e2001d8712461320db93,3,-51,"174
",1
05:34.0,e2001d8712461320db93,3,-51,"174
",1
05:34.2,e2001d8712461320db93,3,-51,"171
",1
05:34.5,e2001d8712461320db93,3,-51,"174
",1
05:34.8,e2001d8712461320db93,3,-51,"174
",1
05:34.1,e2001d8712461320db93,3,-51,"174
",1
05:34.1,e2001d8712461320db93,3,-51,"171
",1
05:34.2,e2001d8712461320db93,3,-51,"171
",1
05:34.2,e2001d8712461320db93,3,-51,"174
",1
05:34.2,e2001d8712461320db93,3,-51,"174
",1
05:34.3,e2001d8712461320db93,3,-51,"171
",1
05:34.3,e2001d8712461320db93,3,-51,"171
",1
05:34.4,e2001d8712461320db93,3,-51,"171
",1
05:34.4,e2001d8712461320db93,3,-49,"174
",1
05:34.4,e2001d8712461320db93,3,-49,"174
",1
05:34.5,e2001d8712461320db93,3,-49,"174
",1
05:34.5,e2001d8712461320db93,3,-49,"174
",1
05:34.5,e2001d8712461320db93,3,-49,"174
",1
05:34.5,e2001d8712461320db93,3,-49,"171
",1
05:34.6,e2001d8712461320db93,3,-49,"174
",1
05:34.6,e2001d8712461320db93,3,-49,"174
",1
05:34.7,e2001d8712461320db93,3,-49,"174
",1
05:34.7,e2001d8712461320db93,3,-50,"174
",1
05:34.7,e2001d8712461320db93,3,-50,"171
",1
05:34.7,e2001d8712461320db93,3,-50,"174
",1
05:34.8,e2001d8712461320db93,3,-50,"177
",1
05:34.8,e2001d8712461320db93,3,-51,"171
",1
05:34.9,e2001d8712461320db93,3,-49,"171
",1
05:34.9,e2001d8712461320db93,3,-49,"174
",1
05:34.9,e2001d8712461320db93,3,-50,"171
",1
05:35.0,e2001d8712461320db93,3,-49,"171
",1
05:35.0,e2001d8712461320db93,3,-51,"168
",1
05:35.0,e2001d8712461320db93,3,-51,"174
",1
05:35.3,e2001d8712461320db93,3,-51,"174
",1
