,time,activity,mean,variance
0,07:35.6,5,-50,2
1,07:35.9,5,-50,1
2,07:36.1,5,-49,0
3,07:36.3,5,-55,4
4,07:36.5,5,-56,2
5,07:38.3,5,-51,0
6,07:38.5,5,-49,0
7,07:38.8,5,-51,0
8,07:41.4,5,-50,0
9,07:41.6,5,-50,0
10,07:41.9,5,-52,0
11,07:43.0,5,-56,0
12,07:43.8,5,-55,0
13,07:43.9,5,-52,4
14,07:44.1,5,-49,0
15,07:44.4,5,-49,0
16,07:44.5,5,-52,22
17,07:44.8,5,-56,2
18,07:46.3,5,-54,7
19,07:46.9,5,-49,6
20,07:47.2,5,-51,4
21,07:47.4,5,-53,1
22,07:48.9,5,-56,2
23,07:49.7,5,-56,1
24,07:49.5,5,-51,1
25,07:49.9,5,-53,6
26,07:51.6,5,-56,0
27,07:51.9,5,-52,5
28,07:52.5,5,-51,0
29,07:52.7,5,-52,1
30,07:52.8,5,-53,4
31,07:54.4,5,-52,4
32,07:54.7,5,-49,0
33,07:54.8,5,-52,27
34,07:57.3,5,-54,7
35,07:57.5,5,-50,3
36,07:57.7,5,-50,1
37,07:57.9,5,-53,4
38,07:58.1,5,-56,5
39,07:58.7,5,-58,0
40,07:59.7,5,-50,1
41,08:00.2,5,-49,0
42,08:00.2,5,-52,5
43,08:00.8,5,-53,4
44,08:02.8,5,-50,0
45,08:03.7,5,-53,3
46,08:03.4,5,-57,1
47,08:05.3,5,-55,0
48,08:05.4,5,-52,0
49,08:05.7,5,-52,0
50,08:06.2,5,-53,14
51,08:07.7,5,-53,1
52,08:08.5,5,-50,5
53,08:08.8,5,-50,1
54,08:08.9,5,-56,0
55,08:09.5,5,-54,1
56,08:09.5,5,-57,0
57,08:10.6,5,-55,0
58,08:10.7,5,-53,4
59,08:10.9,5,-49,0
60,08:11.3,5,-49,0
61,08:11.5,5,-52,16
62,08:11.9,5,-55,4
63,08:13.3,5,-53,4
64,08:13.7,5,-51,0
65,08:14.0,5,-52,1
66,08:14.2,5,-52,0
67,08:14.3,5,-54,1
68,08:15.8,5,-55,4
69,08:16.0,5,-50,1
70,08:16.1,5,-49,0
71,08:16.3,5,-49,0
72,08:16.5,5,-51,1
73,08:16.8,5,-56,3
74,08:18.2,5,-52,0
75,08:18.1,5,-53,1
76,08:19.2,5,-52,0
77,08:19.3,5,-54,1
78,08:19.4,5,-56,1
79,08:21.0,5,-55,7
80,08:21.2,5,-50,2
81,08:21.7,5,-51,2
82,08:35.4,6,-58,0
83,08:35.5,6,-59,0
84,08:37.9,6,-59,4
85,08:42.7,6,-57,0
86,08:43.0,6,-57,0
87,10:52.2,4,-55,0
88,10:52.4,4,-55,0
89,10:52.7,4,-55,0
90,10:52.9,4,-56,1
91,11:01.7,5,-54,6
92,11:01.9,5,-52,0
93,11:02.2,5,-51,1
94,11:02.4,5,-51,0
95,11:02.5,5,-51,0
96,11:02.9,5,-53,1
97,11:03.0,5,-55,4
98,11:04.6,5,-56,0
99,11:04.7,5,-53,3
100,11:05.2,5,-52,0
101,11:05.1,5,-52,0
102,11:05.3,5,-54,3
103,11:05.5,5,-56,4
104,11:07.8,5,-52,0
105,11:07.2,5,-52,0
106,11:07.4,5,-52,0
107,11:07.5,5,-52,0
108,11:07.8,5,-54,3
109,11:08.2,5,-54,1
110,11:08.2,5,-55,0
111,11:09.7,5,-54,1
112,11:10.7,5,-52,0
113,11:10.4,5,-51,0
114,11:10.5,5,-52,0
115,11:10.6,5,-53,2
116,11:10.8,5,-52,0
117,11:12.2,5,-55,1
118,11:12.4,5,-55,1
119,11:12.6,5,-53,3
120,11:12.8,5,-51,2
121,11:12.9,5,-51,1
122,11:13.5,5,-52,0
123,11:15.0,5,-55,9
124,11:15.2,5,-52,1
125,11:15.8,5,-52,0
126,11:15.9,5,-53,2
127,11:16.3,5,-54,3
128,11:16.1,5,-55,0
129,11:16.3,5,-55,12
130,11:17.6,5,-55,1
131,11:17.8,5,-53,1
132,11:17.9,5,-55,0
133,11:18.3,5,-53,2
134,11:18.2,5,-50,2
135,11:18.4,5,-50,3
136,11:18.1,5,-52,1
137,11:18.1,5,-56,3
138,11:20.2,5,-55,9
139,11:21.3,5,-51,0
140,11:21.2,5,-52,0
141,11:21.5,5,-54,5
142,11:21.8,5,-57,0
143,11:22.9,5,-56,7
144,11:23.7,5,-52,0
145,11:23.2,5,-51,8
146,11:23.7,5,-52,6
147,11:24.4,5,-54,5
148,11:25.7,5,-54,2
149,11:26.1,5,-51,3
150,11:26.5,5,-51,1
151,11:26.7,5,-52,0
152,11:26.9,5,-52,0
153,11:27.2,5,-54,6
154,11:28.4,5,-51,0
155,11:28.5,5,-51,1
156,11:28.7,5,-50,0
157,11:28.9,5,-51,0
158,11:29.2,5,-51,0
159,11:29.2,5,-52,0
160,11:31.5,5,-51,0
161,11:31.3,5,-49,0
162,11:31.6,5,-49,1
163,11:32.0,5,-49,0
164,11:32.3,5,-52,0
165,11:32.4,5,-52,0
166,11:32.6,5,-55,1
167,11:33.7,5,-51,0
168,11:33.9,5,-53,2
169,11:34.3,5,-51,0
170,11:34.2,5,-49,0
171,11:34.3,5,-50,0
172,11:34.6,5,-52,0
173,11:34.8,5,-50,0
174,11:34.9,5,-53,7
175,11:35.4,5,-57,3
176,11:36.1,5,-52,4
177,11:36.5,5,-51,0
178,11:36.6,5,-49,0
179,11:37.0,5,-51,0
180,11:37.3,5,-55,14
181,11:38.6,5,-57,0
182,11:38.7,5,-55,12
183,11:38.9,5,-50,0
184,11:39.7,5,-51,1
185,11:39.3,5,-49,0
186,11:39.6,5,-50,1
187,11:39.9,5,-51,0
188,11:40.2,5,-52,4
189,11:41.1,5,-58,1
190,11:41.7,5,-49,1
191,11:41.9,5,-50,1
192,11:42.1,5,-49,0
193,11:42.4,5,-49,1
194,11:42.7,5,-51,0
195,11:42.9,5,-51,0
196,11:43.2,5,-57,0
197,11:43.3,5,-58,1
198,11:44.2,5,-55,0
199,11:44.2,5,-51,0
200,11:44.3,5,-50,0
201,11:44.6,5,-50,0
202,11:44.9,5,-49,0
203,11:45.2,5,-49,0
204,11:45.5,5,-51,1
205,11:45.8,5,-54,7
206,11:46.4,5,-57,0
207,11:46.8,5,-53,12
208,11:47.2,5,-49,1
209,11:47.6,5,-49,0
210,11:47.9,5,-49,0
211,11:48.8,5,-50,0
212,11:48.4,5,-52,1
213,11:49.5,5,-55,12
214,11:49.9,5,-51,0
215,11:50.1,5,-51,3
216,11:50.4,5,-49,0
217,11:50.7,5,-49,0
218,11:50.9,5,-49,0
219,11:51.2,5,-49,0
220,11:51.3,5,-49,0
221,11:51.7,5,-49,0
222,11:52.1,5,-50,1
223,11:52.4,5,-49,0
224,11:53.2,5,-49,0
225,11:53.5,5,-49,0
226,11:53.7,5,-49,0
227,11:54.7,5,-47,1
228,11:54.2,5,-49,0
229,11:54.4,5,-51,3
230,12:05.6,2,-57,0
231,12:06.7,2,-57,1
232,12:07.3,2,-55,0
233,12:07.2,2,-55,0
234,12:07.5,2,-55,0
235,12:07.8,2,-55,0
236,12:07.9,2,-54,1
237,12:08.3,2,-55,0
238,12:15.9,6,-55,0
239,12:16.8,6,-55,0
240,12:16.3,6,-55,0
241,12:16.5,6,-55,0
242,12:16.6,6,-55,0
243,12:16.7,6,-55,0
244,12:16.9,6,-55,0
245,12:17.1,6,-55,0
246,12:17.6,6,-55,0
247,12:17.8,6,-55,0
248,12:17.9,6,-55,0
249,12:18.1,6,-54,1
250,12:18.0,6,-53,1
251,12:18.1,6,-55,0
252,12:18.1,6,-55,1
253,12:18.1,6,-56,0
254,12:19.1,6,-55,0
