time,id,tag_id,RSSI,phase,17:22.6,activity
17:51.5,e2001d871271320b9f,4,-56,"171
",00:28.9,1
17:51.5,e2001d871271320b9f,4,-58,"168
",00:28.9,1
17:51.7,e2001d871271320b9f,4,-57,"168
",00:29.1,1
17:51.7,e2001d871271320b9f,4,-56,"171
",00:29.1,1
17:51.8,e2001d871271320b9f,4,-55,"171
",00:29.2,1
17:52.0,e2001d871271320b9f,4,-53,"174
",00:29.3,1
17:52.0,e2001d871271320b9f,4,-55,"171
",00:29.4,1
17:52.0,e2001d871271320b9f,4,-55,"174
",00:29.4,1
17:52.1,e2001d871271320b9f,4,-55,"168
",00:29.5,1
17:52.2,e2001d871271320b9f,4,-55,"174
",00:29.5,1
17:52.2,e2001d871271320b9f,4,-55,"174
",00:29.6,1
17:52.3,e2001d871271320b9f,4,-55,"174
",00:29.6,1
17:52.3,e2001d871271320b9f,4,-55,"174
",00:29.6,1
17:52.3,e2001d871271320b9f,4,-55,"168
",00:29.7,1
17:52.4,e2001d871271320b9f,4,-55,"174
",00:29.7,1
17:52.4,e2001d871271320b9f,4,-55,"168
",00:29.8,1
17:52.5,e2001d871271320b9f,4,-55,"171
",00:29.8,1
17:52.5,e2001d871271320b9f,4,-55,"174
",00:29.8,1
17:52.5,e2001d871271320b9f,4,-55,"174
",00:29.9,1
17:52.6,e2001d871271320b9f,4,-53,"171
",00:29.9,1
17:52.6,e2001d871271320b9f,4,-53,"168
",00:30.0,1
17:52.6,e2001d871271320b9f,4,-53,"171
",00:30.0,1
17:52.7,e2001d871271320b9f,4,-55,"171
",00:30.0,1
17:52.7,e2001d871271320b9f,4,-53,"177
",00:30.1,1
17:52.7,e2001d871271320b9f,4,-53,"171
",00:30.1,1
17:52.8,e2001d871271320b9f,4,-53,"171
",00:30.1,1
17:52.9,e2001d871271320b9f,4,-53,"171
",00:30.2,1
17:52.9,e2001d871271320b9f,4,-53,"174
",00:30.3,1
17:52.9,e2001d871271320b9f,4,-53,"174
",00:30.3,1
17:53.0,e2001d871271320b9f,4,-53,"171
",00:30.3,1
17:53.1,e2001d871271320b9f,4,-53,"174
",00:30.5,1
17:53.2,e2001d871271320b9f,4,-53,"171
",00:30.5,1
17:53.2,e2001d871271320b9f,4,-55,"171
",00:30.6,1
17:53.3,e2001d871271320b9f,4,-55,"171
",00:30.6,1
17:53.3,e2001d871271320b9f,4,-55,"168
",00:30.7,1
17:53.4,e2001d871271320b9f,4,-55,"171
",00:30.7,1
17:53.4,e2001d871271320b9f,4,-55,"174
",00:30.7,1
17:53.4,e2001d871271320b9f,4,-55,"174
",00:30.8,1
17:53.4,e2001d871271320b9f,4,-53,"171
",00:30.8,1
17:53.5,e2001d871271320b9f,4,-55,"171
",00:30.8,1
17:53.5,e2001d871271320b9f,4,-53,"171
",00:30.9,1
17:53.6,e2001d871271320b9f,4,-55,"171
",00:30.9,1
17:53.6,e2001d871271320b9f,4,-55,"174
",00:31.0,1
17:53.7,e2001d871271320b9f,4,-53,"174
",00:31.0,1
17:53.7,e2001d871271320b9f,4,-55,"174
",00:31.0,1
17:53.7,e2001d871271320b9f,4,-53,"174
",00:31.1,1
17:53.8,e2001d871271320b9f,4,-55,"174
",00:31.1,1
17:53.8,e2001d871271320b9f,4,-55,"168
",00:31.2,1
17:53.9,e2001d871271320b9f,4,-55,"168
",00:31.2,1
17:53.9,e2001d871271320b9f,4,-55,"171
",00:31.3,1
17:53.9,e2001d871271320b9f,4,-55,"171
",00:31.3,1
17:54.0,e2001d871271320b9f,4,-55,"171
",00:31.3,1
17:54.1,e2001d871271320b9f,4,-55,"171
",00:31.5,1
17:54.2,e2001d871271320b9f,4,-55,"171
",00:31.5,1
17:54.2,e2001d871271320b9f,4,-53,"168
",00:31.5,1
17:54.2,e2001d871271320b9f,4,-55,"171
",00:31.6,1
17:54.3,e2001d871271320b9f,4,-53,"177
",00:31.6,1
17:54.3,e2001d871271320b9f,4,-53,"174
",00:31.7,1
17:54.3,e2001d871271320b9f,4,-55,"174
",00:31.7,1
17:54.4,e2001d871271320b9f,4,-53,"174
",00:31.8,1
17:54.4,e2001d871271320b9f,4,-55,"171
",00:31.8,1
17:54.5,e2001d871271320b9f,4,-53,"174
",00:31.9,1
17:54.5,e2001d871271320b9f,4,-53,"171
",00:31.9,1
17:54.6,e2001d871271320b9f,4,-53,"171
",00:32.0,1
17:54.6,e2001d871271320b9f,4,-53,"171
",00:32.0,1
17:54.7,e2001d871271320b9f,4,-55,"168
",00:32.1,1
17:54.7,e2001d871271320b9f,4,-53,"174
",00:32.1,1
17:54.8,e2001d871271320b9f,4,-53,"174
",00:32.1,1
17:54.8,e2001d871271320b9f,4,-55,"171
",00:32.2,1
17:54.8,e2001d871271320b9f,4,-55,"174
",00:32.2,1
17:54.8,e2001d871271320b9f,4,-55,"174
",00:32.2,1
17:54.9,e2001d871271320b9f,4,-53,"171
",00:32.2,1
17:54.9,e2001d871271320b9f,4,-55,"174
",00:32.3,1
17:55.0,e2001d871271320b9f,4,-55,"171
",00:32.3,1
17:55.0,e2001d871271320b9f,4,-55,"174
",00:32.4,1
17:55.0,e2001d871271320b9f,4,-55,"174
",00:32.4,1
17:55.1,e2001d871271320b9f,4,-53,"171
",00:32.5,1
17:55.1,e2001d871271320b9f,4,-55,"171
",00:32.5,1
17:55.2,e2001d871271320b9f,4,-53,"174
",00:32.5,1
17:55.2,e2001d871271320b9f,4,-55,"171
",00:32.5,1
17:55.2,e2001d871271320b9f,4,-55,"174
",00:32.6,1
17:55.3,e2001d871271320b9f,4,-55,"171
",00:32.6,1
17:55.3,e2001d871271320b9f,4,-55,"174
",00:32.6,1
17:55.3,e2001d871271320b9f,4,-55,"174
",00:32.7,1
17:55.4,e2001d871271320b9f,4,-53,"171
",00:32.7,1
17:55.4,e2001d871271320b9f,4,-55,"171
",00:32.8,1
17:55.4,e2001d871271320b9f,4,-55,"174
",00:32.8,1
17:55.5,e2001d871271320b9f,4,-53,"168
",00:32.8,1
17:55.5,e2001d871271320b9f,4,-55,"174
",00:32.9,1
17:55.5,e2001d871271320b9f,4,-55,"168
",00:32.9,1
17:55.6,e2001d871271320b9f,4,-55,"171
",00:32.9,1
17:55.6,e2001d871271320b9f,4,-55,"171
",00:33.0,1
17:55.6,e2001d871271320b9f,4,-53,"174
",00:33.0,1
17:55.7,e2001d871271320b9f,4,-55,"171
",00:33.0,1
17:55.7,e2001d871271320b9f,4,-55,"171
",00:33.1,1
17:55.8,e2001d871271320b9f,4,-53,"174
",00:33.1,1
17:55.8,e2001d871271320b9f,4,-55,"174
",00:33.2,1
17:55.8,e2001d871271320b9f,4,-55,"174
",00:33.2,1
17:55.9,e2001d871271320b9f,4,-55,"174
",00:33.2,1
17:55.9,e2001d871271320b9f,4,-53,"171
",00:33.3,1
17:55.9,e2001d871271320b9f,4,-55,"174
",00:33.3,1
17:56.0,e2001d871271320b9f,4,-55,"174
",00:33.3,1
17:56.0,e2001d871271320b9f,4,-53,"171
",00:33.4,1
17:56.1,e2001d871271320b9f,4,-53,"174
",00:33.5,1
17:56.1,e2001d871271320b9f,4,-55,"174
",00:33.5,1
17:56.2,e2001d871271320b9f,4,-55,"174
",00:33.6,1
17:56.3,e2001d871271320b9f,4,-55,"174
",00:33.6,1
17:56.3,e2001d871271320b9f,4,-55,"171
",00:33.7,1
17:56.3,e2001d871271320b9f,4,-55,"168
",00:33.7,1
17:56.4,e2001d871271320b9f,4,-55,"171
",00:33.7,1
17:56.4,e2001d871271320b9f,4,-53,"174
",00:33.8,1
17:56.4,e2001d871271320b9f,4,-55,"174
",00:33.8,1
17:56.5,e2001d871271320b9f,4,-55,"171
",00:33.9,1
17:56.5,e2001d871271320b9f,4,-55,"171
",00:33.9,1
17:56.5,e2001d871271320b9f,4,-55,"168
",00:33.9,1
17:56.6,e2001d871271320b9f,4,-55,"174
",00:34.0,1
17:56.6,e2001d871271320b9f,4,-55,"171
",00:34.0,1
17:56.7,e2001d871271320b9f,4,-55,"171
",00:34.1,1
17:56.7,e2001d871271320b9f,4,-55,"174
",00:34.1,1
17:56.8,e2001d871271320b9f,4,-53,"174
",00:34.1,1
17:56.9,e2001d871271320b9f,4,-55,"174
",00:34.2,1
17:56.9,e2001d871271320b9f,4,-55,"171
",00:34.3,1
17:56.9,e2001d871271320b9f,4,-55,"171
",00:34.3,1
17:57.0,e2001d871271320b9f,4,-55,"174
",00:34.3,1
17:57.0,e2001d871271320b9f,4,-55,"174
",00:34.4,1
17:57.1,e2001d871271320b9f,4,-55,"174
",00:34.5,1
17:57.3,e2001d871271320b9f,4,-55,"174
",00:34.7,1
17:57.3,e2001d871271320b9f,4,-55,"171
",00:34.7,1
17:57.4,e2001d871271320b9f,4,-55,"174
",00:34.7,1
17:57.4,e2001d871271320b9f,4,-55,"174
",00:34.8,1
17:57.5,e2001d871271320b9f,4,-53,"174
",00:34.8,1
17:57.5,e2001d871271320b9f,4,-55,"174
",00:34.9,1
17:57.6,e2001d871271320b9f,4,-55,"174
",00:34.9,1
17:57.6,e2001d871271320b9f,4,-55,"168
",00:35.0,1
17:57.6,e2001d871271320b9f,4,-55,"174
",00:35.0,1
17:57.6,e2001d871271320b9f,4,-55,"174
",00:35.0,1
17:57.7,e2001d871271320b9f,4,-55,"174
",00:35.0,1
17:57.7,e2001d871271320b9f,4,-55,"174
",00:35.1,1
17:57.8,e2001d871271320b9f,4,-55,"171
",00:35.1,1
17:57.9,e2001d871271320b9f,4,-55,"174
",00:35.3,1
17:57.9,e2001d871271320b9f,4,-53,"174
",00:35.3,1
17:58.0,e2001d871271320b9f,4,-53,"174
",00:35.3,1
17:58.0,e2001d871271320b9f,4,-53,"171
",00:35.4,1
17:58.1,e2001d871271320b9f,4,-53,"171
",00:35.5,1
17:58.2,e2001d871271320b9f,4,-55,"171
",00:35.6,1
17:58.2,e2001d871271320b9f,4,-55,"174
",00:35.6,1
17:58.3,e2001d871271320b9f,4,-55,"174
",00:35.7,1
17:58.3,e2001d871271320b9f,4,-55,"171
",00:35.7,1
17:58.4,e2001d871271320b9f,4,-53,"174
",00:35.7,1
17:58.4,e2001d871271320b9f,4,-55,"171
",00:35.7,1
17:58.4,e2001d871271320b9f,4,-55,"174
",00:35.8,1
17:58.4,e2001d871271320b9f,4,-55,"171
",00:35.8,1
17:58.5,e2001d871271320b9f,4,-55,"174
",00:35.9,1
17:58.5,e2001d871271320b9f,4,-53,"171
",00:35.9,1
17:58.6,e2001d871271320b9f,4,-55,"174
",00:35.9,1
17:58.6,e2001d871271320b9f,4,-53,"168
",00:36.0,1
17:58.6,e2001d871271320b9f,4,-53,"168
",00:36.0,1
17:58.7,e2001d871271320b9f,4,-53,"168
",00:36.0,1
17:58.7,e2001d871271320b9f,4,-55,"174
",00:36.1,1
17:58.8,e2001d871271320b9f,4,-55,"171
",00:36.1,1
17:58.8,e2001d871271320b9f,4,-53,"171
",00:36.2,1
17:58.9,e2001d871271320b9f,4,-53,"171
",00:36.2,1
17:58.9,e2001d871271320b9f,4,-53,"171
",00:36.3,1
17:58.9,e2001d871271320b9f,4,-53,"171
",00:36.3,1
17:59.0,e2001d871271320b9f,4,-53,"171
",00:36.3,1
17:59.1,e2001d871271320b9f,4,-53,"174
",00:36.5,1
17:59.2,e2001d871271320b9f,4,-53,"168
",00:36.5,1
17:59.2,e2001d871271320b9f,4,-53,"171
",00:36.6,1
17:59.2,e2001d871271320b9f,4,-55,"174
",00:36.6,1
17:59.3,e2001d871271320b9f,4,-55,"165
",00:36.6,1
17:59.3,e2001d871271320b9f,4,-52,"174
",00:36.7,1
17:59.3,e2001d871271320b9f,4,-55,"171
",00:36.7,1
17:59.4,e2001d871271320b9f,4,-55,"171
",00:36.8,1
17:59.4,e2001d871271320b9f,4,-53,"171
",00:36.8,1
17:59.5,e2001d871271320b9f,4,-53,"171
",00:36.8,1
17:59.5,e2001d871271320b9f,4,-53,"171
",00:36.9,1
17:59.6,e2001d871271320b9f,4,-55,"174
",00:36.9,1
17:59.6,e2001d871271320b9f,4,-55,"171
",00:37.0,1
17:59.6,e2001d871271320b9f,4,-55,"171
",00:37.0,1
17:59.7,e2001d871271320b9f,4,-55,"168
",00:37.0,1
17:59.7,e2001d871271320b9f,4,-55,"171
",00:37.0,1
17:59.7,e2001d871271320b9f,4,-55,"174
",00:37.1,1
17:59.8,e2001d871271320b9f,4,-55,"174
",00:37.1,1
17:59.8,e2001d871271320b9f,4,-53,"174
",00:37.2,1
17:59.9,e2001d871271320b9f,4,-53,"174
",00:37.2,1
17:59.9,e2001d871271320b9f,4,-55,"171
",00:37.3,1
17:59.9,e2001d871271320b9f,4,-55,"168
",00:37.3,1
18:00.0,e2001d871271320b9f,4,-53,"174
",00:37.3,1
18:00.1,e2001d871271320b9f,4,-53,"168
",00:37.5,1
18:00.2,e2001d871271320b9f,4,-53,"171
",00:37.5,1
18:00.2,e2001d871271320b9f,4,-53,"171
",00:37.6,1
18:00.2,e2001d871271320b9f,4,-55,"171
",00:37.6,1
18:00.3,e2001d871271320b9f,4,-55,"171
",00:37.6,1
18:00.3,e2001d871271320b9f,4,-55,"171
",00:37.7,1
18:00.3,e2001d871271320b9f,4,-53,"174
",00:37.7,1
18:00.4,e2001d871271320b9f,4,-55,"171
",00:37.7,1
18:00.4,e2001d871271320b9f,4,-55,"171
",00:37.7,1
18:00.4,e2001d871271320b9f,4,-55,"168
",00:37.8,1
18:00.4,e2001d871271320b9f,4,-55,"174
",00:37.8,1
18:00.5,e2001d871271320b9f,4,-55,"168
",00:37.9,1
18:00.6,e2001d871271320b9f,4,-55,"171
",00:37.9,1
18:00.6,e2001d871271320b9f,4,-55,"174
",00:38.0,1
18:00.6,e2001d871271320b9f,4,-55,"174
",00:38.0,1
18:00.7,e2001d871271320b9f,4,-53,"171
",00:38.0,1
18:00.7,e2001d871271320b9f,4,-55,"171
",00:38.1,1
18:00.7,e2001d871271320b9f,4,-53,"171
",00:38.1,1
18:00.8,e2001d871271320b9f,4,-53,"174
",00:38.1,1
18:00.8,e2001d871271320b9f,4,-53,"174
",00:38.2,1
18:00.8,e2001d871271320b9f,4,-53,"168
",00:38.2,1
18:00.8,e2001d871271320b9f,4,-53,"171
",00:38.2,1
18:00.9,e2001d871271320b9f,4,-53,"171
",00:38.2,1
18:00.9,e2001d871271320b9f,4,-53,"174
",00:38.3,1
18:00.9,e2001d871271320b9f,4,-53,"168
",00:38.3,1
18:01.0,e2001d871271320b9f,4,-53,"174
",00:38.3,1
18:01.1,e2001d871271320b9f,4,-53,"174
",00:38.5,1
18:01.2,e2001d871271320b9f,4,-53,"174
",00:38.5,1
18:01.2,e2001d871271320b9f,4,-53,"171
",00:38.5,1
18:01.2,e2001d871271320b9f,4,-53,"174
",00:38.6,1
18:01.2,e2001d871271320b9f,4,-55,"174
",00:38.6,1
18:01.3,e2001d871271320b9f,4,-53,"174
",00:38.6,1
18:01.3,e2001d871271320b9f,4,-53,"174
",00:38.7,1
18:01.3,e2001d871271320b9f,4,-53,"174
",00:38.7,1
18:01.4,e2001d871271320b9f,4,-53,"174
",00:38.8,1
18:01.4,e2001d871271320b9f,4,-53,"168
",00:38.8,1
18:01.4,e2001d871271320b9f,4,-53,"171
",00:38.8,1
18:01.5,e2001d871271320b9f,4,-55,"174
",00:38.8,1
18:01.5,e2001d871271320b9f,4,-53,"171
",00:38.9,1
18:01.5,e2001d871271320b9f,4,-55,"174
",00:38.9,1
18:01.6,e2001d871271320b9f,4,-55,"174
",00:38.9,1
18:01.6,e2001d871271320b9f,4,-55,"174
",00:39.0,1
