time,id,tag_id,RSSI,phase,21:17:22.63,activity,,
21:17:51.50,e2001d871271320b9f,4,-56,"171
",00:00:28.87,1,,
21:17:51.52,e2001d871271320b9f,4,-58,"168
",00:00:28.89,1,,
21:17:51.52,e2001d871271320b9f,4,-58,"168
",00:00:28.89,1,,
21:17:51.55,e2001d8712461320db93,3,-55,"174
",00:00:28.92,1,,
21:17:51.60,e2001d8712171320c120,1,-56,"171
",00:00:28.97,1,,
21:17:51.62,e2001d8712461320db93,3,-55,"174
",00:00:28.99,1,,
21:17:51.65,e2001d8712171320c120,1,-56,"171
",00:00:29.02,1,,
21:17:51.66,e2001d8712461320db93,3,-52,"174
",00:00:29.03,1,,
21:17:51.68,e2001d8712461320db93,3,-55,"171
",00:00:29.05,1,,
21:17:51.70,e2001d871271320b9f,4,-57,"168
",00:00:29.07,1,,
21:17:51.73,e2001d871271320b9f,4,-56,"171
",00:00:29.10,1,,
21:17:51.75,e2001d8712171320c120,1,-55,"171
",00:00:29.12,1,,
21:17:51.77,e2001d8712171320c120,1,-55,"174
",00:00:29.14,1,,
21:17:51.77,e2001d8712171320c120,1,-55,"174
",00:00:29.14,1,,
21:17:51.82,e2001d871271320b9f,4,-55,"171
",00:00:29.19,1,,
21:17:51.83,e2001d8712461320db93,3,-52,"174
",00:00:29.20,1,,
21:17:51.95,e2001d8712171320c120,1,-55,"174
",00:00:29.32,1,,
21:17:51.97,e2001d871271320b9f,4,-53,"174
",00:00:29.34,1,,
21:17:51.98,e2001d8712171320c120,1,-55,"171
",00:00:29.35,1,,
21:17:51.99,e2001d871271320b9f,4,-55,"171
",00:00:29.36,1,,
21:17:51.99,e2001d871271320b9f,4,-55,"171
",00:00:29.36,1,,
21:17:52.00,e2001d871271320b9f,4,-55,"174
",00:00:29.37,1,,
21:17:52.12,e2001d871271320b9f,4,-55,"168
",00:00:29.49,1,,
21:17:52.13,e2001d8712171320c120,1,-56,"174
",00:00:29.50,1,,
21:17:52.15,e2001d8712171320c120,1,-56,"168
",00:00:29.52,1,,
21:17:52.17,e2001d871271320b9f,4,-55,"174
",00:00:29.54,1,,
21:17:52.20,e2001d871271320b9f,4,-55,"174
",00:00:29.57,1,,
21:17:52.22,e2001d8712171320c120,1,-55,"168
",00:00:29.59,1,,
21:17:52.24,e2001d8712171320c120,1,-57,"171
",00:00:29.61,1,,
21:17:52.25,e2001d871271320b9f,4,-55,"174
",00:00:29.62,1,,
21:17:52.25,e2001d871271320b9f,4,-55,"174
",00:00:29.62,1,,
21:17:52.28,e2001d871271320b9f,4,-55,"174
",00:00:29.65,1,,
21:17:52.30,e2001d8712171320c120,1,-55,"171
",00:00:29.67,1,,
21:17:52.32,e2001d8712171320c120,1,-56,"174
",00:00:29.69,1,,
21:17:52.33,e2001d871271320b9f,4,-55,"168
",00:00:29.70,1,,
21:17:52.35,e2001d8712461320db93,3,-55,"171
",00:00:29.72,1,,
21:17:52.35,e2001d8712171320c120,1,-55,"174
",00:00:29.72,1,,
21:17:52.37,e2001d871271320b9f,4,-55,"174
",00:00:29.74,1,,
21:17:52.40,e2001d871271320b9f,4,-55,"168
",00:00:29.77,1,,
21:17:52.42,e2001d8712171320c120,1,-55,"174
",00:00:29.79,1,,
