,time,activity,mean,variance
0,18:18.7,2,-51,0
1,18:18.8,2,-49,0
2,18:18.9,2,-49,0
3,18:19.1,2,-47,1
4,18:19.2,2,-49,0
5,18:19.3,2,-49,0
6,18:19.5,2,-52,1
7,18:19.6,2,-56,1
8,18:21.9,2,-53,17
9,18:22.2,2,-47,1
10,18:22.3,2,-49,4
11,18:22.4,2,-49,0
12,18:22.5,2,-51,0
13,18:22.7,2,-56,3
14,18:23.0,2,-53,17
15,18:25.2,2,-52,1
16,18:25.4,2,-48,2
17,18:25.5,2,-47,1
18,18:25.6,2,-49,1
19,18:25.7,2,-51,0
20,18:25.8,2,-54,2
21,18:26.0,2,-58,0
22,18:28.6,2,-52,1
23,18:28.7,2,-49,0
24,18:28.8,2,-48,1
25,18:28.9,2,-49,1
26,18:29.1,2,-51,2
27,18:29.2,2,-55,4
28,18:29.7,2,-53,7
29,18:32.0,2,-51,0
30,18:32.2,2,-55,4
31,18:32.7,2,-55,7
32,18:34.9,2,-53,4
33,18:35.2,2,-51,0
34,18:35.3,2,-51,1
35,18:35.5,2,-54,9
36,18:36.0,2,-53,14
37,18:38.2,2,-50,0
38,18:38.3,2,-53,2
39,18:38.5,2,-57,3
40,18:38.7,2,-54,10
41,18:41.2,2,-51,0
42,18:41.3,2,-52,10
43,18:41.4,2,-50,0
44,18:41.5,2,-51,0
45,18:41.6,2,-54,1
46,18:41.7,2,-57,0
47,18:44.6,2,-53,3
48,18:44.8,2,-51,0
49,18:44.9,2,-52,0
50,18:45.1,2,-56,3
51,18:48.0,2,-51,0
52,18:48.3,2,-53,2
53,18:51.2,2,-53,3
54,18:51.3,2,-51,0
55,18:51.5,2,-54,6
56,18:54.8,2,-54,5
57,18:55.5,2,-56,2
58,18:58.4,2,-55,0
59,18:58.5,2,-55,1
60,19:02.5,2,-56,0
61,24:07.6,5,-58,0
62,24:09.5,5,-55,0
63,24:09.7,5,-55,0
64,24:09.8,5,-54,3
65,24:10.1,5,-52,0
66,24:10.3,5,-55,0
67,24:10.5,5,-54,3
68,24:10.6,5,-55,0
69,24:10.8,5,-55,0
70,24:11.1,5,-57,0
71,24:11.2,5,-57,0
72,24:11.3,5,-58,1
73,24:11.6,5,-57,0
74,24:11.7,5,-57,0
75,24:11.8,5,-57,0
76,24:11.9,5,-57,1
77,24:12.4,5,-57,0
78,24:12.6,5,-57,0
79,24:12.7,5,-57,0
80,24:50.2,6,-56,0
81,24:50.3,6,-56,0
82,24:50.4,6,-57,0
83,24:50.5,6,-57,0
84,24:50.9,6,-57,0
85,24:51.0,6,-57,0
86,24:51.8,6,-57,0
87,24:51.9,6,-57,0
88,25:16.2,5,-57,0
89,25:16.3,5,-56,0
90,25:16.5,5,-57,0
91,25:16.5,5,-57,0
92,25:16.7,5,-57,0
93,25:16.8,5,-57,0
94,25:16.9,5,-57,0
95,25:17.0,5,-57,1
96,25:17.2,5,-55,0
97,25:17.3,5,-55,0
98,25:17.4,5,-55,1
99,25:17.5,5,-56,2
100,25:17.6,5,-56,0
101,25:17.7,5,-57,0
102,25:17.8,5,-57,0
103,25:17.9,5,-56,7
104,25:18.2,5,-52,4
105,25:18.2,5,-51,0
106,25:18.3,5,-50,1
107,25:18.4,5,-46,0
108,25:18.5,5,-46,0
109,25:18.7,5,-48,1
110,25:18.8,5,-49,0
111,25:18.9,5,-49,0
112,25:19.0,5,-49,0
113,25:19.2,5,-48,1
114,25:19.3,5,-47,1
115,25:19.4,5,-48,1
116,25:19.5,5,-49,0
117,25:19.6,5,-49,0
118,25:19.7,5,-49,0
119,25:19.8,5,-50,0
120,25:19.9,5,-49,0
121,25:20.1,5,-49,0
122,25:20.2,5,-49,0
123,25:20.3,5,-48,1
124,25:20.5,5,-47,0
125,25:20.6,5,-49,0
126,25:20.7,5,-49,0
