time,activity,mean,variance,tag_id
17:51.6,1,-55,0,1
17:51.8,1,-55,0,1
17:52.1,1,-55,0,1
17:52.2,1,-56,1,1
17:52.4,1,-55,0,1
17:52.5,1,-55,0,1
17:52.6,1,-55,0,1
17:52.7,1,-56,0,1
17:52.8,1,-56,0,1
17:52.9,1,-55,0,1
17:53.2,1,-55,0,1
17:53.2,1,-55,0,1
17:53.4,1,-55,0,1
17:53.5,1,-55,0,1
17:53.6,1,-55,0,1
17:53.7,1,-55,0,1
17:53.9,1,-55,0,1
17:54.0,1,-55,0,1
17:54.2,1,-55,0,1
17:54.3,1,-55,0,1
17:54.5,1,-56,0,1
17:54.6,1,-56,1,1
17:54.7,1,-55,0,1
17:54.8,1,-55,0,1
17:54.9,1,-56,1,1
17:55.1,1,-55,0,1
17:55.3,1,-55,0,1
17:55.3,1,-55,0,1
17:55.4,1,-55,0,1
17:55.6,1,-55,0,1
17:55.7,1,-55,0,1
17:55.9,1,-55,0,1
17:56.0,1,-55,0,1
17:56.2,1,-55,0,1
17:56.4,1,-55,0,1
17:56.5,1,-55,0,1
17:56.6,1,-55,1,1
17:56.7,1,-55,0,1
17:56.8,1,-55,0,1
17:56.9,1,-56,0,1
17:57.1,1,-55,0,1
17:57.4,1,-55,1,1
17:57.5,1,-55,0,1
17:57.7,1,-55,0,1
17:57.8,1,-56,1,1
17:57.9,1,-55,0,1
17:58.1,1,-55,1,1
17:58.2,1,-55,0,1
17:58.3,1,-55,0,1
17:58.4,1,-55,0,1
17:58.5,1,-55,0,1
17:58.7,1,-56,0,1
17:58.8,1,-56,0,1
17:58.9,1,-56,0,1
17:59.0,1,-56,1,1
17:59.3,1,-55,0,1
17:59.4,1,-55,0,1
17:59.5,1,-55,0,1
17:59.6,1,-55,0,1
17:59.7,1,-56,1,1
17:59.9,1,-55,0,1
18:00.0,1,-55,0,1
18:00.2,1,-55,0,1
18:00.3,1,-55,0,1
18:00.4,1,-55,0,1
18:00.5,1,-55,0,1
18:00.7,1,-55,0,1
18:00.8,1,-55,0,1
18:00.9,1,-55,0,1
18:01.0,1,-56,0,1
18:01.2,1,-55,0,1
18:01.4,1,-55,0,1
18:01.5,1,-55,0,1
18:01.6,1,-55,0,1
18:01.7,1,-55,0,1
18:01.8,1,-55,0,1
18:01.9,1,-55,0,1
18:02.0,1,-55,0,1
18:02.2,1,-55,0,1
18:02.3,1,-55,0,1
18:02.4,1,-55,0,1
18:02.5,1,-55,0,1
18:02.6,1,-55,0,1
18:02.7,1,-55,0,1
18:02.8,1,-55,0,1
18:02.9,1,-55,0,1
18:03.2,1,-55,0,1
18:03.3,1,-55,0,1
18:03.4,1,-55,1,1
18:03.6,1,-56,0,1
18:03.7,1,-56,1,1
18:03.8,1,-55,1,1
18:03.9,1,-55,0,1
18:04.1,1,-55,0,1
18:04.2,1,-55,0,1
18:04.3,1,-55,0,1
18:04.4,1,-55,0,1
18:04.5,1,-55,0,1
18:04.6,1,-55,0,1
18:04.8,1,-55,0,1
18:04.9,1,-55,0,1
18:05.1,1,-55,0,1
18:05.2,1,-55,0,1
18:05.3,1,-56,0,1
18:05.4,1,-55,0,1
18:05.5,1,-55,0,1
18:05.6,1,-55,0,1
18:05.8,1,-55,0,1
18:05.8,1,-55,0,1
18:06.0,1,-55,0,1
18:06.2,1,-55,0,1
18:06.3,1,-55,0,1
18:06.4,1,-56,0,1
18:06.5,1,-55,0,1
18:06.6,1,-55,0,1
18:06.8,1,-55,0,1
18:06.9,1,-55,0,1
18:07.1,1,-55,0,1
18:07.3,1,-55,0,1
18:07.4,1,-55,0,1
18:07.5,1,-56,0,1
18:07.6,1,-55,0,1
18:07.8,1,-55,0,1
18:07.9,1,-55,0,1
18:08.0,1,-55,0,1
18:08.2,1,-55,0,1
18:08.3,1,-55,0,1
18:08.4,1,-55,0,1
18:08.5,1,-55,0,1
18:08.6,1,-55,0,1
18:08.8,1,-55,0,1
18:08.9,1,-55,0,1
18:09.1,1,-55,0,1
18:09.2,1,-55,0,1
18:15.8,2,-58,0,1
18:28.5,2,-58,0,1
18:31.7,2,-58,0,1
18:31.9,2,-58,0,1
18:34.5,2,-58,0,1
18:34.6,2,-58,0,1
18:37.8,2,-58,0,1
18:38.2,2,-58,0,1
18:38.8,2,-58,0,1
18:40.7,2,-58,0,1
18:40.9,2,-58,0,1
18:42.7,2,-59,2,1
18:44.1,2,-58,0,1
18:44.3,2,-57,0,1
18:44.4,2,-57,0,1
18:44.7,2,-58,0,1
18:45.0,2,-57,1,1
18:47.6,2,-57,0,1
18:47.8,2,-57,0,1
18:47.9,2,-57,0,1
18:48.2,2,-57,0,1
18:48.5,2,-58,0,1
18:48.8,2,-57,0,1
18:49.6,2,-58,0,1
18:49.7,2,-58,0,1
18:50.8,2,-57,0,1
18:50.9,2,-57,0,1
18:51.0,2,-57,0,1
18:51.3,2,-58,0,1
18:51.6,2,-57,0,1
18:51.8,2,-58,1,1
18:52.3,2,-58,0,1
18:54.1,2,-58,1,1
18:54.3,2,-57,0,1
18:54.4,2,-57,0,1
18:54.5,2,-56,0,1
18:54.6,2,-55,0,1
18:54.8,2,-57,0,1
18:55.1,2,-56,0,1
18:55.2,2,-57,0,1
18:55.5,2,-57,0,1
18:55.7,2,-57,1,1
18:55.8,2,-58,0,1
18:55.8,2,-57,0,1
18:56.0,2,-58,0,1
18:56.2,2,-57,0,1
18:56.3,2,-57,0,1
18:56.4,2,-58,0,1
18:56.5,2,-57,0,1
18:56.8,2,-58,0,1
18:57.4,2,-59,3,1
18:57.7,2,-57,0,1
18:57.9,2,-58,0,1
18:58.2,2,-57,0,1
18:58.4,2,-56,0,1
18:58.5,2,-57,1,1
18:58.6,2,-57,0,1
18:59.2,2,-56,0,1
18:59.3,2,-57,0,1
18:59.4,2,-57,0,1
18:59.5,2,-58,0,1
18:59.6,2,-57,0,1
18:59.7,2,-57,0,1
18:59.8,2,-57,0,1
19:00.0,2,-57,0,1
19:00.2,2,-57,0,1
19:00.3,2,-57,0,1
19:00.5,2,-59,0,1
19:00.8,2,-57,0,1
19:01.5,2,-57,0,1
19:01.6,2,-56,0,1
19:01.8,2,-55,0,1
19:01.9,2,-55,0,1
19:02.1,2,-55,0,1
19:02.4,2,-57,1,1
19:02.6,2,-56,0,1
19:02.7,2,-56,0,1
19:02.9,2,-57,0,1
19:03.0,2,-57,0,1
19:03.1,2,-58,0,1
19:03.2,2,-57,0,1
19:03.3,2,-56,0,1
19:03.4,2,-57,0,1
19:03.5,2,-57,0,1
19:03.6,2,-57,0,1
19:03.6,2,-57,0,1
19:03.7,2,-56,0,1
19:03.8,2,-57,0,1
19:03.9,2,-58,0,1
19:04.2,2,-57,1,1
19:04.8,2,-57,0,1
19:04.9,2,-56,0,1
19:05.2,2,-56,1,1
19:05.3,2,-55,0,1
19:05.3,2,-56,1,1
19:05.5,2,-55,0,1
19:05.8,2,-57,0,1
19:05.9,2,-57,0,1
19:06.1,2,-56,0,1
19:06.3,2,-56,0,1
19:06.4,2,-56,0,1
19:06.4,2,-57,0,1
19:06.5,2,-56,0,1
19:06.6,2,-56,1,1
19:06.7,2,-56,0,1
19:06.8,2,-56,0,1
19:06.9,2,-56,0,1
19:07.0,2,-55,0,1
19:07.2,2,-56,0,1
19:07.2,2,-57,1,1
19:07.3,2,-56,0,1
19:07.5,2,-58,0,1
19:07.6,2,-58,0,1
19:07.7,2,-57,1,1
19:07.8,2,-58,0,1
19:08.0,2,-57,1,1
19:08.3,2,-56,1,1
19:08.4,2,-56,0,1
19:08.5,2,-56,0,1
19:08.6,2,-55,0,1
19:08.8,2,-55,0,1
19:08.9,2,-55,0,1
19:09.0,2,-55,0,1
19:09.2,2,-57,3,1
19:09.4,2,-56,1,1
19:09.6,2,-56,0,1
19:09.7,2,-55,0,1
19:09.7,2,-56,1,1
19:09.8,2,-56,0,1
19:09.9,2,-57,0,1
19:10.0,2,-55,1,1
19:10.2,2,-55,0,1
19:10.3,2,-55,0,1
19:10.3,2,-55,0,1
19:10.4,2,-56,1,1
19:10.5,2,-57,0,1
19:10.6,2,-57,0,1
19:10.7,2,-56,0,1
19:10.8,2,-56,0,1
19:10.9,2,-57,0,1
19:11.2,2,-57,0,1
19:11.3,2,-57,0,1
