time,id,tag_id,RSSI,phase,17:22.6,activity
17:51.5,e2001d8712461320db93,3,-55,"174
",00:28.9,1
17:51.6,e2001d8712461320db93,3,-55,"174
",00:29.0,1
17:51.7,e2001d8712461320db93,3,-52,"174
",00:29.0,1
17:51.7,e2001d8712461320db93,3,-55,"171
",00:29.1,1
17:51.8,e2001d8712461320db93,3,-52,"174
",00:29.2,1
17:52.4,e2001d8712461320db93,3,-55,"171
",00:29.7,1
17:52.9,e2001d8712461320db93,3,-55,"174
",00:30.2,1
18:16.7,e2001d8712461320db93,3,-61,"171
",00:54.1,2
18:16.8,e2001d8712461320db93,3,-55,"177
",00:54.1,2
18:16.8,e2001d8712461320db93,3,-55,"165
",00:54.2,2
18:16.8,e2001d8712461320db93,3,-55,"174
",00:54.2,2
18:16.9,e2001d8712461320db93,3,-55,"174
",00:54.2,2
18:16.9,e2001d8712461320db93,3,-55,"171
",00:54.3,2
18:17.0,e2001d8712461320db93,3,-55,"171
",00:54.3,2
18:17.0,e2001d8712461320db93,3,-55,"174
",00:54.4,2
18:17.1,e2001d8712461320db93,3,-55,"171
",00:54.5,2
18:17.2,e2001d8712461320db93,3,-55,"168
",00:54.5,2
18:17.2,e2001d8712461320db93,3,-53,"171
",00:54.6,2
18:17.2,e2001d8712461320db93,3,-53,"174
",00:54.6,2
18:17.2,e2001d8712461320db93,3,-53,"171
",00:54.6,2
18:17.3,e2001d8712461320db93,3,-53,"174
",00:54.7,2
18:17.3,e2001d8712461320db93,3,-53,"171
",00:54.7,2
18:17.4,e2001d8712461320db93,3,-53,"171
",00:54.7,2
18:17.4,e2001d8712461320db93,3,-52,"168
",00:54.8,2
18:17.5,e2001d8712461320db93,3,-55,"171
",00:54.9,2
18:17.5,e2001d8712461320db93,3,-55,"174
",00:54.9,2
18:17.5,e2001d8712461320db93,3,-55,"171
",00:54.9,2
18:17.6,e2001d8712461320db93,3,-55,"171
",00:55.0,2
18:17.6,e2001d8712461320db93,3,-55,"174
",00:55.0,2
18:17.7,e2001d8712461320db93,3,-55,"174
",00:55.0,2
