time,id,tag_id,RSSI,phase,17:22.6,activity
18:18.6,e2001d8712401320d4a0,2,-58,"174
",00:55.9,2
18:18.6,e2001d8712401320d4a0,2,-58,"171
",00:56.0,2
18:18.6,e2001d8712401320d4a0,2,-57,"174
",00:56.0,2
18:18.7,e2001d8712401320d4a0,2,-52,"177
",00:56.1,2
18:18.7,e2001d8712401320d4a0,2,-51,"171
",00:56.1,2
18:18.8,e2001d8712401320d4a0,2,-51,"174
",00:56.1,2
18:18.8,e2001d8712401320d4a0,2,-50,"174
",00:56.2,2
18:18.9,e2001d8712401320d4a0,2,-49,"168
",00:56.2,2
18:18.9,e2001d8712401320d4a0,2,-49,"174
",00:56.3,2
18:18.9,e2001d8712401320d4a0,2,-49,"174
",00:56.3,2
18:18.9,e2001d8712401320d4a0,2,-49,"174
",00:56.3,2
18:19.0,e2001d8712401320d4a0,2,-49,"174
",00:56.4,2
18:19.1,e2001d8712401320d4a0,2,-47,"171
",00:56.5,2
18:19.2,e2001d8712401320d4a0,2,-49,"171
",00:56.5,2
18:19.2,e2001d8712401320d4a0,2,-47,"174
",00:56.5,2
18:19.2,e2001d8712401320d4a0,2,-49,"174
",00:56.6,2
18:19.3,e2001d8712401320d4a0,2,-49,"174
",00:56.6,2
18:19.3,e2001d8712401320d4a0,2,-49,"171
",00:56.7,2
18:19.3,e2001d8712401320d4a0,2,-49,"174
",00:56.7,2
18:19.4,e2001d8712401320d4a0,2,-49,"171
",00:56.8,2
18:19.4,e2001d8712401320d4a0,2,-50,"171
",00:56.8,2
18:19.5,e2001d8712401320d4a0,2,-51,"174
",00:56.8,2
18:19.5,e2001d8712401320d4a0,2,-52,"171
",00:56.9,2
18:19.6,e2001d8712401320d4a0,2,-53,"174
",00:56.9,2
18:19.6,e2001d8712401320d4a0,2,-55,"174
",00:57.0,2
18:19.6,e2001d8712401320d4a0,2,-57,"171
",00:57.0,2
18:19.7,e2001d8712401320d4a0,2,-57,"168
",00:57.1,2
18:21.9,e2001d8712401320d4a0,2,-57,"171
",00:59.3,2
18:22.0,e2001d8712401320d4a0,2,-55,"174
",00:59.3,2
18:22.2,e2001d8712401320d4a0,2,-49,"174
",00:59.5,2
18:22.2,e2001d8712401320d4a0,2,-49,"171
",00:59.5,2
18:22.2,e2001d8712401320d4a0,2,-47,"171
",00:59.6,2
18:22.2,e2001d8712401320d4a0,2,-47,"171
",00:59.6,2
18:22.3,e2001d8712401320d4a0,2,-47,"174
",00:59.6,2
18:22.3,e2001d8712401320d4a0,2,-51,"171
",00:59.7,2
18:22.4,e2001d8712401320d4a0,2,-49,"174
",00:59.7,2
18:22.4,e2001d8712401320d4a0,2,-49,"171
",00:59.8,2
18:22.4,e2001d8712401320d4a0,2,-49,"174
",00:59.8,2
18:22.5,e2001d8712401320d4a0,2,-50,"174
",00:59.9,2
18:22.5,e2001d8712401320d4a0,2,-51,"171
",00:59.9,2
18:22.6,e2001d8712401320d4a0,2,-52,"174
",00:59.9,2
18:22.6,e2001d8712401320d4a0,2,-52,"171
",01:00.0,2
18:22.7,e2001d8712401320d4a0,2,-55,"168
",01:00.0,2
18:22.7,e2001d8712401320d4a0,2,-55,"171
",01:00.0,2
18:22.7,e2001d8712401320d4a0,2,-58,"174
",01:00.1,2
18:23.0,e2001d8712401320d4a0,2,-49,"174
",01:00.4,2
18:25.1,e2001d8712401320d4a0,2,-57,"171
",01:02.5,2
18:25.2,e2001d8712401320d4a0,2,-55,"168
",01:02.5,2
18:25.2,e2001d8712401320d4a0,2,-53,"174
",01:02.6,2
18:25.3,e2001d8712401320d4a0,2,-52,"168
",01:02.6,2
18:25.3,e2001d8712401320d4a0,2,-51,"168
",01:02.7,2
18:25.4,e2001d8712401320d4a0,2,-50,"174
",01:02.7,2
18:25.4,e2001d8712401320d4a0,2,-49,"168
",01:02.8,2
18:25.5,e2001d8712401320d4a0,2,-47,"171
",01:02.8,2
18:25.5,e2001d8712401320d4a0,2,-47,"171
",01:02.9,2
18:25.5,e2001d8712401320d4a0,2,-47,"168
",01:02.9,2
18:25.6,e2001d8712401320d4a0,2,-49,"174
",01:02.9,2
18:25.6,e2001d8712401320d4a0,2,-49,"171
",01:03.0,2
18:25.6,e2001d8712401320d4a0,2,-49,"174
",01:03.0,2
18:25.6,e2001d8712401320d4a0,2,-51,"171
",01:03.0,2
18:25.7,e2001d8712401320d4a0,2,-51,"171
",01:03.0,2
18:25.8,e2001d8712401320d4a0,2,-52,"171
",01:03.1,2
18:25.8,e2001d8712401320d4a0,2,-52,"177
",01:03.2,2
18:25.8,e2001d8712401320d4a0,2,-53,"171
",01:03.2,2
18:25.9,e2001d8712401320d4a0,2,-55,"174
",01:03.2,2
18:25.9,e2001d8712401320d4a0,2,-56,"177
",01:03.3,2
18:26.0,e2001d8712401320d4a0,2,-58,"174
",01:03.3,2
18:26.0,e2001d8712401320d4a0,2,-58,"171
",01:03.4,2
18:28.4,e2001d8712401320d4a0,2,-58,"174
",01:05.8,2
18:28.6,e2001d8712401320d4a0,2,-53,"171
",01:05.9,2
18:28.6,e2001d8712401320d4a0,2,-52,"171
",01:06.0,2
18:28.7,e2001d8712401320d4a0,2,-51,"174
",01:06.0,2
18:28.7,e2001d8712401320d4a0,2,-49,"174
",01:06.1,2
18:28.8,e2001d8712401320d4a0,2,-49,"174
",01:06.1,2
18:28.8,e2001d8712401320d4a0,2,-49,"171
",01:06.1,2
18:28.8,e2001d8712401320d4a0,2,-49,"174
",01:06.2,2
18:28.9,e2001d8712401320d4a0,2,-47,"174
",01:06.2,2
18:28.9,e2001d8712401320d4a0,2,-49,"174
",01:06.2,2
18:28.9,e2001d8712401320d4a0,2,-49,"174
",01:06.3,2
18:29.0,e2001d8712401320d4a0,2,-49,"174
",01:06.4,2
18:29.1,e2001d8712401320d4a0,2,-51,"171
",01:06.5,2
18:29.1,e2001d8712401320d4a0,2,-52,"174
",01:06.5,2
18:29.2,e2001d8712401320d4a0,2,-50,"171
",01:06.5,2
18:29.2,e2001d8712401320d4a0,2,-53,"171
",01:06.5,2
18:29.2,e2001d8712401320d4a0,2,-53,"174
",01:06.6,2
18:29.3,e2001d8712401320d4a0,2,-55,"174
",01:06.6,2
18:29.3,e2001d8712401320d4a0,2,-57,"171
",01:06.7,2
18:29.7,e2001d8712401320d4a0,2,-51,"174
",01:07.0,2
18:31.7,e2001d8712401320d4a0,2,-56,"171
",01:09.1,2
18:31.8,e2001d8712401320d4a0,2,-52,"174
",01:09.2,2
18:32.0,e2001d8712401320d4a0,2,-51,"171
",01:09.3,2
18:32.1,e2001d8712401320d4a0,2,-52,"168
",01:09.5,2
18:32.2,e2001d8712401320d4a0,2,-51,"174
",01:09.5,2
18:32.2,e2001d8712401320d4a0,2,-53,"174
",01:09.6,2
18:32.3,e2001d8712401320d4a0,2,-55,"177
",01:09.7,2
18:32.4,e2001d8712401320d4a0,2,-57,"171
",01:09.8,2
18:32.7,e2001d8712401320d4a0,2,-52,"174
",01:10.0,2
18:34.8,e2001d8712401320d4a0,2,-57,"171
",01:12.2,2
18:34.8,e2001d8712401320d4a0,2,-56,"168
",01:12.2,2
18:34.9,e2001d8712401320d4a0,2,-55,"174
",01:12.2,2
18:34.9,e2001d8712401320d4a0,2,-53,"174
",01:12.3,2
18:35.1,e2001d8712401320d4a0,2,-51,"168
",01:12.5,2
18:35.2,e2001d8712401320d4a0,2,-51,"174
",01:12.6,2
18:35.2,e2001d8712401320d4a0,2,-52,"174
",01:12.6,2
18:35.3,e2001d8712401320d4a0,2,-52,"174
",01:12.7,2
18:35.3,e2001d8712401320d4a0,2,-51,"171
",01:12.7,2
18:35.4,e2001d8712401320d4a0,2,-51,"171
",01:12.7,2
18:35.5,e2001d8712401320d4a0,2,-53,"171
",01:12.8,2
18:35.5,e2001d8712401320d4a0,2,-55,"174
",01:12.9,2
18:35.5,e2001d8712401320d4a0,2,-51,"171
",01:12.9,2
18:35.5,e2001d8712401320d4a0,2,-57,"171
",01:12.9,2
18:36.0,e2001d8712401320d4a0,2,-51,"174
",01:13.4,2
18:38.0,e2001d8712401320d4a0,2,-58,"177
",01:15.3,2
18:38.1,e2001d8712401320d4a0,2,-52,"171
",01:15.5,2
18:38.2,e2001d8712401320d4a0,2,-51,"174
",01:15.5,2
18:38.2,e2001d8712401320d4a0,2,-51,"174
",01:15.6,2
18:38.2,e2001d8712401320d4a0,2,-50,"174
",01:15.6,2
18:38.3,e2001d8712401320d4a0,2,-52,"174
",01:15.7,2
18:38.3,e2001d8712401320d4a0,2,-55,"174
",01:15.7,2
18:38.4,e2001d8712401320d4a0,2,-53,"174
",01:15.8,2
18:38.5,e2001d8712401320d4a0,2,-55,"171
",01:15.8,2
18:38.6,e2001d8712401320d4a0,2,-58,"174
",01:15.9,2
18:38.6,e2001d8712401320d4a0,2,-58,"174
",01:16.0,2
18:38.7,e2001d8712401320d4a0,2,-53,"174
",01:16.0,2
18:41.0,e2001d8712401320d4a0,2,-58,"171
",01:18.4,2
18:41.1,e2001d8712401320d4a0,2,-52,"171
",01:18.5,2
18:41.2,e2001d8712401320d4a0,2,-52,"174
",01:18.5,2
18:41.2,e2001d8712401320d4a0,2,-51,"171
",01:18.5,2
18:41.2,e2001d8712401320d4a0,2,-51,"174
",01:18.6,2
18:41.3,e2001d8712401320d4a0,2,-51,"174
",01:18.6,2
18:41.3,e2001d8712401320d4a0,2,-50,"168
",01:18.7,2
18:41.3,e2001d8712401320d4a0,2,-56,"174
",01:18.7,2
18:41.4,e2001d8712401320d4a0,2,-50,"174
",01:18.8,2
18:41.5,e2001d8712401320d4a0,2,-50,"174
",01:18.8,2
18:41.5,e2001d8712401320d4a0,2,-51,"174
",01:18.9,2
18:41.5,e2001d8712401320d4a0,2,-51,"171
",01:18.9,2
