time,id,RSSI,phase
11 23 32 37294,e2001d8712171320c120,-55,"171
"
11 23 32 37343,e2001d8712171320c120,-55,"174
"
11 23 32 37361,e2001d8712461320db93,-57,"171
"
11 23 32 37361,e2001d8712461320db93,-57,"171
"
11 23 32 37394,e2001d8712401320d4a0,-49,"174
"
11 23 32 37411,e2001d8712171320c120,-55,"174
"
11 23 32 37427,e2001d8712461320db93,-57,"171
"
11 23 32 37427,e2001d8712461320db93,-57,"171
"
11 23 32 37460,e2001d8712171320c120,-55,"168
"
11 23 32 37476,e2001d8712401320d4a0,-49,"171
"
11 23 32 37493,e2001d8712461320db93,-57,"165
"
11 23 32 37510,e2001d8712171320c120,-55,"171
"
11 23 32 37527,e2001d8712401320d4a0,-49,"171
"
11 23 32 37543,e2001d8712461320db93,-57,"171
"
11 23 32 37543,e2001d8712461320db93,-57,"171
"
11 23 32 37543,e2001d8712461320db93,-57,"171
"
11 23 33 37594,e2001d8712171320c120,-56,"168
"
11 23 33 37610,e2001d8712401320d4a0,-49,"171
"
11 23 33 37627,e2001d8712461320db93,-57,"174
"
11 23 33 37627,e2001d8712461320db93,-57,"174
"
11 23 33 37659,e2001d8712401320d4a0,-49,"174
"
11 23 33 37677,e2001d8712171320c120,-55,"168
"
11 23 33 37694,e2001d8712461320db93,-57,"174
"
11 23 33 37694,e2001d8712461320db93,-57,"174
"
11 23 33 37726,e2001d8712401320d4a0,-49,"171
"
11 23 33 37744,e2001d8712171320c120,-55,"171
"
11 23 33 37777,e2001d8712401320d4a0,-49,"171
"
11 23 33 37777,e2001d8712401320d4a0,-49,"171
"
11 23 33 37811,e2001d8712461320db93,-57,"171
"
11 23 33 37827,e2001d8712401320d4a0,-49,"174
"
11 23 33 37844,e2001d8712171320c120,-55,"171
"
11 23 33 37860,e2001d8712401320d4a0,-49,"174
"
11 23 33 37877,e2001d8712171320c120,-55,"174
"
11 23 33 37910,e2001d8712171320c120,-55,"171
"
11 23 33 37927,e2001d8712401320d4a0,-49,"174
"
11 23 33 37943,e2001d8712171320c120,-55,"174
"
11 23 33 37960,e2001d8712401320d4a0,-49,"168
"
11 23 33 37977,e2001d8712171320c120,-55,"171
"
11 23 33 37992,e2001d8712401320d4a0,-49,"174
"
11 23 33 38011,e2001d8712401320d4a0,-50,"171
"
11 23 33 38027,e2001d8712171320c120,-55,"171
"
11 23 33 38061,e2001d8712401320d4a0,-49,"168
"
11 23 33 38077,e2001d8712171320c120,-55,"174
"
11 23 33 38094,e2001d8712401320d4a0,-50,"171
"
11 23 33 38111,e2001d8712171320c120,-55,"171
"
11 23 33 38127,e2001d8712401320d4a0,-50,"174
"
11 23 33 38144,e2001d8712171320c120,-53,"171
"
11 23 33 38160,e2001d8712171320c120,-55,"171
"
11 23 33 38177,e2001d8712401320d4a0,-49,"171
"
11 23 33 38177,e2001d8712401320d4a0,-49,"171
"
11 23 33 38211,e2001d8712401320d4a0,-50,"171
"
11 23 33 38227,e2001d8712171320c120,-55,"174
"
11 23 33 38244,e2001d8712401320d4a0,-50,"171
"
11 23 33 38261,e2001d8712171320c120,-55,"168
"
11 23 33 38277,e2001d8712171320c120,-55,"174
"
11 23 33 38294,e2001d8712401320d4a0,-49,"171
"
11 23 33 38294,e2001d8712401320d4a0,-49,"171
"
11 23 33 38326,e2001d8712461320db93,-58,"174
"
11 23 33 38344,e2001d8712171320c120,-55,"174
"
11 23 33 38411,e2001d8712401320d4a0,-49,"174
"
11 23 33 38427,e2001d8712401320d4a0,-49,"174
"
11 23 33 38443,e2001d8712171320c120,-55,"174
"
11 23 33 38443,e2001d8712171320c120,-55,"174
"
11 23 33 38477,e2001d8712401320d4a0,-49,"174
"
11 23 33 38493,e2001d8712461320db93,-58,"171
"
11 23 33 38510,e2001d8712171320c120,-55,"171
"
11 23 33 38510,e2001d8712171320c120,-55,"171
"
11 23 33 38544,e2001d8712401320d4a0,-49,"174
"
11 23 33 38560,e2001d8712171320c120,-55,"171
"
11 23 33 38560,e2001d8712171320c120,-55,"171
"
11 23 34 38593,e2001d8712401320d4a0,-49,"171
"
11 23 34 38611,e2001d8712171320c120,-57,"174
"
11 23 34 38611,e2001d8712171320c120,-57,"174
"
11 23 34 38660,e2001d8712401320d4a0,-49,"171
"
11 23 34 38677,e2001d8712171320c120,-55,"171
"
11 23 34 38694,e2001d8712401320d4a0,-49,"171
"
11 23 34 38710,e2001d8712171320c120,-56,"174
"
11 23 34 38710,e2001d8712171320c120,-56,"174
"
11 23 34 38744,e2001d8712401320d4a0,-49,"171
"
11 23 34 38761,e2001d8712171320c120,-55,"174
"
11 23 34 38778,e2001d8712401320d4a0,-49,"171
"
11 23 34 38794,e2001d8712171320c120,-55,"174
"
11 23 34 38827,e2001d8712401320d4a0,-49,"174
"
11 23 34 38844,e2001d8712171320c120,-55,"171
"
11 23 34 38860,e2001d8712171320c120,-55,"171
"
11 23 34 38877,e2001d8712401320d4a0,-49,"171
"
11 23 34 38911,e2001d8712401320d4a0,-50,"174
"
11 23 34 38926,e2001d8712171320c120,-55,"168
"
11 23 34 38944,e2001d8712171320c120,-55,"174
"
11 23 34 38961,e2001d8712401320d4a0,-50,"171
"
11 23 34 38961,e2001d8712401320d4a0,-50,"171
"
11 23 34 38994,e2001d8712171320c120,-55,"174
"
11 23 34 39010,e2001d8712401320d4a0,-49,"174
"
11 23 34 39026,e2001d8712171320c120,-55,"174
"
11 23 34 39043,e2001d8712401320d4a0,-49,"171
"
