time,id,RSSI,phase
12 25 55 38744,e2001d8712171320c120,-52,"171
"
12 25 55 38762,e2001d8712401320d4a0,-49,"171
"
12 25 55 38795,e2001d8712171320c120,-51,"174
"
12 25 55 38811,e2001d8712461320db93,-55,"174
"
12 25 55 38811,e2001d8712461320db93,-55,"174
"
12 25 55 38811,e2001d8712461320db93,-55,"174
"
12 25 55 38861,e2001d8712401320d4a0,-49,"174
"
12 25 55 38878,e2001d8712461320db93,-55,"174
"
12 25 55 38928,e2001d8712171320c120,-51,"171
"
12 25 55 38945,e2001d8712401320d4a0,-49,"168
"
12 25 55 38945,e2001d8712401320d4a0,-49,"168
"
12 25 55 38978,e2001d8712401320d4a0,-49,"177
"
12 25 55 38995,e2001d8712171320c120,-51,"174
"
12 25 55 39028,e2001d8712401320d4a0,-49,"174
"
12 25 55 39045,e2001d8712461320db93,-55,"174
"
12 25 55 39079,e2001d8712171320c120,-52,"171
"
12 25 55 39094,e2001d8712401320d4a0,-49,"174
"
12 25 55 39145,e2001d8712461320db93,-55,"171
"
12 25 55 39161,e2001d8712171320c120,-51,"174
"
12 25 55 39195,e2001d8712461320db93,-55,"174
"
12 25 55 39211,e2001d8712171320c120,-51,"174
"
12 25 55 39229,e2001d8712401320d4a0,-49,"174
"
12 25 55 39260,e2001d8712401320d4a0,-49,"174
"
12 25 55 39278,e2001d8712171320c120,-51,"168
"
12 25 55 39295,e2001d8712461320db93,-55,"171
"
12 25 55 39312,e2001d8712171320c120,-51,"174
"
12 25 55 39312,e2001d8712171320c120,-51,"174
"
12 25 55 39345,e2001d8712401320d4a0,-49,"174
"
12 25 55 39361,e2001d8712461320db93,-53,"174
"
12 25 55 39412,e2001d8712171320c120,-52,"171
"
12 25 55 39429,e2001d8712401320d4a0,-49,"171
"
12 25 55 39445,e2001d8712461320db93,-55,"174
"
12 25 56 39478,e2001d8712461320db93,-55,"174
"
12 25 56 39495,e2001d8712171320c120,-52,"174
"
