time,id,RSSI,phase
,,,
,,,
15 3 33 36897,e2001d871271320b9f,-52,"174
"
15 3 33 36914,e2001d8712401320d4a0,-49,"174
"
15 3 33 36931,e2001d8712461320db93,-55,"171
"
15 3 33 36931,e2001d8712461320db93,-55,"171
"
15 3 33 36965,e2001d871271320b9f,-52,"168
"
15 3 33 36982,e2001d8712401320d4a0,-49,"174
"
15 3 33 37014,e2001d8712401320d4a0,-49,"174
"
15 3 33 37031,e2001d8712401320d4a0,-49,"174
"
15 3 33 37048,e2001d8712461320db93,-56,"174
"
15 3 33 37065,e2001d871271320b9f,-52,"171
"
15 3 33 37065,e2001d871271320b9f,-52,"171
"
15 3 33 37114,e2001d8712461320db93,-56,"171
"
15 3 33 37132,e2001d8712401320d4a0,-49,"174
"
15 3 33 37165,e2001d8712461320db93,-56,"171
"
15 3 33 37181,e2001d871271320b9f,-52,"168
"
15 3 33 37181,e2001d871271320b9f,-52,"168
"
15 3 33 37214,e2001d8712401320d4a0,-49,"171
"
15 3 33 37232,e2001d871271320b9f,-52,"171
"
15 3 33 37265,e2001d8712401320d4a0,-49,"174
"
15 3 33 37298,e2001d8712401320d4a0,-49,"174
"
15 3 34 37315,e2001d871271320b9f,-57,"174
"
15 3 34 37332,e2001d8712171320c120,-55,"174
"
15 3 34 37365,e2001d8712401320d4a0,-50,"174
"
15 3 34 37381,e2001d8712171320c120,-55,"174
"
15 3 34 37414,e2001d8712171320c120,-56,"171
"
15 3 34 37431,e2001d871271320b9f,-57,"174
"
15 3 34 37431,e2001d871271320b9f,-57,"174
"
15 3 34 37431,e2001d871271320b9f,-57,"174
"
15 3 34 37481,e2001d8712401320d4a0,-50,"174
"
15 3 34 37498,e2001d8712171320c120,-55,"171
"
15 3 34 37531,e2001d8712401320d4a0,-49,"0
"
15 3 34 37531,e2001d8712401320d4a0,-49,"0
"
15 3 34 37564,e2001d871271320b9f,-57,"174
"
15 3 34 37564,e2001d871271320b9f,-57,"174
"
15 3 34 37564,e2001d871271320b9f,-57,"174
"
15 3 34 37614,e2001d8712171320c120,-55,"174
"
15 3 34 37632,e2001d8712401320d4a0,-49,"171
"
15 3 34 37715,e2001d8712401320d4a0,-50,"174
"
15 3 34 37732,e2001d8712171320c120,-55,"171
"
15 3 34 37765,e2001d871271320b9f,-55,"171
"
15 3 34 37781,e2001d8712171320c120,-55,"174
"
15 3 34 37781,e2001d8712171320c120,-55,"174
"
15 3 34 37814,e2001d871271320b9f,-55,"174
"
15 3 34 37831,e2001d8712401320d4a0,-49,"174
"
15 3 34 37865,e2001d8712401320d4a0,-50,"174
"
15 3 34 37882,e2001d8712171320c120,-55,"171
"
15 3 34 37882,e2001d8712171320c120,-55,"171
"
15 3 34 37915,e2001d8712171320c120,-55,"168
"
15 3 34 37932,e2001d8712401320d4a0,-49,"168
"
15 3 34 37948,e2001d871271320b9f,-55,"174
"
15 3 34 37948,e2001d871271320b9f,-55,"174
"
15 3 34 37981,e2001d8712171320c120,-56,"171
"
15 3 34 37998,e2001d8712401320d4a0,-50,"174
"
15 3 34 38049,e2001d871271320b9f,-51,"171
"
15 3 34 38049,e2001d871271320b9f,-51,"171
"
