time,id,RSSI,phase
,,,
15 6 34 138638,e2001d8712401320d4a0,-49,"174
"
15 6 34 138655,e2001d8712171320c120,-56,"174
"
15 6 34 138655,e2001d8712171320c120,-56,"174
"
15 6 35 138689,e2001d8712401320d4a0,-49,"174
"
15 6 35 138704,e2001d8712401320d4a0,-49,"177
"
15 6 35 138704,e2001d8712401320d4a0,-49,"177
"
15 6 35 138739,e2001d8712461320db93,-58,"174
"
15 6 35 138755,e2001d871271320b9f,-53,"174
"
15 6 35 138771,e2001d8712171320c120,-57,"171
"
15 6 35 138787,e2001d8712401320d4a0,-49,"174
"
15 6 35 138787,e2001d8712401320d4a0,-49,"174
"
15 6 35 138821,e2001d871271320b9f,-53,"174
"
15 6 35 138837,e2001d8712171320c120,-55,"165
"
15 6 35 138837,e2001d8712171320c120,-55,"165
"
15 6 35 138872,e2001d871271320b9f,-53,"171
"
15 6 35 138888,e2001d8712401320d4a0,-49,"174
"
15 6 35 138904,e2001d8712171320c120,-57,"174
"
15 6 35 138904,e2001d8712171320c120,-57,"174
"
15 6 35 138938,e2001d8712461320db93,-57,"174
"
15 6 35 138971,e2001d8712401320d4a0,-49,"177
"
15 6 35 138988,e2001d8712171320c120,-55,"168
"
15 6 35 139005,e2001d871271320b9f,-55,"174
"
15 6 35 139021,e2001d871271320b9f,-55,"177
"
15 6 35 139039,e2001d8712171320c120,-55,"174
"
15 6 35 139055,e2001d8712401320d4a0,-49,"171
"
15 6 35 139088,e2001d8712171320c120,-55,"171
"
15 6 35 139105,e2001d8712401320d4a0,-49,"171
"
15 6 35 139121,e2001d871271320b9f,-55,"171
"
15 6 35 139121,e2001d871271320b9f,-55,"171
"
15 6 35 139155,e2001d8712171320c120,-55,"171
"
15 6 35 139171,e2001d871271320b9f,-53,"171
"
15 6 35 139205,e2001d8712401320d4a0,-49,"171
"
15 6 35 139222,e2001d8712171320c120,-56,"168
"
15 6 35 139239,e2001d8712401320d4a0,-50,"171
"
15 6 35 139239,e2001d8712401320d4a0,-50,"171
"
15 6 35 139271,e2001d871271320b9f,-53,"171
"
15 6 35 139287,e2001d8712171320c120,-53,"171
"
15 6 35 139305,e2001d8712401320d4a0,-50,"168
"
15 6 35 139321,e2001d8712171320c120,-55,"171
"
15 6 35 139339,e2001d871271320b9f,-55,"171
"
15 6 35 139339,e2001d871271320b9f,-55,"171
"
15 6 35 139371,e2001d8712171320c120,-55,"177
"
15 6 35 139387,e2001d8712401320d4a0,-50,"168
"
15 6 35 139406,e2001d871271320b9f,-56,"174
"
15 6 35 139406,e2001d871271320b9f,-56,"174
"
15 6 35 139406,e2001d871271320b9f,-56,"174
"
15 6 35 139455,e2001d871271320b9f,-55,"174
"
15 6 35 139472,e2001d8712171320c120,-55,"168
"
15 6 35 139505,e2001d8712401320d4a0,-50,"171
"
15 6 35 139522,e2001d871271320b9f,-55,"174
"
15 6 35 139522,e2001d871271320b9f,-55,"174
"
15 6 35 139522,e2001d871271320b9f,-55,"174
"
15 6 35 139572,e2001d8712401320d4a0,-50,"171
"
15 6 35 139588,e2001d8712171320c120,-55,"174
"
