time,id,RSSI,phase
11 30 22 21700,e2001d8712461320db93,-57,"174
"
11 30 22 21750,e2001d8712401320d4a0,-49,"171
"
11 30 22 21767,e2001d8712171320c120,-55,"171
"
11 30 22 21801,e2001d8712171320c120,-55,"171
"
11 30 22 21817,e2001d8712461320db93,-57,"174
"
11 30 22 21817,e2001d8712461320db93,-57,"174
"
11 30 22 21851,e2001d8712401320d4a0,-49,"171
"
11 30 22 21867,e2001d8712171320c120,-55,"174
"
11 30 22 21884,e2001d8712461320db93,-57,"174
"
11 30 22 21884,e2001d8712461320db93,-57,"174
"
11 30 22 21917,e2001d8712401320d4a0,-51,"174
"
11 30 22 21934,e2001d8712401320d4a0,-51,"171
"
11 30 22 21967,e2001d8712171320c120,-55,"177
"
11 30 22 21967,e2001d8712171320c120,-55,"177
"
11 30 22 21999,e2001d8712171320c120,-55,"174
"
11 30 22 22016,e2001d8712401320d4a0,-51,"168
"
11 30 22 22016,e2001d8712401320d4a0,-51,"168
"
11 30 22 22050,e2001d8712401320d4a0,-50,"171
"
11 30 22 22066,e2001d8712171320c120,-55,"168
"
11 30 22 22100,e2001d8712171320c120,-55,"174
"
11 30 23 22117,e2001d8712401320d4a0,-50,"174
"
11 30 23 22117,e2001d8712401320d4a0,-50,"174
"
11 30 23 22150,e2001d8712171320c120,-55,"171
"
11 30 23 22167,e2001d8712401320d4a0,-50,"168
"
11 30 23 22250,e2001d8712401320d4a0,-49,"171
"
11 30 23 22267,e2001d8712171320c120,-55,"174
"
11 30 23 22283,e2001d8712461320db93,-61,"174
"
11 30 23 22301,e2001d8712401320d4a0,-49,"171
"
11 30 23 22334,e2001d8712401320d4a0,-49,"174
"
11 30 23 22367,e2001d8712401320d4a0,-49,"174
"
11 30 23 22384,e2001d8712171320c120,-55,"174
"
11 30 23 22401,e2001d8712461320db93,-58,"174
"
11 30 23 22401,e2001d8712461320db93,-58,"174
"
11 30 23 22434,e2001d8712171320c120,-55,"174
"
11 30 23 22450,e2001d8712401320d4a0,-49,"171
"
