time,id,RSSI,phase
16 17 36 29540,e2001d8712461320db93,-57,"174
"
16 17 36 29573,e2001d8712401320d4a0,-49,"168
"
16 17 36 29608,e2001d8712461320db93,-55,"165
"
16 17 36 29623,e2001d8712401320d4a0,-49,"171
"
16 17 36 29641,e2001d8712171320c120,-57,"171
"
16 17 36 29657,e2001d8712401320d4a0,-49,"168
"
16 17 36 29657,e2001d8712401320d4a0,-49,"168
"
16 17 36 29657,e2001d8712401320d4a0,-49,"168
"
16 17 36 29707,e2001d8712171320c120,-57,"171
"
16 17 36 29724,e2001d871271320b9f,-56,"174
"
16 17 36 29774,e2001d8712171320c120,-57,"171
"
16 17 36 29791,e2001d8712461320db93,-55,"171
"
16 17 36 29825,e2001d871271320b9f,-57,"171
"
16 17 36 29840,e2001d8712171320c120,-55,"171
"
16 17 36 29858,e2001d8712461320db93,-55,"174
"
16 17 36 29858,e2001d8712461320db93,-55,"174
"
16 17 36 29891,e2001d8712401320d4a0,-49,"171
"
16 17 36 29924,e2001d871271320b9f,-57,"168
"
16 17 36 29975,e2001d8712401320d4a0,-49,"174
"
16 17 36 29990,e2001d8712461320db93,-55,"171
"
16 17 36 30008,e2001d8712171320c120,-57,"168
"
16 17 36 30024,e2001d871271320b9f,-55,"174
"
16 17 36 30040,e2001d8712461320db93,-55,"174
"
16 17 36 30057,e2001d8712401320d4a0,-49,"174
"
16 17 36 30074,e2001d8712171320c120,-56,"174
"
16 17 36 30091,e2001d871271320b9f,-57,"174
"
16 17 36 30107,e2001d8712401320d4a0,-49,"174
"
16 17 36 30124,e2001d8712461320db93,-55,"171
"
16 17 36 30141,e2001d8712171320c120,-55,"174
"
16 17 36 30158,e2001d871271320b9f,-55,"174
"
16 17 36 30158,e2001d871271320b9f,-55,"174
"
16 17 36 30208,e2001d871271320b9f,-57,"174
"
16 17 36 30224,e2001d8712461320db93,-55,"174
"
16 17 36 30274,e2001d8712401320d4a0,-49,"171
"
16 17 36 30274,e2001d8712401320d4a0,-49,"171
"
16 17 36 30324,e2001d8712461320db93,-55,"171
"
16 17 36 30408,e2001d871271320b9f,-58,"177
"
16 17 36 30423,e2001d8712401320d4a0,-49,"174
"
16 17 37 30508,e2001d8712461320db93,-58,"171
"
16 17 37 30523,e2001d8712401320d4a0,-49,"168
"
16 17 37 30591,e2001d871271320b9f,-57,"171
"
16 17 37 30606,e2001d8712401320d4a0,-49,"174
"
16 17 37 30624,e2001d8712171320c120,-55,"174
"
16 17 37 30641,e2001d8712461320db93,-58,"174
"
16 17 37 30658,e2001d871271320b9f,-57,"174
"
16 17 37 30658,e2001d871271320b9f,-57,"174
"
16 17 37 30691,e2001d8712171320c120,-53,"171
"
16 17 37 30708,e2001d8712461320db93,-58,"0
"
16 17 37 30757,e2001d8712401320d4a0,-49,"171
"
16 17 37 30775,e2001d8712171320c120,-53,"174
"
16 17 37 30791,e2001d871271320b9f,-57,"2
"
16 17 37 30808,e2001d8712171320c120,-53,"174
"
16 17 37 30824,e2001d8712401320d4a0,-49,"171
"
16 17 37 30841,e2001d8712461320db93,-58,"174
"
16 17 37 30857,e2001d871271320b9f,-57,"174
"
16 17 37 30874,e2001d8712461320db93,-57,"171
"
16 17 37 30874,e2001d8712461320db93,-57,"171
"
16 17 37 30907,e2001d8712401320d4a0,-49,"171
"
16 17 37 30958,e2001d8712461320db93,-57,"171
"
16 17 37 30974,e2001d871271320b9f,-57,"174
"
16 17 37 31007,e2001d871271320b9f,-57,"168
"
16 17 37 31007,e2001d871271320b9f,-57,"168
"
16 17 37 31057,e2001d8712401320d4a0,-49,"174
"
16 17 37 31075,e2001d8712461320db93,-56,"171
"
16 17 37 31125,e2001d8712401320d4a0,-49,"171
"
16 17 37 31141,e2001d8712171320c120,-53,"171
"
16 17 37 31158,e2001d8712461320db93,-56,"168
"
16 17 37 31174,e2001d8712401320d4a0,-49,"174
"
16 17 37 31191,e2001d8712171320c120,-55,"171
"
16 17 37 31241,e2001d871271320b9f,-56,"171
"
16 17 37 31257,e2001d8712401320d4a0,-49,"171
"
16 17 37 31274,e2001d8712461320db93,-56,"171
"
16 17 37 31291,e2001d871271320b9f,-57,"168
"
16 17 37 31291,e2001d871271320b9f,-57,"168
"
16 17 37 31341,e2001d8712401320d4a0,-49,"171
"
16 17 38 31458,e2001d871271320b9f,-57,"168
"
16 17 38 31474,e2001d8712401320d4a0,-50,"174
"
16 17 38 31541,e2001d8712171320c120,-55,"177
"
16 17 38 31558,e2001d8712461320db93,-55,"168
"
16 17 38 31574,e2001d871271320b9f,-55,"174
"
16 17 38 31591,e2001d8712401320d4a0,-49,"174
"
16 17 38 31608,e2001d8712171320c120,-56,"168
"
16 17 38 31624,e2001d8712461320db93,-53,"168
"
16 17 38 31641,e2001d871271320b9f,-56,"171
"
16 17 38 31657,e2001d8712401320d4a0,-49,"174
"
16 17 38 31674,e2001d8712461320db93,-55,"174
"
16 17 38 31674,e2001d8712461320db93,-55,"174
"
16 17 38 31708,e2001d871271320b9f,-57,"174
"
16 17 38 31724,e2001d8712171320c120,-57,"174
"
16 17 38 31724,e2001d8712171320c120,-57,"174
"
16 17 38 31758,e2001d8712171320c120,-57,"171
"
16 17 38 31774,e2001d8712401320d4a0,-49,"171
"
16 17 38 31807,e2001d8712401320d4a0,-49,"174
"
16 17 38 31824,e2001d8712461320db93,-55,"171
"
16 17 38 31824,e2001d8712461320db93,-55,"171
"
16 17 38 31824,e2001d8712461320db93,-55,"171
"
16 17 38 31891,e2001d871271320b9f,-57,"174
"
16 17 38 31908,e2001d8712401320d4a0,-49,"174
"
16 17 38 31941,e2001d8712171320c120,-55,"174
"
16 17 38 31958,e2001d8712401320d4a0,-49,"174
"
16 17 38 31958,e2001d8712401320d4a0,-49,"174
"
16 17 38 31958,e2001d8712401320d4a0,-49,"174
"
16 17 38 32008,e2001d8712171320c120,-55,"171
"
16 17 38 32024,e2001d8712461320db93,-55,"171
"
16 17 38 32058,e2001d8712171320c120,-55,"174
"
16 17 38 32074,e2001d871271320b9f,-57,"174
"
16 17 38 32091,e2001d8712461320db93,-55,"171
"
16 17 38 32107,e2001d8712401320d4a0,-49,"174
"
16 17 38 32124,e2001d8712171320c120,-55,"171
"
16 17 38 32141,e2001d8712461320db93,-55,"171
"
16 17 38 32158,e2001d871271320b9f,-57,"171
"
16 17 38 32158,e2001d871271320b9f,-57,"171
"
16 17 38 32191,e2001d8712461320db93,-55,"174
"
16 17 38 32208,e2001d8712401320d4a0,-49,"174
"
16 17 38 32274,e2001d871271320b9f,-57,"171
"
16 17 38 32291,e2001d8712461320db93,-55,"174
"
