time,id,RSSI,phase
,,,
,,,
16 19 44 28342,e2001d8712401320d4a0,-51,"171
"
16 19 44 28359,e2001d8712171320c120,-55,"174
"
16 19 44 28375,e2001d8712461320db93,-57,"168
"
16 19 44 28392,e2001d871271320b9f,-56,"174
"
16 19 44 28426,e2001d871271320b9f,-57,"174
"
16 19 44 28442,e2001d8712401320d4a0,-51,"174
"
16 19 44 28442,e2001d8712401320d4a0,-51,"174
"
16 19 44 28509,e2001d8712171320c120,-53,"174
"
16 19 44 28526,e2001d8712401320d4a0,-50,"171
"
16 19 44 28542,e2001d8712461320db93,-57,"174
"
16 19 44 28542,e2001d8712461320db93,-57,"174
"
16 19 44 28575,e2001d871271320b9f,-57,"171
"
16 19 44 28592,e2001d8712401320d4a0,-50,"174
"
16 19 44 28592,e2001d8712401320d4a0,-50,"174
"
16 19 44 28625,e2001d8712461320db93,-55,"174
"
16 19 44 28642,e2001d8712401320d4a0,-49,"171
"
16 19 45 28676,e2001d8712401320d4a0,-49,"174
"
16 19 45 28692,e2001d871271320b9f,-55,"174
"
16 19 45 28709,e2001d8712461320db93,-55,"174
"
16 19 45 28725,e2001d8712171320c120,-57,"171
"
16 19 45 28725,e2001d8712171320c120,-57,"171
"
16 19 45 28759,e2001d8712461320db93,-55,"174
"
16 19 45 28776,e2001d871271320b9f,-55,"171
"
16 19 45 28792,e2001d8712171320c120,-57,"171
"
16 19 45 28809,e2001d8712401320d4a0,-49,"171
"
16 19 45 28809,e2001d8712401320d4a0,-49,"171
"
16 19 45 28842,e2001d871271320b9f,-55,"174
"
16 19 45 28859,e2001d8712461320db93,-53,"174
"
16 19 45 28908,e2001d871271320b9f,-55,"174
"
16 19 45 28925,e2001d8712461320db93,-55,"171
"
16 19 45 28943,e2001d8712171320c120,-56,"171
"
16 19 45 28959,e2001d871271320b9f,-55,"168
"
16 19 45 28976,e2001d8712401320d4a0,-49,"174
"
16 19 45 28992,e2001d8712401320d4a0,-49,"174
"
16 19 45 29009,e2001d8712461320db93,-55,"171
"
16 19 45 29025,e2001d8712171320c120,-56,"174
"
16 19 45 29059,e2001d871271320b9f,-55,"174
"
16 19 45 29076,e2001d871271320b9f,-55,"171
"
16 19 45 29109,e2001d8712461320db93,-55,"171
"
16 19 45 29125,e2001d871271320b9f,-57,"174
"
16 19 45 29142,e2001d8712171320c120,-56,"168
"
16 19 45 29142,e2001d8712171320c120,-56,"168
"
16 19 45 29175,e2001d8712401320d4a0,-49,"174
"
16 19 45 29193,e2001d871271320b9f,-56,"171
"
16 19 45 29193,e2001d871271320b9f,-56,"171
"
16 19 45 29242,e2001d8712171320c120,-56,"174
"
16 19 45 29259,e2001d8712461320db93,-53,"171
"
16 19 45 29309,e2001d8712461320db93,-57,"168
"
16 19 45 29326,e2001d8712171320c120,-55,"171
"
16 19 45 29359,e2001d8712461320db93,-57,"171
"
16 19 45 29375,e2001d8712171320c120,-55,"174
"
16 19 45 29408,e2001d8712401320d4a0,-50,"174
"
16 19 45 29425,e2001d871271320b9f,-57,"174
"
16 19 45 29441,e2001d8712461320db93,-57,"171
"
16 19 45 29441,e2001d8712461320db93,-57,"171
"
