time,id,RSSI,phase
13 35 56 94811,e2001d8712171320c120,-53,"171
"
13 35 56 94828,e2001d8712461320db93,-55,"174
"
13 35 56 94844,e2001d8712171320c120,-55,"174
"
13 35 56 94844,e2001d8712171320c120,-55,"174
"
13 35 56 94877,e2001d8712461320db93,-55,"171
"
13 35 56 94893,e2001d871271320b9f,-50,"171
"
13 35 56 94893,e2001d871271320b9f,-50,"171
"
13 35 56 94927,e2001d8712171320c120,-53,"177
"
13 35 56 94944,e2001d871271320b9f,-49,"174
"
13 35 56 94960,e2001d8712461320db93,-55,"174
"
13 35 56 94977,e2001d8712461320db93,-53,"174
"
13 35 56 94994,e2001d871271320b9f,-49,"174
"
13 35 56 95011,e2001d8712171320c120,-53,"171
"
13 35 56 95011,e2001d8712171320c120,-53,"171
"
13 35 56 95044,e2001d871271320b9f,-50,"174
"
13 35 56 95061,e2001d8712461320db93,-53,"174
"
13 35 56 95076,e2001d8712461320db93,-51,"174
"
13 35 56 95093,e2001d871271320b9f,-51,"174
"
13 35 56 95110,e2001d8712171320c120,-55,"174
"
13 35 56 95126,e2001d8712171320c120,-56,"174
"
13 35 56 95144,e2001d8712461320db93,-51,"168
"
13 35 56 95177,e2001d871271320b9f,-49,"171
"
13 35 56 95194,e2001d8712171320c120,-56,"171
"
13 35 56 95194,e2001d8712171320c120,-56,"171
"
13 35 57 95244,e2001d8712171320c120,-56,"171
"
13 35 57 95260,e2001d871271320b9f,-49,"171
"
13 35 57 95295,e2001d8712461320db93,-52,"174
"
13 35 57 95310,e2001d8712171320c120,-56,"171
"
13 35 57 95343,e2001d8712461320db93,-51,"174
"
13 35 57 95361,e2001d871271320b9f,-49,"171
"
13 35 57 95394,e2001d8712461320db93,-51,"171
"
13 35 57 95411,e2001d8712171320c120,-57,"177
"
13 35 57 95427,e2001d871271320b9f,-52,"174
"
13 35 57 95444,e2001d8712461320db93,-50,"174
"
13 35 57 95460,e2001d8712171320c120,-57,"171
"
13 35 57 95460,e2001d8712171320c120,-57,"171
"
13 35 57 95494,e2001d8712461320db93,-51,"174
"
13 35 57 95510,e2001d871271320b9f,-52,"174
"
13 35 57 95527,e2001d871271320b9f,-53,"174
"
13 35 57 95544,e2001d8712461320db93,-51,"174
"
13 35 57 95560,e2001d871271320b9f,-53,"171
"
13 35 57 95577,e2001d8712461320db93,-52,"174
"
13 35 57 95577,e2001d8712461320db93,-52,"174
"
13 35 57 95577,e2001d8712461320db93,-52,"174
"
13 35 57 95628,e2001d8712461320db93,-52,"174
"
13 35 57 95644,e2001d871271320b9f,-53,"174
"
13 35 57 95660,e2001d871271320b9f,-52,"171
"
13 35 57 95677,e2001d8712461320db93,-51,"168
"
13 35 57 95694,e2001d8712461320db93,-52,"171
"
13 35 57 95711,e2001d871271320b9f,-52,"174
"
13 35 57 95711,e2001d871271320b9f,-52,"174
"
13 35 57 95743,e2001d871271320b9f,-52,"171
"
13 35 57 95761,e2001d8712461320db93,-51,"174
"
13 35 57 95777,e2001d8712461320db93,-52,"171
"
