,run,activity,time,id,RSSI,phase
0,0,1,16 31 23 15881,3,-57,174
1,0,1,16 31 23 15898,1,-47,171
2,0,1,16 31 23 15915,3,-56,168
3,0,1,16 31 23 15915,3,-56,168
4,0,1,16 31 23 15915,3,-56,168
5,0,1,16 31 23 15965,3,-57,174
6,0,1,16 31 23 15981,1,-47,168
7,0,1,16 31 23 15998,3,-56,171
8,0,1,16 31 23 16014,1,-47,174
9,0,1,16 31 23 16031,3,-55,171
10,0,1,16 31 23 16048,1,-47,174
11,0,1,16 31 23 16065,1,-47,174
12,0,1,16 31 23 16080,3,-55,174
13,0,1,16 31 23 16114,1,-49,171
14,0,1,16 31 23 16130,3,-55,171
15,0,1,16 31 23 16148,1,-49,174
16,0,1,16 31 23 16164,1,-47,174
17,0,1,16 31 23 16181,3,-55,174
18,0,1,16 31 23 16198,2,-57,171
19,0,1,16 31 23 16215,1,-47,174
20,0,1,16 31 23 16230,3,-56,171
21,0,1,16 31 23 16248,2,-55,171
22,0,1,16 31 23 16248,2,-55,171
23,0,1,16 31 23 16298,1,-49,174
24,0,1,16 31 23 16315,2,-56,174
25,0,1,16 31 23 16348,2,-57,171
26,0,1,16 31 23 16348,2,-57,171
27,0,1,16 31 23 16381,1,-49,174
28,0,1,16 31 23 16398,2,-56,174
29,0,1,16 31 23 16415,3,-58,171
30,0,1,16 31 23 16415,3,-58,171
31,0,1,16 31 23 16415,3,-58,171
32,0,1,16 31 23 16465,3,-58,174
33,0,1,16 31 23 16481,1,-49,174
34,0,1,16 31 23 16515,1,-47,171
35,0,1,16 31 23 16548,1,-49,171
36,0,1,16 31 23 16581,1,-49,174
37,0,1,16 31 23 16598,2,-55,171
38,0,1,16 31 23 16615,3,-57,171
39,0,1,16 31 23 16648,1,-47,171
40,0,1,16 31 23 16664,2,-55,174
41,0,1,16 31 23 16681,3,-56,171
42,0,1,16 31 24 16715,2,-55,174
43,0,1,16 31 24 16732,1,-47,174
44,0,1,16 31 24 16748,3,-57,174
45,0,1,16 31 24 16780,1,-49,174
46,0,1,16 31 24 16780,1,-49,174
47,0,1,16 31 24 16814,2,-58,171
48,0,1,16 31 24 16832,3,-57,171
49,0,1,16 31 24 16848,1,-49,171
50,0,1,16 31 24 16865,3,-57,171
51,0,1,16 31 24 16865,3,-57,171
52,0,1,16 31 24 16865,3,-57,171
53,0,1,16 31 24 16865,3,-57,171
54,0,1,16 31 24 16932,1,-49,174
55,0,1,16 31 24 16948,3,-56,174
56,0,1,16 31 24 16981,3,-56,171
57,0,1,16 31 24 16998,1,-47,174
58,0,1,16 31 24 17015,1,-49,174
59,0,1,16 31 24 17031,3,-55,174
60,0,1,16 31 24 17031,3,-55,174
61,0,1,16 31 24 17065,3,-56,171
62,0,1,16 31 24 17081,1,-49,174
63,0,1,16 31 24 17114,2,-57,171
64,0,1,16 31 24 17114,2,-57,171
65,0,1,16 31 24 17114,2,-57,171
66,0,1,16 31 24 17165,3,-57,171
67,0,1,16 31 24 17165,3,-57,171
68,0,1,16 31 24 17198,1,-49,174
69,0,1,16 31 24 17231,1,-49,174
70,0,1,16 31 24 17248,2,-55,171
71,0,1,16 31 24 17264,3,-57,0
72,0,1,16 31 24 17264,3,-57,0
73,0,1,16 31 24 17298,1,-49,174
74,0,1,16 31 24 17315,2,-55,174
75,0,1,16 31 24 17331,3,-57,174
76,0,1,16 31 24 17331,3,-57,174
77,0,1,16 31 24 17331,3,-57,174
78,0,1,16 31 24 17381,2,-55,174
79,0,1,16 31 24 17398,1,-49,171
80,0,1,16 31 24 17432,1,-49,171
81,0,1,16 31 24 17448,3,-57,174
82,0,1,16 31 24 17465,1,-49,174
83,0,1,16 31 24 17481,2,-55,174
84,0,1,16 31 24 17498,3,-58,174
85,0,1,16 31 24 17513,1,-49,174
86,0,1,16 31 24 17513,1,-49,174
87,0,1,16 31 24 17565,2,-53,174
88,0,1,16 31 24 17581,3,-56,174
89,0,1,16 31 24 17615,1,-49,174
90,0,1,16 31 24 17615,1,-49,174
91,0,1,16 31 24 17648,3,-57,171
92,0,1,16 31 24 17665,2,-53,171
93,0,1,16 31 24 17681,1,-49,174
94,0,1,16 31 25 17698,2,-55,171
95,0,1,16 31 25 17715,3,-57,174
96,0,1,16 31 25 17715,3,-57,174
97,0,1,16 31 25 17715,3,-57,174
98,0,1,16 31 25 17764,1,-49,174
0,0,2,16 31 26 19214,2,-55,171
1,0,2,16 31 26 19248,1,-49,171
2,0,2,16 31 26 19265,3,-57,171
3,0,2,16 31 26 19282,2,-55,174
4,0,2,16 31 26 19282,2,-55,174
5,0,2,16 31 26 19315,1,-49,174
6,0,2,16 31 26 19331,2,-55,174
7,0,2,16 31 26 19348,3,-57,168
8,0,2,16 31 26 19348,3,-57,168
9,0,2,16 31 26 19348,3,-57,168
10,0,2,16 31 26 19398,3,-58,171
11,0,2,16 31 26 19415,1,-49,168
12,0,2,16 31 26 19481,1,-49,174
13,0,2,16 31 26 19481,1,-49,174
14,0,2,16 31 26 19514,2,-57,171
15,0,2,16 31 26 19532,1,-49,174
16,0,2,16 31 26 19565,1,-49,174
17,0,2,16 31 26 19580,2,-58,168
18,0,2,16 31 26 19580,2,-58,168
19,0,2,16 31 26 19614,1,-49,174
20,0,2,16 31 26 19614,1,-49,174
21,0,2,16 31 26 19648,3,-57,168
22,0,2,16 31 26 19648,3,-57,168
23,0,2,16 31 26 19682,3,-58,171
24,0,2,16 31 27 19698,1,-49,171
25,0,2,16 31 27 19698,1,-49,171
26,0,2,16 31 27 19731,1,-49,174
27,0,2,16 31 27 19748,3,-58,168
28,0,2,16 31 27 19782,1,-47,174
29,0,2,16 31 27 19798,3,-58,171
30,0,2,16 31 27 19815,1,-47,171
31,0,2,16 31 27 19831,1,-49,171
32,0,2,16 31 27 19831,1,-49,171
33,0,2,16 31 27 19882,3,-58,174
34,0,2,16 31 27 19898,1,-47,174
35,0,2,16 31 27 19915,1,-49,174
36,0,2,16 31 27 19915,1,-49,174
37,0,2,16 31 27 19948,3,-58,171
38,0,2,16 31 27 19965,1,-47,174
39,0,2,16 31 27 19981,3,-59,174
40,0,2,16 31 27 19998,1,-49,171
41,0,2,16 31 27 20013,3,-58,168
42,0,2,16 31 27 20031,1,-49,174
43,0,2,16 31 27 20047,3,-58,171
44,0,2,16 31 27 20065,1,-49,168
45,0,2,16 31 27 20080,1,-49,174
46,0,2,16 31 27 20080,1,-49,174
47,0,2,16 31 27 20114,1,-49,171
48,0,2,16 31 27 20131,1,-49,168
49,0,2,16 31 27 20149,2,-57,174
50,0,2,16 31 27 20149,2,-57,174
51,0,2,16 31 27 20149,2,-57,174
52,0,2,16 31 27 20198,2,-57,168
53,0,2,16 31 27 20215,1,-49,174
54,0,2,16 31 27 20230,2,-57,174
55,0,2,16 31 27 20248,1,-49,174
56,0,2,16 31 27 20264,1,-50,174
57,0,2,16 31 27 20281,2,-56,174
58,0,2,16 31 27 20298,1,-50,171
59,0,2,16 31 27 20298,1,-50,171
60,0,2,16 31 27 20332,2,-55,174
61,0,2,16 31 27 20348,1,-51,174
62,0,2,16 31 27 20365,2,-55,171
63,0,2,16 31 27 20365,2,-55,171
64,0,2,16 31 27 20365,2,-55,171
65,0,2,16 31 27 20365,2,-55,171
66,0,2,16 31 27 20431,2,-55,174
67,0,2,16 31 27 20448,1,-51,171
68,0,2,16 31 27 20448,1,-51,171
69,0,2,16 31 27 20482,1,-51,174
70,0,2,16 31 27 20498,2,-55,171
71,0,2,16 31 27 20515,1,-52,171
72,0,2,16 31 27 20531,2,-57,174
73,0,2,16 31 27 20548,2,-57,171
74,0,2,16 31 27 20565,1,-51,174
75,0,2,16 31 27 20565,1,-51,174
76,0,2,16 31 27 20565,1,-51,174
77,0,2,16 31 27 20565,1,-51,174
78,0,2,16 31 27 20631,2,-57,174
79,0,2,16 31 27 20648,1,-51,174
80,0,2,16 31 27 20665,3,-57,174
81,0,2,16 31 27 20681,3,-56,177
82,0,2,16 31 28 20698,1,-51,168
83,0,2,16 31 28 20715,2,-57,174
84,0,2,16 31 28 20748,1,-51,174
85,0,2,16 31 28 20764,3,-56,171
86,0,2,16 31 28 20780,2,-55,171
87,0,2,16 31 28 20780,2,-55,171
88,0,2,16 31 28 20815,1,-51,171
89,0,2,16 31 28 20832,3,-57,174
90,0,2,16 31 28 20848,2,-56,171
91,0,2,16 31 28 20848,2,-56,171
92,0,2,16 31 28 20881,1,-51,174
93,0,2,16 31 28 20915,2,-56,168
94,0,2,16 31 28 20915,2,-56,168
95,0,2,16 31 28 20947,2,-57,171
96,0,2,16 31 28 20965,1,-51,168
97,0,2,16 31 28 20981,1,-51,174
98,0,2,16 31 28 20998,2,-57,171
99,0,2,16 31 28 21014,3,-57,174
100,0,2,16 31 28 21014,3,-57,174
101,0,2,16 31 28 21048,1,-51,171
102,0,2,16 31 28 21065,2,-55,174
103,0,2,16 31 28 21082,3,-57,174
104,0,2,16 31 28 21082,3,-57,174
105,0,2,16 31 28 21132,1,-51,168
106,0,2,16 31 28 21148,1,-51,174
107,0,2,16 31 28 21181,3,-56,174
108,0,2,16 31 28 21198,2,-57,174
109,0,2,16 31 28 21232,2,-57,168
110,0,2,16 31 28 21248,3,-55,174
111,0,2,16 31 28 21282,3,-53,174
112,0,2,16 31 28 21298,1,-52,174
113,0,2,16 31 28 21315,1,-52,174
114,0,2,16 31 28 21332,3,-55,174
115,0,2,16 31 28 21348,2,-57,168
116,0,2,16 31 28 21365,3,-55,171
117,0,2,16 31 28 21381,1,-51,168
118,0,2,16 31 28 21431,3,-56,174
119,0,2,16 31 28 21448,2,-57,174
120,0,2,16 31 28 21465,3,-56,171
121,0,2,16 31 28 21481,1,-52,174
122,0,2,16 31 28 21498,1,-51,174
123,0,2,16 31 28 21515,2,-57,171
124,0,2,16 31 28 21532,3,-55,174
125,0,2,16 31 28 21548,1,-52,174
126,0,2,16 31 28 21564,2,-57,174
127,0,2,16 31 28 21581,3,-55,174
128,0,2,16 31 28 21598,1,-51,171
129,0,2,16 31 28 21614,3,-56,171
130,0,2,16 31 28 21632,2,-57,171
0,0,3,16 31 32 25065,1,-51,174
1,0,3,16 31 32 25081,2,-58,174
2,0,3,16 31 32 25099,1,-52,0
3,0,3,16 31 32 25115,3,-57,174
4,0,3,16 31 32 25131,1,-51,174
5,0,3,16 31 32 25131,1,-51,174
6,0,3,16 31 32 25131,1,-51,174
7,0,3,16 31 32 25181,2,-59,174
8,0,3,16 31 32 25197,3,-57,174
9,0,3,16 31 32 25215,1,-52,174
10,0,3,16 31 32 25232,3,-57,171
11,0,3,16 31 32 25232,3,-57,171
12,0,3,16 31 32 25265,1,-52,174
13,0,3,16 31 32 25265,1,-52,174
14,0,3,16 31 32 25265,1,-52,174
15,0,3,16 31 32 25315,3,-58,174
16,0,3,16 31 32 25315,3,-58,174
17,0,3,16 31 32 25365,3,-57,168
18,0,3,16 31 32 25381,1,-52,171
19,0,3,16 31 32 25399,1,-52,174
20,0,3,16 31 32 25415,3,-57,177
21,0,3,16 31 32 25431,2,-58,168
22,0,3,16 31 32 25448,1,-53,171
23,0,3,16 31 32 25448,1,-53,171
24,0,3,16 31 32 25481,3,-57,174
25,0,3,16 31 32 25498,1,-52,168
26,0,3,16 31 32 25515,3,-57,171
27,0,3,16 31 32 25531,1,-51,171
28,0,3,16 31 32 25548,1,-52,174
29,0,3,16 31 32 25565,3,-56,171
30,0,3,16 31 32 25565,3,-56,171
31,0,3,16 31 32 25598,3,-57,171
32,0,3,16 31 32 25615,1,-51,171
33,0,3,16 31 32 25632,3,-56,174
34,0,3,16 31 32 25649,1,-52,174
35,0,3,16 31 32 25665,3,-56,174
36,0,3,16 31 32 25681,1,-52,174
37,0,3,16 31 33 25698,3,-56,168
38,0,3,16 31 33 25732,1,-52,174
39,0,3,16 31 33 25748,3,-56,171
40,0,3,16 31 33 25748,3,-56,171
41,0,3,16 31 33 25781,3,-56,171
42,0,3,16 31 33 25799,1,-52,171
43,0,3,16 31 33 25799,1,-52,171
44,0,3,16 31 33 25848,3,-57,168
45,0,3,16 31 33 25865,1,-52,174
46,0,3,16 31 33 25881,1,-55,174
47,0,3,16 31 33 25899,3,-55,171
48,0,3,16 31 33 25915,1,-53,174
49,0,3,16 31 33 25932,3,-57,174
50,0,3,16 31 33 25965,3,-57,174
51,0,3,16 31 33 25982,1,-53,174
52,0,3,16 31 33 25982,1,-53,174
53,0,3,16 31 33 26015,1,-53,171
54,0,3,16 31 33 26015,1,-53,171
55,0,3,16 31 33 26048,1,-55,174
56,0,3,16 31 33 26048,1,-55,174
57,0,3,16 31 33 26082,1,-55,174
58,0,3,16 31 33 26099,1,-53,171
59,0,3,16 31 33 26099,1,-53,171
60,0,3,16 31 33 26132,1,-53,168
61,0,3,16 31 33 26132,1,-53,168
62,0,3,16 31 33 26165,1,-53,168
63,0,3,16 31 33 26165,1,-53,168
64,0,3,16 31 33 26199,1,-55,174
65,0,3,16 31 33 26199,1,-55,174
66,0,3,16 31 33 26231,1,-53,174
67,0,3,16 31 33 26231,1,-53,174
68,0,3,16 31 33 26265,1,-55,171
69,0,3,16 31 33 26265,1,-55,171
70,0,3,16 31 33 26298,1,-55,168
71,0,3,16 31 33 26298,1,-55,168
72,0,3,16 31 33 26332,1,-53,174
73,0,3,16 31 33 26332,1,-53,174
74,0,3,16 31 33 26365,1,-53,174
75,0,3,16 31 33 26382,1,-53,174
76,0,3,16 31 33 26382,1,-53,174
77,0,3,16 31 33 26431,1,-53,174
78,0,3,16 31 33 26448,1,-53,168
79,0,3,16 31 33 26482,1,-53,171
80,0,3,16 31 33 26498,1,-52,174
81,0,3,16 31 33 26498,1,-52,174
82,0,3,16 31 33 26548,1,-52,174
83,0,3,16 31 33 26565,1,-53,174
84,0,3,16 31 33 26565,1,-53,174
