,run,activity,time,id,RSSI,phase
0,1,1,13 38 8 15015,e2001d871271320b9f,-49,174
1,1,1,13 38 8 15032,e2001d8712461320db93,-51,168
2,1,1,13 38 8 15049,e2001d871271320b9f,-49,174
3,1,1,13 38 8 15066,e2001d8712461320db93,-52,174
4,1,1,13 38 9 15099,e2001d8712171320c120,-55,171
5,1,1,13 38 9 15116,e2001d8712461320db93,-52,171
6,1,1,13 38 9 15133,e2001d871271320b9f,-49,174
7,1,1,13 38 9 15149,e2001d8712171320c120,-55,174
8,1,1,13 38 9 15182,e2001d8712171320c120,-55,174
9,1,1,13 38 9 15199,e2001d8712461320db93,-52,171
10,1,1,13 38 9 15199,e2001d8712461320db93,-52,171
11,1,1,13 38 9 15249,e2001d8712171320c120,-52,174
12,1,1,13 38 9 15249,e2001d8712171320c120,-52,174
13,1,1,13 38 9 15282,e2001d871271320b9f,-49,174
14,1,1,13 38 9 15332,e2001d8712171320c120,-52,171
15,1,1,13 38 9 15348,e2001d871271320b9f,-47,174
16,1,1,13 38 9 15382,e2001d8712171320c120,-52,171
17,1,1,13 38 9 15399,e2001d8712461320db93,-53,174
18,1,1,13 38 9 15416,e2001d871271320b9f,-49,174
19,1,1,13 38 9 15432,e2001d8712171320c120,-52,174
20,1,1,13 38 9 15449,e2001d8712461320db93,-52,171
21,1,1,13 38 9 15483,e2001d8712171320c120,-56,171
22,1,1,13 38 9 15498,e2001d871271320b9f,-49,171
23,1,1,13 38 9 15549,e2001d871271320b9f,-49,174
24,1,1,13 38 9 15565,e2001d8712461320db93,-52,174
25,1,1,13 38 9 15565,e2001d8712461320db93,-52,174
26,1,1,13 38 9 15599,e2001d8712171320c120,-56,174
27,1,1,13 38 9 15615,e2001d871271320b9f,-49,171
28,1,1,13 38 9 15649,e2001d871271320b9f,-49,174
29,1,1,13 38 9 15682,e2001d8712171320c120,-57,174
30,1,1,13 38 9 15699,e2001d871271320b9f,-49,174
31,1,1,13 38 9 15715,e2001d8712461320db93,-51,174
32,1,1,13 38 9 15733,e2001d8712461320db93,-52,174
33,1,1,13 38 9 15749,e2001d871271320b9f,-49,174
34,1,1,13 38 9 15798,e2001d871271320b9f,-49,174
