, ,run,activity,time,id,RSSI,phase
0,,1,1,13 38 8 15015,4,-49,174
1,,1,1,13 38 8 15032,2,-51,168
2,,1,1,13 38 8 15049,4,-49,174
3,,1,1,13 38 8 15066,2,-52,174
4,,1,1,13 38 9 15099,3,-55,171
5,,1,1,13 38 9 15116,2,-52,171
6,,1,1,13 38 9 15133,4,-49,174
7,,1,1,13 38 9 15149,3,-55,174
8,,1,1,13 38 9 15182,3,-55,174
9,,1,1,13 38 9 15199,2,-52,171
10,,1,1,13 38 9 15249,3,-52,174
11,,1,1,13 38 9 15282,4,-49,174
12,,1,1,13 38 9 15332,3,-52,171
13,,1,1,13 38 9 15348,4,-47,174
14,,1,1,13 38 9 15382,3,-52,171
15,,1,1,13 38 9 15399,2,-53,174
16,,1,1,13 38 9 15416,4,-49,174
17,,1,1,13 38 9 15432,3,-52,174
18,,1,1,13 38 9 15449,2,-52,171
19,,1,1,13 38 9 15483,3,-56,171
20,,1,1,13 38 9 15498,4,-49,171
21,,1,1,13 38 9 15549,4,-49,174
22,,1,1,13 38 9 15565,2,-52,174
23,,1,1,13 38 9 15599,3,-56,174
24,,1,1,13 38 9 15615,4,-49,171
25,,1,1,13 38 9 15649,4,-49,174
26,,1,1,13 38 9 15682,3,-57,174
27,,1,1,13 38 9 15699,4,-49,174
28,,1,1,13 38 9 15715,2,-51,174
29,,1,1,13 38 9 15733,2,-52,174
30,,1,1,13 38 9 15749,4,-49,174
31,,1,1,13 38 9 15798,4,-49,174
32,,1,1,13 38 9 15815,2,-51,171
33,,1,1,13 38 9 15832,2,-52,174
34,,1,1,13 38 9 15849,4,-49,174
35,,1,1,13 38 9 15866,3,-49,174
36,,1,1,13 38 9 15899,4,-47,171
37,,1,1,13 38 9 15916,2,-55,174
38,,1,1,13 38 9 15966,3,-51,174
39,,1,1,13 38 9 15981,4,-46,174
40,,1,1,13 38 9 16015,3,-51,171
41,,1,1,13 38 9 16033,2,-53,171
42,,1,1,13 38 9 16065,3,-51,168
43,,1,1,13 38 10 16081,4,-46,174
44,,1,1,13 38 10 16116,4,-47,171
45,,1,1,13 38 10 16133,2,-53,171
46,,1,1,13 38 10 16149,2,-53,174
47,,1,1,13 38 10 16182,4,-47,168
48,,1,1,13 38 10 16199,3,-51,174
49,,1,1,13 38 10 16216,4,-47,174
50,,1,1,13 38 10 16249,3,-51,171
51,,1,1,13 38 10 16283,2,-53,171
52,,1,1,13 38 10 16299,3,-52,174
53,,1,1,13 38 10 16332,2,-52,171
54,,1,1,13 38 10 16349,4,-47,174
55,,1,1,13 38 10 16383,3,-52,174
56,,1,1,13 38 10 16398,4,-47,174
57,,1,1,13 38 10 16433,4,-47,171
58,,1,1,13 38 10 16448,2,-52,171
59,,1,1,13 38 10 16481,2,-52,174
60,,1,1,13 38 10 16499,4,-47,174
61,,1,2,13 38 12 18665,3,-55,177
62,,1,2,13 38 12 18716,4,-47,171
63,,1,2,13 38 12 18732,2,-52,174
64,,1,2,13 38 12 18766,4,-49,174
65,,1,2,13 38 12 18782,3,-53,171
66,,1,2,13 38 12 18799,2,-52,174
67,,1,2,13 38 12 18816,4,-46,174
68,,1,2,13 38 12 18849,2,-52,174
69,,1,2,13 38 12 18865,2,-52,171
70,,1,2,13 38 12 18882,4,-49,171
71,,1,2,13 38 12 18898,2,-52,174
72,,1,2,13 38 12 18916,4,-47,174
73,,1,2,13 38 12 18932,4,-47,174
74,,1,2,13 38 12 18966,3,-56,174
75,,1,2,13 38 12 18983,2,-52,174
76,,1,2,13 38 12 19016,3,-55,171
77,,1,2,13 38 12 19031,4,-47,174
78,,1,2,13 38 12 19066,4,-47,174
79,,1,2,13 38 13 19083,2,-52,171
80,,1,2,13 38 13 19116,2,-52,174
81,,1,2,13 38 13 19132,3,-52,174
82,,1,2,13 38 13 19166,4,-47,171
83,,1,2,13 38 13 19183,2,-52,174
84,,1,2,13 38 13 19199,4,-49,174
85,,1,2,13 38 13 19216,4,-49,174
86,,1,2,13 38 13 19233,3,-50,174
87,,1,2,13 38 13 19249,2,-53,171
88,,1,2,13 38 13 19282,2,-53,168
89,,1,2,13 38 13 19300,4,-47,171
90,,1,2,13 38 13 19332,4,-49,174
91,,1,2,13 38 13 19349,2,-55,174
92,,1,2,13 38 13 19383,4,-49,171
93,,1,2,13 38 13 19399,3,-50,168
94,,1,2,13 38 13 19416,2,-57,168
95,,1,2,13 38 13 19465,2,-53,171
96,,1,2,13 38 13 19482,4,-49,174
97,,1,2,13 38 13 19498,3,-55,171
98,,1,2,13 38 13 19533,2,-52,171
99,,1,2,13 38 13 19550,4,-49,171
100,,1,2,13 38 13 19566,3,-56,174
101,,1,2,13 38 13 19599,3,-56,174
102,,1,2,13 38 13 19616,4,-49,171
103,,1,2,13 38 13 19649,2,-53,174
104,,1,2,13 38 13 19665,3,-57,171
105,,1,2,13 38 13 19682,4,-49,171
106,,1,2,13 38 13 19714,2,-55,171
107,,1,2,13 38 13 19732,3,-57,168
108,,1,2,13 38 13 19766,3,-57,174
109,,1,2,13 38 13 19782,4,-49,171
110,,1,2,13 38 13 19816,4,-49,174
111,,1,2,13 38 13 19832,3,-56,171
112,,1,2,13 38 13 19849,3,-58,174
113,,1,2,13 38 13 19866,4,-49,171
114,,1,2,13 38 13 19883,2,-55,174
115,,1,2,13 38 13 19899,3,-56,171
116,,1,2,13 38 13 19916,2,-55,171
117,,1,2,13 38 13 19932,4,-49,174
118,,1,2,13 38 13 19965,4,-49,168
119,,1,2,13 38 13 19982,3,-57,174
120,,1,2,13 38 13 19998,2,-55,174
121,,1,2,13 38 13 20015,4,-50,168
122,,1,2,13 38 13 20033,3,-57,171
123,,1,2,13 38 14 20083,3,-56,174
124,,1,2,13 38 14 20099,4,-51,174
125,,1,2,13 38 14 20132,2,-53,174
126,,1,2,13 38 14 20148,4,-51,171
127,,1,2,13 38 14 20166,3,-57,171
128,,1,2,13 38 14 20183,4,-50,174
129,,1,2,13 38 14 20216,2,-55,174
130,,1,2,13 38 14 20232,4,-50,168
131,,1,2,13 38 14 20249,3,-55,177
132,,1,2,13 38 14 20282,2,-55,174
133,,1,2,13 38 14 20299,4,-49,171
134,,1,2,13 38 14 20316,3,-56,171
135,,1,2,13 38 14 20349,3,-56,174
136,,1,2,13 38 14 20366,4,-49,171
137,,1,2,13 38 14 20399,3,-56,174
138,,1,2,13 38 14 20432,2,-55,177
139,,1,2,13 38 14 20466,4,-49,171
140,,1,2,13 38 14 20483,2,-55,168
141,,1,2,13 38 14 20515,2,-56,174
142,,1,2,13 38 14 20533,4,-49,171
143,,1,2,13 38 14 20565,4,-49,174
144,,1,2,13 38 14 20582,3,-52,171
145,,1,3,13 38 18 24599,4,-49,174
146,,1,3,13 38 18 24616,4,-49,171
147,,1,3,13 38 18 24666,3,-58,171
148,,1,3,13 38 18 24681,2,-52,171
149,,1,3,13 38 18 24716,4,-49,171
150,,1,3,13 38 18 24733,3,-58,174
151,,1,3,13 38 18 24766,4,-50,174
152,,1,3,13 38 18 24783,2,-51,174
153,,1,3,13 38 18 24800,3,-57,171
154,,1,3,13 38 18 24816,4,-49,174
155,,1,3,13 38 18 24849,2,-51,174
156,,1,3,13 38 18 24866,4,-49,174
157,,1,3,13 38 18 24916,4,-50,171
158,,1,3,13 38 18 24932,2,-51,177
159,,1,3,13 38 18 24950,3,-57,174
160,,1,3,13 38 18 24966,3,-55,168
161,,1,3,13 38 18 24982,4,-49,174
162,,1,3,13 38 18 25000,2,-51,174
163,,1,3,13 38 18 25015,4,-50,171
164,,1,3,13 38 18 25049,3,-56,171
165,,1,3,13 38 18 25066,2,-52,171
166,,1,3,13 38 19 25083,3,-57,171
167,,1,3,13 38 19 25116,2,-52,174
168,,1,3,13 38 19 25132,4,-49,174
169,,1,3,13 38 19 25150,3,-57,174
170,,1,3,13 38 19 25166,2,-52,171
171,,1,3,13 38 19 25199,4,-49,168
172,,1,3,13 38 19 25216,3,-55,174
173,,1,3,13 38 19 25249,4,-49,171
174,,1,3,13 38 19 25266,3,-52,171
175,,1,3,13 38 19 25300,3,-53,171
176,,1,3,13 38 19 25316,2,-51,174
177,,1,3,13 38 19 25333,4,-51,171
178,,1,3,13 38 19 25382,2,-51,171
179,,1,3,13 38 19 25399,4,-51,174
180,,1,3,13 38 19 25416,3,-55,171
181,,1,3,13 38 19 25449,4,-52,171
182,,1,3,13 38 19 25466,3,-52,174
183,,1,3,13 38 19 25500,4,-51,174
184,,1,3,13 38 19 25516,3,-52,168
185,,1,3,13 38 19 25533,4,-52,174
186,,1,3,13 38 19 25549,2,-55,171
187,,1,3,13 38 19 25566,3,-53,174
188,,1,3,13 38 19 25616,3,-52,168
189,,1,3,13 38 19 25633,4,-51,171
190,,1,3,13 38 19 25665,4,-51,171
191,,1,3,13 38 19 25683,2,-55,174
192,,1,3,13 38 19 25700,3,-53,171
193,,1,3,13 38 19 25716,2,-55,171
194,,1,3,13 38 19 25733,4,-52,174
195,,1,3,13 38 19 25750,4,-51,171
196,,1,3,13 38 19 25766,2,-53,174
197,,1,3,13 38 19 25782,3,-53,174
198,,1,3,13 38 19 25816,4,-52,171
199,,1,3,13 38 19 25849,2,-55,174
200,,1,3,13 38 19 25867,4,-51,174
201,,1,3,13 38 19 25883,3,-55,174
202,,1,3,13 38 19 25899,4,-51,171
203,,1,3,13 38 19 25916,3,-53,174
204,,1,3,13 38 19 25932,2,-55,171
205,,1,4,13 38 22 28716,3,-55,171
206,,1,4,13 38 22 28749,4,-51,174
207,,1,4,13 38 22 28766,3,-55,174
208,,1,4,13 38 22 28800,2,-52,171
209,,1,4,13 38 22 28816,4,-51,171
210,,1,4,13 38 22 28866,3,-57,177
211,,1,4,13 38 22 28882,2,-52,174
212,,1,4,13 38 22 28899,2,-52,171
213,,1,4,13 38 22 28916,4,-52,174
214,,1,4,13 38 22 28933,3,-57,171
215,,1,4,13 38 22 28966,3,-58,171
216,,1,4,13 38 22 28983,4,-51,174
217,,1,4,13 38 22 29032,2,-52,171
218,,1,4,13 38 22 29050,4,-52,174
219,,1,4,13 38 22 29066,2,-52,171
220,,1,4,13 38 23 29083,4,-53,174
221,,1,4,13 38 23 29099,2,-53,171
222,,1,4,13 38 23 29117,4,-52,174
223,,1,4,13 38 23 29133,4,-53,171
224,,1,4,13 38 23 29150,2,-52,174
225,,1,4,13 38 23 29166,4,-55,171
226,,1,4,13 38 23 29182,2,-53,171
227,,1,4,13 38 23 29233,2,-55,168
228,,1,4,13 38 23 29250,4,-57,174
229,,1,4,13 38 23 29266,4,-56,174
230,,1,4,13 38 23 29283,2,-55,171
231,,1,4,13 38 23 29316,2,-55,174
232,,1,4,13 38 23 29333,4,-55,171
233,,1,4,13 38 23 29383,2,-55,171
234,,1,4,13 38 23 29400,4,-55,174
235,,1,4,13 38 23 29416,2,-55,174
236,,1,4,13 38 23 29449,3,-55,174
237,,1,4,13 38 23 29466,4,-53,174
238,,1,4,13 38 23 29483,4,-52,174
239,,1,4,13 38 23 29499,3,-55,171
240,,1,4,13 38 23 29515,2,-57,174
241,,1,4,13 38 23 29532,4,-52,174
242,,1,4,13 38 23 29550,3,-55,168
243,,1,4,13 38 23 29616,4,-51,171
244,,1,4,13 38 23 29633,3,-53,174
245,,1,4,13 38 23 29649,4,-51,174
246,,1,4,13 38 23 29665,3,-52,174
247,,1,4,13 38 23 29683,3,-55,168
248,,1,4,13 38 23 29700,4,-51,174
249,,1,4,13 38 23 29733,4,-51,174
250,,1,4,13 38 23 29749,3,-53,168
251,,1,4,13 38 23 29766,4,-51,171
252,,1,4,13 38 23 29799,3,-55,171
253,,1,4,13 38 23 29816,4,-51,174
254,,1,4,13 38 23 29866,2,-57,174
255,,1,4,13 38 23 29882,4,-50,174
256,,1,4,13 38 23 29916,3,-55,168
257,,1,4,13 38 23 29949,3,-55,174
258,,1,4,13 38 23 29965,4,-50,171
259,,1,4,13 38 23 29983,2,-57,171
260,,1,4,13 38 23 30033,3,-53,174
261,,1,4,13 38 23 30050,2,-57,171
262,,1,4,13 38 24 30082,4,-50,171
263,,1,4,13 38 24 30100,3,-55,168
264,,1,4,13 38 24 30133,3,-55,171
265,,1,4,13 38 24 30149,4,-51,171
266,,1,4,13 38 24 30182,2,-56,171
267,,1,4,13 38 24 30217,4,-52,174
268,,1,4,13 38 24 30233,2,-55,171
269,,1,4,13 38 24 30249,3,-58,174
270,,1,4,13 38 24 30299,3,-58,171
271,,1,4,13 38 24 30316,2,-55,171
272,,1,4,13 38 24 30349,4,-51,171
273,,1,4,13 38 24 30367,3,-56,174
274,,1,4,13 38 24 30399,3,-58,174
275,,1,4,13 38 24 30433,4,-51,174
276,,1,4,13 38 24 30483,4,-50,174
277,,1,4,13 38 24 30499,3,-53,174
278,,1,4,13 38 24 30516,4,-50,171
279,,1,5,13 38 27 33983,4,-52,174
280,,1,5,13 38 27 34016,2,-55,174
281,,1,5,13 38 27 34048,2,-55,174
282,,1,5,13 38 27 34066,4,-52,171
283,,1,5,13 38 28 34099,3,-58,171
284,,1,5,13 38 28 34115,4,-52,168
285,,1,5,13 38 28 34149,4,-52,171
286,,1,5,13 38 28 34167,4,-51,171
287,,1,5,13 38 28 34183,3,-56,174
288,,1,5,13 38 28 34199,2,-57,171
289,,1,5,13 38 28 34217,4,-51,171
290,,1,5,13 38 28 34233,3,-57,174
291,,1,5,13 38 28 34250,2,-56,171
292,,1,5,13 38 28 34300,2,-55,171
293,,1,5,13 38 28 34317,4,-52,171
294,,1,5,13 38 28 34333,3,-55,174
295,,1,5,13 38 28 34367,4,-52,174
296,,1,5,13 38 28 34383,2,-55,171
297,,1,5,13 38 28 34400,3,-56,174
298,,1,5,13 38 28 34433,3,-53,171
299,,1,5,13 38 28 34450,4,-51,168
300,,1,5,13 38 28 34466,3,-53,171
301,,1,5,13 38 28 34482,4,-51,174
302,,1,5,13 38 28 34500,2,-58,174
303,,1,5,13 38 28 34533,4,-51,168
304,,1,5,13 38 28 34549,3,-52,174
305,,1,5,13 38 28 34566,2,-58,174
306,,1,5,13 38 28 34583,4,-51,171
307,,1,5,13 38 28 34600,3,-53,171
308,,1,5,13 38 28 34616,2,-57,174
309,,1,5,13 38 28 34650,3,-52,171
310,,1,5,13 38 28 34666,4,-52,171
311,,1,5,13 38 28 34683,2,-55,171
312,,1,5,13 38 28 34733,3,-52,171
313,,1,5,13 38 28 34749,4,-52,171
314,,1,5,13 38 28 34765,2,-55,168
315,,1,5,13 38 28 34783,4,-51,174
316,,1,5,13 38 28 34799,2,-53,168
317,,1,5,13 38 28 34816,3,-55,174
318,,1,5,13 38 28 34833,3,-55,171
319,,1,5,13 38 28 34867,4,-52,171
320,,1,5,13 38 28 34900,3,-55,171
321,,1,5,13 38 28 34916,2,-52,171
322,,1,5,13 38 28 34933,4,-52,171
323,,1,5,13 38 28 34966,3,-55,174
324,,1,5,13 38 28 34983,2,-52,171
325,,1,5,13 38 28 35017,3,-56,171
326,,1,5,13 38 28 35033,2,-52,171
