,run,activity,time,id,RSSI,phase
0,3,1,16 45 55 28294,1,-49,174
2,3,1,16 45 55 28327,3,-57,171
3,3,1,16 45 55 28360,1,-49,171
4,3,1,16 45 55 28378,3,-57,171
6,3,1,16 45 55 28411,1,-49,171
7,3,1,16 45 55 28427,3,-56,171
9,3,1,16 45 55 28460,1,-49,171
10,3,1,16 45 55 28494,3,-56,168
11,3,1,16 45 55 28511,1,-49,174
12,3,1,16 45 55 28527,1,-49,174
13,3,1,16 45 55 28544,3,-57,168
14,3,1,16 45 55 28578,2,-57,168
15,3,1,16 45 55 28594,1,-49,171
16,3,1,16 45 55 28611,2,-56,171
19,3,1,16 45 56 28660,2,-55,168
20,3,1,16 45 56 28676,1,-49,174
21,3,1,16 45 56 28693,2,-57,174
22,3,1,16 45 56 28710,1,-49,171
23,3,1,16 45 56 28726,2,-57,174
24,3,1,16 45 56 28744,1,-49,174
25,3,1,16 45 56 28777,2,-55,174
26,3,1,16 45 56 28793,1,-49,174
27,3,1,16 45 56 28811,1,-49,168
28,3,1,16 45 56 28827,2,-56,171
30,3,1,16 45 56 28861,1,-49,174
31,3,1,16 45 56 28877,2,-55,174
33,3,1,16 45 56 28911,2,-56,174
34,3,1,16 45 56 28927,1,-49,174
35,3,1,16 45 56 28944,2,-57,174
36,3,1,16 45 56 28961,1,-49,174
37,3,1,16 45 56 28976,1,-49,174
39,3,1,16 45 56 29010,2,-56,174
41,3,1,16 45 56 29043,1,-49,171
42,3,1,16 45 56 29061,2,-57,171
44,3,1,16 45 56 29110,2,-57,171
45,3,1,16 45 56 29127,1,-49,174
46,3,1,16 45 56 29144,1,-49,171
47,3,1,16 45 56 29160,2,-57,174
49,3,1,16 45 56 29194,1,-49,174
50,3,1,16 45 56 29210,2,-57,168
51,3,1,16 45 56 29227,1,-49,174
53,3,1,16 45 56 29260,1,-49,174
55,3,1,16 45 56 29294,1,-49,171
59,3,1,16 45 56 29360,1,-49,174
62,3,1,16 45 56 29410,3,-58,171
64,3,1,16 45 56 29444,3,-58,171
65,3,1,16 45 56 29459,1,-47,174
66,3,1,16 45 56 29478,1,-49,174
67,3,1,16 45 56 29511,1,-47,174
68,3,1,16 45 56 29526,1,-47,171
72,3,1,16 45 56 29594,1,-47,174
75,3,1,16 45 57 29643,1,-47,174
77,3,1,16 45 57 29678,2,-57,174
79,3,1,16 45 57 29710,1,-49,174
81,3,1,16 45 57 29744,2,-58,174
83,3,1,16 45 57 29777,1,-49,174
84,3,1,16 45 57 29794,2,-57,171
87,3,1,16 45 57 29860,2,-57,171
88,3,1,16 45 57 29878,1,-49,174
89,3,1,16 45 57 29910,1,-49,174
92,3,1,16 45 57 29960,2,-57,174
94,3,1,16 45 57 29994,1,-49,171
96,3,1,16 45 57 30028,2,-57,174
99,3,1,16 45 57 30078,1,-49,174
100,3,1,16 45 57 30094,2,-58,174
103,3,1,16 45 57 30144,1,-49,171
104,3,1,16 45 57 30161,2,-57,174
105,3,1,16 45 57 30177,1,-49,168
106,3,1,16 45 57 30194,2,-57,174
