, ,run,activity,time,id,RSSI,phase
0,,3,1,16 45 55 28294,1,-49,174
1,,3,1,16 45 55 28327,3,-57,171
2,,3,1,16 45 55 28360,1,-49,171
3,,3,1,16 45 55 28378,3,-57,171
4,,3,1,16 45 55 28411,1,-49,171
5,,3,1,16 45 55 28427,3,-56,171
6,,3,1,16 45 55 28460,1,-49,171
7,,3,1,16 45 55 28494,3,-56,168
8,,3,1,16 45 55 28511,1,-49,174
9,,3,1,16 45 55 28527,1,-49,174
10,,3,1,16 45 55 28544,3,-57,168
11,,3,1,16 45 55 28578,2,-57,168
12,,3,1,16 45 55 28594,1,-49,171
13,,3,1,16 45 55 28611,2,-56,171
14,,3,1,16 45 56 28660,2,-55,168
15,,3,1,16 45 56 28676,1,-49,174
16,,3,1,16 45 56 28693,2,-57,174
17,,3,1,16 45 56 28710,1,-49,171
18,,3,1,16 45 56 28726,2,-57,174
19,,3,1,16 45 56 28744,1,-49,174
20,,3,1,16 45 56 28777,2,-55,174
21,,3,1,16 45 56 28793,1,-49,174
22,,3,1,16 45 56 28811,1,-49,168
23,,3,1,16 45 56 28827,2,-56,171
24,,3,1,16 45 56 28861,1,-49,174
25,,3,1,16 45 56 28877,2,-55,174
26,,3,1,16 45 56 28911,2,-56,174
27,,3,1,16 45 56 28927,1,-49,174
28,,3,1,16 45 56 28944,2,-57,174
29,,3,1,16 45 56 28961,1,-49,174
30,,3,1,16 45 56 28976,1,-49,174
31,,3,1,16 45 56 29010,2,-56,174
32,,3,1,16 45 56 29043,1,-49,171
33,,3,1,16 45 56 29061,2,-57,171
34,,3,1,16 45 56 29110,2,-57,171
35,,3,1,16 45 56 29127,1,-49,174
36,,3,1,16 45 56 29144,1,-49,171
37,,3,1,16 45 56 29160,2,-57,174
38,,3,1,16 45 56 29194,1,-49,174
39,,3,1,16 45 56 29210,2,-57,168
40,,3,1,16 45 56 29227,1,-49,174
41,,3,1,16 45 56 29260,1,-49,174
42,,3,1,16 45 56 29294,1,-49,171
43,,3,1,16 45 56 29360,1,-49,174
44,,3,1,16 45 56 29410,3,-58,171
45,,3,1,16 45 56 29444,3,-58,171
46,,3,1,16 45 56 29459,1,-47,174
47,,3,1,16 45 56 29478,1,-49,174
48,,3,1,16 45 56 29511,1,-47,174
49,,3,1,16 45 56 29526,1,-47,171
50,,3,1,16 45 56 29594,1,-47,174
51,,3,1,16 45 57 29643,1,-47,174
52,,3,1,16 45 57 29678,2,-57,174
53,,3,1,16 45 57 29710,1,-49,174
54,,3,1,16 45 57 29744,2,-58,174
55,,3,1,16 45 57 29777,1,-49,174
56,,3,1,16 45 57 29794,2,-57,171
57,,3,1,16 45 57 29860,2,-57,171
58,,3,1,16 45 57 29878,1,-49,174
59,,3,1,16 45 57 29910,1,-49,174
60,,3,1,16 45 57 29960,2,-57,174
61,,3,1,16 45 57 29994,1,-49,171
62,,3,1,16 45 57 30028,2,-57,174
63,,3,1,16 45 57 30078,1,-49,174
64,,3,1,16 45 57 30094,2,-58,174
65,,3,1,16 45 57 30144,1,-49,171
66,,3,1,16 45 57 30161,2,-57,174
67,,3,1,16 45 57 30177,1,-49,168
68,,3,1,16 45 57 30194,2,-57,174
69,,3,2,16 46 0 33511,2,-57,174
70,,3,2,16 46 0 33527,1,-47,174
71,,3,2,16 46 0 33544,1,-49,174
72,,3,2,16 46 0 33578,2,-57,171
73,,3,2,16 46 0 33610,1,-47,174
74,,3,2,16 46 1 33644,2,-58,165
75,,3,2,16 46 1 33677,1,-47,174
76,,3,2,16 46 1 33728,1,-47,168
77,,3,2,16 46 1 33795,1,-47,174
78,,3,2,16 46 1 33827,3,-58,174
79,,3,2,16 46 1 33843,1,-47,174
80,,3,2,16 46 1 33861,1,-49,174
81,,3,2,16 46 1 33877,1,-49,171
82,,3,2,16 46 1 33927,1,-49,171
83,,3,2,16 46 1 33944,1,-49,174
84,,3,2,16 46 1 33978,1,-49,174
85,,3,2,16 46 1 34011,1,-49,171
86,,3,2,16 46 1 34043,1,-49,174
87,,3,2,16 46 1 34078,1,-49,171
88,,3,2,16 46 1 34110,1,-49,171
89,,3,2,16 46 1 34160,1,-49,174
90,,3,2,16 46 1 34195,1,-50,174
91,,3,2,16 46 1 34228,2,-57,171
92,,3,2,16 46 1 34244,3,-57,171
93,,3,2,16 46 1 34294,2,-57,174
94,,3,2,16 46 1 34310,1,-51,171
95,,3,2,16 46 1 34344,1,-51,171
96,,3,2,16 46 1 34361,2,-55,174
97,,3,2,16 46 1 34411,3,-57,171
98,,3,2,16 46 1 34427,1,-51,168
99,,3,2,16 46 1 34477,3,-57,171
100,,3,2,16 46 1 34511,2,-55,168
101,,3,2,16 46 1 34545,2,-55,168
102,,3,2,16 46 1 34561,3,-55,174
103,,3,2,16 46 1 34578,1,-52,174
104,,3,2,16 46 1 34594,3,-55,177
105,,3,2,16 46 2 34628,3,-55,171
106,,3,2,16 46 2 34644,2,-55,174
107,,3,2,16 46 2 34677,1,-52,171
108,,3,2,16 46 2 34694,3,-55,171
109,,3,2,16 46 2 34728,1,-52,171
110,,3,2,16 46 2 34743,2,-55,171
111,,3,2,16 46 2 34761,1,-53,174
112,,3,2,16 46 2 34777,2,-55,168
113,,3,2,16 46 2 34843,1,-52,171
114,,3,2,16 46 2 34861,1,-51,171
115,,3,2,16 46 2 34894,1,-51,171
116,,3,2,16 46 2 34911,2,-55,171
117,,3,2,16 46 2 34928,1,-51,171
118,,3,2,16 46 2 34945,3,-55,174
119,,3,2,16 46 2 34960,2,-55,171
120,,3,2,16 46 2 34994,2,-55,171
121,,3,2,16 46 2 35011,1,-51,174
122,,3,2,16 46 2 35027,3,-58,171
123,,3,2,16 46 2 35061,2,-55,0
124,,3,2,16 46 2 35077,1,-52,171
125,,3,2,16 46 2 35095,1,-52,171
126,,3,2,16 46 2 35110,2,-55,174
127,,3,2,16 46 2 35145,2,-55,177
128,,3,2,16 46 2 35161,1,-51,174
129,,3,2,16 46 2 35210,2,-55,171
130,,3,2,16 46 2 35226,1,-52,168
131,,3,2,16 46 2 35260,1,-53,174
132,,3,2,16 46 2 35278,3,-55,171
133,,3,2,16 46 2 35311,3,-55,174
134,,3,2,16 46 2 35328,2,-55,174
135,,3,2,16 46 2 35361,3,-53,168
136,,3,2,16 46 2 35394,1,-53,171
137,,3,2,16 46 2 35411,3,-55,171
138,,3,2,16 46 2 35445,1,-53,171
139,,3,2,16 46 2 35478,2,-55,171
140,,3,2,16 46 2 35494,3,-55,174
141,,3,2,16 46 2 35511,1,-53,171
142,,3,2,16 46 2 35527,2,-55,171
143,,3,2,16 46 2 35545,3,-56,168
144,,3,2,16 46 2 35561,1,-52,171
145,,3,2,16 46 2 35593,3,-57,174
146,,3,2,16 46 2 35611,2,-53,171
147,,3,2,16 46 3 35645,1,-52,168
148,,3,2,16 46 3 35661,3,-57,177
149,,3,2,16 46 3 35678,1,-52,174
150,,3,2,16 46 3 35728,2,-55,171
151,,3,2,16 46 3 35761,1,-52,174
152,,3,2,16 46 3 35778,2,-55,171
153,,3,2,16 46 3 35794,3,-58,171
154,,3,2,16 46 3 35810,2,-55,171
155,,3,2,16 46 3 35845,1,-52,171
156,,3,2,16 46 3 35877,3,-57,174
157,,3,2,16 46 3 35893,1,-52,171
158,,3,2,16 46 3 35927,2,-53,174
159,,3,2,16 46 3 35944,3,-57,174
160,,3,3,16 46 6 39410,2,-55,174
161,,3,3,16 46 6 39427,1,-51,168
162,,3,3,16 46 6 39444,3,-55,174
163,,3,3,16 46 6 39478,1,-52,171
164,,3,3,16 46 6 39494,2,-55,171
165,,3,3,16 46 6 39510,3,-56,174
166,,3,3,16 46 6 39545,2,-55,174
167,,3,3,16 46 6 39561,3,-56,174
168,,3,3,16 46 6 39577,1,-52,168
169,,3,3,16 46 6 39595,1,-52,171
170,,3,3,16 46 7 39627,3,-56,174
171,,3,3,16 46 7 39644,2,-55,174
172,,3,3,16 46 7 39661,3,-57,174
173,,3,3,16 46 7 39678,1,-51,174
174,,3,3,16 46 7 39694,2,-55,168
175,,3,3,16 46 7 39711,1,-52,171
176,,3,3,16 46 7 39728,2,-55,174
177,,3,3,16 46 7 39744,3,-57,174
178,,3,3,16 46 7 39777,2,-55,174
179,,3,3,16 46 7 39794,1,-52,168
180,,3,3,16 46 7 39811,2,-55,174
181,,3,3,16 46 7 39828,3,-57,174
182,,3,3,16 46 7 39877,1,-55,174
183,,3,3,16 46 7 39895,2,-55,171
184,,3,3,16 46 7 39912,3,-57,171
185,,3,3,16 46 7 39928,2,-55,168
186,,3,3,16 46 7 39944,1,-53,171
187,,3,3,16 46 7 39961,3,-56,171
188,,3,3,16 46 7 39994,2,-56,174
189,,3,3,16 46 7 40011,1,-52,171
190,,3,3,16 46 7 40027,3,-55,171
191,,3,3,16 46 7 40045,1,-53,174
192,,3,3,16 46 7 40078,3,-57,174
193,,3,3,16 46 7 40111,3,-56,168
194,,3,3,16 46 7 40128,1,-55,177
195,,3,3,16 46 7 40178,3,-57,168
196,,3,3,16 46 7 40194,1,-55,171
197,,3,3,16 46 7 40260,1,-55,174
198,,3,3,16 46 7 40278,1,-53,171
199,,3,3,16 46 7 40311,1,-53,174
200,,3,3,16 46 7 40362,1,-55,171
201,,3,3,16 46 7 40395,1,-55,168
202,,3,3,16 46 7 40427,1,-55,168
203,,3,3,16 46 7 40443,1,-55,174
204,,3,3,16 46 7 40478,1,-55,171
205,,3,3,16 46 7 40510,1,-57,174
206,,3,3,16 46 7 40578,1,-57,171
207,,3,3,16 46 8 40628,1,-58,174
208,,3,4,16 46 12 44795,1,-58,174
209,,3,4,16 46 12 44860,1,-58,171
210,,3,4,16 46 12 45078,1,-57,168
211,,3,4,16 46 12 45111,1,-55,174
212,,3,4,16 46 12 45144,1,-55,174
213,,3,4,16 46 12 45177,1,-55,171
214,,3,4,16 46 12 45210,1,-55,174
215,,3,4,16 46 12 45244,1,-55,171
216,,3,4,16 46 12 45278,1,-55,168
217,,3,4,16 46 12 45310,1,-53,171
218,,3,4,16 46 12 45345,1,-55,174
219,,3,4,16 46 12 45378,1,-55,171
220,,3,4,16 46 12 45411,1,-53,171
221,,3,4,16 46 12 45445,1,-55,171
222,,3,4,16 46 12 45460,1,-53,168
223,,3,4,16 46 12 45495,1,-52,174
224,,3,4,16 46 12 45527,1,-52,174
225,,3,4,16 46 12 45562,1,-53,174
226,,3,4,16 46 12 45595,1,-52,168
227,,3,4,16 46 13 45628,1,-52,171
228,,3,4,16 46 13 45678,1,-52,168
229,,3,4,16 46 13 45695,1,-53,171
230,,3,4,16 46 13 45760,1,-53,168
231,,3,4,16 46 13 45778,3,-56,174
232,,3,4,16 46 13 45811,1,-53,171
233,,3,4,16 46 13 45828,3,-55,168
234,,3,4,16 46 13 45845,3,-55,171
235,,3,4,16 46 13 45861,1,-52,174
236,,3,4,16 46 13 45878,1,-53,174
237,,3,4,16 46 13 45895,3,-55,171
238,,3,4,16 46 13 45928,1,-52,174
239,,3,4,16 46 13 45944,3,-53,171
240,,3,4,16 46 13 45961,1,-52,168
241,,3,4,16 46 13 45978,3,-53,171
242,,3,4,16 46 13 46010,3,-53,174
243,,3,4,16 46 13 46029,1,-52,174
244,,3,4,16 46 13 46044,1,-52,174
245,,3,4,16 46 13 46061,3,-53,168
246,,3,4,16 46 13 46111,3,-52,177
247,,3,4,16 46 13 46129,1,-52,174
248,,3,4,16 46 13 46160,1,-51,174
249,,3,4,16 46 13 46195,3,-55,174
250,,3,4,16 46 13 46210,1,-51,171
251,,3,4,16 46 13 46228,1,-52,168
252,,3,4,16 46 13 46244,3,-55,168
253,,3,4,16 46 13 46261,3,-53,171
254,,3,4,16 46 13 46277,1,-52,174
255,,3,4,16 46 13 46295,3,-55,171
256,,3,4,16 46 13 46311,1,-52,174
257,,3,4,16 46 13 46328,3,-53,174
258,,3,4,16 46 13 46377,1,-53,174
259,,3,4,16 46 13 46394,3,-53,171
260,,3,4,16 46 13 46411,1,-53,174
261,,3,4,16 46 13 46428,3,-53,174
262,,3,4,16 46 13 46445,1,-52,174
263,,3,4,16 46 13 46460,3,-53,174
264,,3,4,16 46 13 46477,3,-55,174
265,,3,4,16 46 13 46494,1,-53,168
266,,3,4,16 46 13 46544,1,-53,174
267,,3,4,16 46 13 46561,3,-53,171
268,,3,4,16 46 13 46578,1,-53,168
269,,3,4,16 46 13 46595,3,-53,171
270,,3,4,16 46 14 46629,3,-53,174
271,,3,4,16 46 14 46644,1,-52,171
272,,3,4,16 46 14 46661,1,-53,174
273,,3,4,16 46 14 46678,3,-52,165
274,,3,4,16 46 14 46710,1,-53,171
275,,3,4,16 46 14 46728,3,-53,171
276,,3,4,16 46 14 46745,3,-52,174
277,,3,4,16 46 14 46761,1,-55,174
278,,3,4,16 46 14 46794,3,-52,174
279,,3,4,16 46 14 46828,3,-53,174
280,,3,4,16 46 14 46860,1,-55,171
281,,3,4,16 46 14 46894,1,-55,174
282,,3,4,16 46 14 46911,3,-52,174
283,,3,4,16 46 14 46928,3,-52,171
284,,3,4,16 46 14 46945,1,-53,171
285,,3,4,16 46 14 46961,3,-52,174
286,,3,4,16 46 14 46978,1,-55,174
287,,3,4,16 46 14 47011,1,-55,168
288,,3,4,16 46 14 47028,3,-52,171
289,,3,4,16 46 14 47045,3,-53,168
290,,3,4,16 46 14 47078,1,-55,174
291,,3,4,16 46 14 47094,1,-55,174
292,,3,4,16 46 14 47127,3,-53,168
293,,3,4,16 46 14 47144,3,-52,168
294,,3,4,16 46 14 47162,1,-55,168
295,,3,4,16 46 14 47194,1,-55,174
296,,3,4,16 46 14 47212,3,-52,174
297,,3,4,16 46 14 47227,1,-55,174
298,,3,5,16 46 16 49179,1,-53,168
299,,3,5,16 46 16 49195,1,-53,174
300,,3,5,16 46 16 49212,3,-55,174
301,,3,5,16 46 16 49262,3,-55,174
302,,3,5,16 46 16 49277,1,-53,171
303,,3,5,16 46 16 49295,3,-56,174
304,,3,5,16 46 16 49310,1,-52,174
305,,3,5,16 46 16 49327,1,-52,171
306,,3,5,16 46 16 49345,3,-56,171
307,,3,5,16 46 16 49378,3,-56,171
308,,3,5,16 46 16 49394,1,-52,174
309,,3,5,16 46 16 49411,1,-52,171
310,,3,5,16 46 16 49428,3,-58,171
311,,3,5,16 46 16 49445,1,-52,174
312,,3,5,16 46 16 49478,1,-52,174
