time,id,RSSI,phase
,,,
14 11 25 1571,tagID,RSSI,Phase
14 11 25 1588,tagID,RSSI,Phase
14 11 25 1603,tagID,RSSI,Phase
14 11 25 1620,tagID,RSSI,Phase
14 11 25 1638,tagID,RSSI,Phase
14 11 25 1654,tagID,RSSI,Phase
14 11 25 1670,tagID,RSSI,Phase
14 11 25 1688,tagID,RSSI,Phase
14 11 25 1705,tagID,RSSI,Phase
14 11 25 1720,tagID,RSSI,Phase
14 11 25 1738,tagID,RSSI,Phase
14 11 25 1753,tagID,RSSI,Phase
14 11 25 1771,tagID,RSSI,Phase
14 11 25 1787,tagID,RSSI,Phase
14 11 25 1804,tagID,RSSI,Phase
14 11 25 1821,tagID,RSSI,Phase
14 11 25 1837,tagID,RSSI,Phase
14 11 25 1854,tagID,RSSI,Phase
14 11 25 1872,tagID,RSSI,Phase
14 11 25 1887,tagID,RSSI,Phase
14 11 25 1904,tagID,RSSI,Phase
14 11 25 1921,tagID,RSSI,Phase
14 11 25 1938,tagID,RSSI,Phase
14 11 25 1955,tagID,RSSI,Phase
14 11 25 1971,tagID,RSSI,Phase
14 11 25 1986,tagID,RSSI,Phase
14 11 25 2005,tagID,RSSI,Phase
14 11 25 2020,tagID,RSSI,Phase
14 11 25 2038,tagID,RSSI,Phase
14 11 25 2055,tagID,RSSI,Phase
14 11 26 2072,tagID,RSSI,Phase
14 11 26 2088,tagID,RSSI,Phase
14 11 26 2105,tagID,RSSI,Phase
14 11 26 2121,tagID,RSSI,Phase
14 11 26 2138,tagID,RSSI,Phase
14 11 26 2154,tagID,RSSI,Phase
14 11 26 2171,tagID,RSSI,Phase
14 11 26 2188,tagID,RSSI,Phase
14 11 26 2203,tagID,RSSI,Phase
14 11 26 2220,tagID,RSSI,Phase
14 11 26 2237,tagID,RSSI,Phase
14 11 26 2254,tagID,RSSI,Phase
14 11 26 2272,tagID,RSSI,Phase
14 11 26 2288,tagID,RSSI,Phase
14 11 26 2304,tagID,RSSI,Phase
14 11 26 2321,tagID,RSSI,Phase
14 11 26 2338,tagID,RSSI,Phase
14 11 26 2354,tagID,RSSI,Phase
14 11 26 2370,tagID,RSSI,Phase
14 11 26 2387,tagID,RSSI,Phase
14 11 26 2404,tagID,RSSI,Phase
14 11 26 2421,tagID,RSSI,Phase
14 11 26 2438,tagID,RSSI,Phase
14 11 26 2455,tagID,RSSI,Phase
14 11 26 2471,tagID,RSSI,Phase
14 11 26 2488,tagID,RSSI,Phase
14 11 26 2504,tagID,RSSI,Phase
14 11 26 2521,tagID,RSSI,Phase
14 11 26 2538,tagID,RSSI,Phase
14 11 26 2554,tagID,RSSI,Phase
14 11 26 2571,tagID,RSSI,Phase
14 11 26 2588,tagID,RSSI,Phase
14 11 26 2604,tagID,RSSI,Phase
14 11 26 2621,tagID,RSSI,Phase
14 11 26 2637,tagID,RSSI,Phase
14 11 26 2655,tagID,RSSI,Phase
14 11 26 2670,tagID,RSSI,Phase
14 11 26 2688,tagID,RSSI,Phase
14 11 26 2704,tagID,RSSI,Phase
14 11 26 2721,tagID,RSSI,Phase
14 11 26 2738,tagID,RSSI,Phase
14 11 26 2754,tagID,RSSI,Phase
14 11 26 2771,tagID,RSSI,Phase
14 11 26 2787,tagID,RSSI,Phase
14 11 26 2804,tagID,RSSI,Phase
14 11 26 2821,tagID,RSSI,Phase
14 11 26 2838,tagID,RSSI,Phase
14 11 26 2854,tagID,RSSI,Phase
14 11 26 2870,tagID,RSSI,Phase
14 11 26 2887,tagID,RSSI,Phase
14 11 26 2903,tagID,RSSI,Phase
14 11 26 2921,tagID,RSSI,Phase
14 11 26 2936,tagID,RSSI,Phase
14 11 26 2954,tagID,RSSI,Phase
14 11 26 2971,tagID,RSSI,Phase
14 11 26 2988,tagID,RSSI,Phase
14 11 26 3004,tagID,RSSI,Phase
14 11 26 3021,tagID,RSSI,Phase
14 11 26 3037,tagID,RSSI,Phase
14 11 26 3054,tagID,RSSI,Phase
14 11 27 3072,tagID,RSSI,Phase
14 11 27 3088,tagID,RSSI,Phase
14 11 27 3104,tagID,RSSI,Phase
14 11 27 3121,tagID,RSSI,Phase
14 11 27 3136,tagID,RSSI,Phase
14 11 27 3155,tagID,RSSI,Phase
14 11 27 3170,tagID,RSSI,Phase
14 11 27 3188,tagID,RSSI,Phase
14 11 27 3204,tagID,RSSI,Phase
14 11 27 3220,tagID,RSSI,Phase
14 11 27 3237,tagID,RSSI,Phase
14 11 27 3254,tagID,RSSI,Phase
14 11 27 3270,tagID,RSSI,Phase
14 11 27 3287,tagID,RSSI,Phase
14 11 27 3305,tagID,RSSI,Phase
14 11 27 3320,tagID,RSSI,Phase
14 11 27 3337,tagID,RSSI,Phase
14 11 27 3353,tagID,RSSI,Phase
14 11 27 3370,tagID,RSSI,Phase
14 11 27 3387,tagID,RSSI,Phase
14 11 27 3404,tagID,RSSI,Phase
14 11 27 3421,tagID,RSSI,Phase
14 11 27 3436,tagID,RSSI,Phase
14 11 27 3454,tagID,RSSI,Phase
14 11 27 3470,tagID,RSSI,Phase
