time,id,RSSI,phase
16 31 51 44332,e2001d8712171320c120,-53,"171
"
16 31 51 44349,e2001d8712171320c120,-55,"168
"
16 31 51 44365,e2001d8712401320d4a0,-52,"174
"
16 31 51 44365,e2001d8712401320d4a0,-52,"174
"
16 31 51 44416,e2001d8712401320d4a0,-52,"174
"
16 31 51 44433,e2001d8712401320d4a0,-53,"174
"
16 31 51 44448,e2001d8712171320c120,-55,"174
"
16 31 51 44448,e2001d8712171320c120,-55,"174
"
16 31 51 44448,e2001d8712171320c120,-55,"174
"
16 31 51 44448,e2001d8712171320c120,-55,"174
"
16 31 51 44516,e2001d8712401320d4a0,-52,"174
"
16 31 51 44532,e2001d8712171320c120,-53,"174
"
16 31 51 44565,e2001d8712401320d4a0,-52,"165
"
16 31 51 44582,e2001d8712171320c120,-55,"171
"
16 31 51 44616,e2001d8712401320d4a0,-52,"174
"
16 31 51 44633,e2001d8712171320c120,-53,"174
"
16 31 51 44649,e2001d8712401320d4a0,-52,"174
"
16 31 51 44666,e2001d8712171320c120,-53,"174
"
16 31 51 44682,e2001d8712401320d4a0,-52,"174
"
16 31 52 44699,e2001d8712171320c120,-55,"174
"
16 31 52 44715,e2001d8712401320d4a0,-52,"174
"
16 31 52 44732,e2001d8712171320c120,-55,"174
"
16 31 52 44749,e2001d8712401320d4a0,-52,"168
"
16 31 52 44765,e2001d8712171320c120,-55,"171
"
16 31 52 44765,e2001d8712171320c120,-55,"171
"
16 31 52 44765,e2001d8712171320c120,-55,"171
"
16 31 52 44816,e2001d8712171320c120,-55,"171
"
16 31 52 44833,e2001d8712401320d4a0,-52,"174
"
16 31 52 44849,e2001d8712401320d4a0,-52,"171
"
16 31 52 44866,e2001d8712171320c120,-55,"174
"
16 31 52 44882,e2001d8712401320d4a0,-52,"171
"
16 31 52 44899,e2001d8712171320c120,-55,"174
"
16 31 52 44899,e2001d8712171320c120,-55,"174
"
16 31 52 44899,e2001d8712171320c120,-55,"174
"
16 31 52 44948,e2001d8712171320c120,-55,"171
"
16 31 52 44964,e2001d8712401320d4a0,-51,"171
"
16 31 52 44982,e2001d8712171320c120,-53,"174
"
16 31 52 45015,e2001d8712401320d4a0,-52,"174
"
16 31 52 45033,e2001d8712171320c120,-53,"171
"
16 31 52 45066,e2001d8712171320c120,-53,"174
"
16 31 52 45083,e2001d8712401320d4a0,-52,"174
"
16 31 52 45099,e2001d8712171320c120,-52,"171
"
16 31 52 45132,e2001d8712401320d4a0,-52,"174
"
16 31 52 45149,e2001d8712171320c120,-53,"171
"
16 31 52 45165,e2001d8712401320d4a0,-52,"174
"
16 31 52 45182,e2001d8712171320c120,-55,"174
"
16 31 52 45182,e2001d8712171320c120,-55,"174
"
16 31 52 45216,e2001d8712401320d4a0,-52,"171
"
16 31 52 45231,e2001d8712171320c120,-55,"171
"
16 31 52 45249,e2001d8712401320d4a0,-52,"171
"
16 31 52 45265,e2001d8712171320c120,-55,"171
"
16 31 52 45265,e2001d8712171320c120,-55,"171
"
16 31 52 45299,e2001d8712171320c120,-53,"171
"
16 31 52 45314,e2001d8712401320d4a0,-52,"174
"
16 31 52 45314,e2001d8712401320d4a0,-52,"174
"
16 31 52 45349,e2001d8712171320c120,-55,"171
"
16 31 52 45366,e2001d8712401320d4a0,-51,"174
"
16 31 52 45399,e2001d8712171320c120,-55,"171
"
16 31 52 45415,e2001d8712401320d4a0,-52,"174
"
16 31 52 45432,e2001d8712401320d4a0,-52,"171
"
16 31 52 45449,e2001d8712171320c120,-53,"174
"
16 31 52 45465,e2001d8712401320d4a0,-51,"171
"
16 31 52 45482,e2001d8712171320c120,-55,"171
"
16 31 52 45499,e2001d8712401320d4a0,-51,"171
"
16 31 52 45516,e2001d8712171320c120,-55,"171
"
16 31 52 45516,e2001d8712171320c120,-55,"171
"
16 31 52 45549,e2001d8712171320c120,-55,"171
"
16 31 52 45566,e2001d8712401320d4a0,-51,"174
"
16 31 52 45566,e2001d8712401320d4a0,-51,"174
"
16 31 52 45599,e2001d8712171320c120,-55,"171
"
16 31 52 45615,e2001d8712401320d4a0,-51,"174
"
16 31 52 45666,e2001d8712171320c120,-55,"174
"
16 31 52 45682,e2001d8712171320c120,-55,"174
"
16 31 53 45699,e2001d8712401320d4a0,-51,"174
"
16 31 53 45699,e2001d8712401320d4a0,-51,"174
"
16 31 53 45733,e2001d8712171320c120,-55,"168
"
16 31 53 45749,e2001d8712401320d4a0,-51,"171
"
16 31 53 45766,e2001d8712401320d4a0,-51,"174
"
16 31 53 45783,e2001d8712171320c120,-55,"168
"
16 31 53 45783,e2001d8712171320c120,-55,"168
"
16 31 53 45816,e2001d8712401320d4a0,-51,"174
"
16 31 53 45832,e2001d8712171320c120,-55,"174
"
16 31 53 45849,e2001d8712401320d4a0,-51,"171
"
16 31 53 45866,e2001d8712171320c120,-53,"174
"
16 31 53 45866,e2001d8712171320c120,-53,"174
"
16 31 53 45899,e2001d8712171320c120,-55,"168
"
16 31 53 45916,e2001d8712401320d4a0,-51,"174
"
16 31 53 45933,e2001d8712401320d4a0,-51,"171
"
16 31 53 45949,e2001d8712171320c120,-55,"174
"
16 31 53 45966,e2001d8712401320d4a0,-52,"171
"
16 31 53 45966,e2001d8712401320d4a0,-52,"171
"
16 31 53 45999,e2001d8712171320c120,-55,"171
"
16 31 53 46016,e2001d8712171320c120,-55,"171
"
16 31 53 46033,e2001d8712401320d4a0,-52,"174
"
16 31 53 46049,e2001d8712401320d4a0,-52,"174
"
16 31 53 46083,e2001d8712171320c120,-55,"171
"
16 31 53 46083,e2001d8712171320c120,-55,"171
"
16 31 53 46115,e2001d8712401320d4a0,-52,"174
"
16 31 53 46132,e2001d8712171320c120,-55,"174
"
16 31 53 46132,e2001d8712171320c120,-55,"174
"
16 31 53 46132,e2001d8712171320c120,-55,"174
"
16 31 53 46182,e2001d8712401320d4a0,-52,"168
"
16 31 53 46199,e2001d8712171320c120,-55,"174
"
16 31 53 46199,e2001d8712171320c120,-55,"174
"
16 31 53 46233,e2001d8712401320d4a0,-52,"171
"
16 31 53 46248,e2001d8712171320c120,-55,"171
"
16 31 53 46265,e2001d8712401320d4a0,-52,"174
"
16 31 53 46282,e2001d8712171320c120,-55,"171
"
16 31 53 46299,e2001d8712171320c120,-56,"174
"
16 31 53 46316,e2001d8712401320d4a0,-52,"171
"
16 31 53 46333,e2001d8712171320c120,-55,"174
"
16 31 53 46349,e2001d8712401320d4a0,-50,"174
"
16 31 53 46366,e2001d8712171320c120,-55,"168
"
16 31 53 46399,e2001d8712171320c120,-56,"171
"
16 31 53 46415,e2001d8712401320d4a0,-51,"171
"
16 31 53 46433,e2001d8712171320c120,-55,"174
"
16 31 53 46449,e2001d8712401320d4a0,-50,"168
"
16 31 53 46466,e2001d8712401320d4a0,-51,"171
"
16 31 53 46482,e2001d8712171320c120,-55,"174
"
16 31 53 46482,e2001d8712171320c120,-55,"174
"
16 31 53 46516,e2001d8712171320c120,-55,"174
"
16 31 53 46532,e2001d8712401320d4a0,-51,"171
"
16 31 53 46532,e2001d8712401320d4a0,-51,"171
"
16 31 53 46566,e2001d8712171320c120,-55,"168
"
16 31 53 46583,e2001d8712401320d4a0,-51,"171
"
16 31 53 46616,e2001d8712401320d4a0,-51,"174
"
16 31 53 46632,e2001d8712171320c120,-55,"174
"
16 31 53 46649,e2001d8712171320c120,-55,"171
"
16 31 53 46666,e2001d8712401320d4a0,-51,"171
"
16 31 53 46682,e2001d8712401320d4a0,-51,"171
"
