time,id,RSSI,phase
,,,
,,,
16 31 19 11764,e2001d8712461320db93,-57,"174
"
16 31 19 11764,e2001d8712461320db93,-57,"174
"
16 31 19 11797,e2001d8712461320db93,-58,"171
"
16 31 19 11831,e2001d8712401320d4a0,-51,"171
"
16 31 19 11848,e2001d8712401320d4a0,-50,"171
"
16 31 19 11863,e2001d8712401320d4a0,-51,"174
"
16 31 19 11863,e2001d8712401320d4a0,-51,"174
"
16 31 19 11897,e2001d8712401320d4a0,-51,"174
"
16 31 19 11897,e2001d8712401320d4a0,-51,"174
"
16 31 19 11931,e2001d8712401320d4a0,-50,"174
"
16 31 19 11931,e2001d8712401320d4a0,-50,"174
"
16 31 19 11931,e2001d8712401320d4a0,-50,"174
"
16 31 19 11931,e2001d8712401320d4a0,-50,"174
"
16 31 19 11931,e2001d8712401320d4a0,-50,"174
"
16 31 19 12015,e2001d8712401320d4a0,-51,"168
"
16 31 19 12015,e2001d8712401320d4a0,-51,"168
"
16 31 19 12047,e2001d8712461320db93,-58,"171
"
16 31 19 12047,e2001d8712461320db93,-58,"171
"
16 31 19 12080,e2001d8712401320d4a0,-50,"174
"
16 31 19 12097,e2001d8712461320db93,-58,"171
"
16 31 19 12097,e2001d8712461320db93,-58,"171
"
16 31 19 12131,e2001d8712401320d4a0,-51,"171
"
16 31 19 12131,e2001d8712401320d4a0,-51,"171
"
16 31 19 12131,e2001d8712401320d4a0,-51,"171
"
16 31 19 12181,e2001d8712461320db93,-57,"177
"
16 31 19 12198,e2001d8712401320d4a0,-49,"174
"
16 31 19 12214,e2001d8712401320d4a0,-50,"174
"
16 31 19 12231,e2001d8712461320db93,-57,"168
"
16 31 19 12231,e2001d8712461320db93,-57,"168
"
16 31 19 12265,e2001d8712401320d4a0,-50,"174
"
16 31 19 12281,e2001d8712461320db93,-57,"171
"
16 31 19 12281,e2001d8712461320db93,-57,"171
"
16 31 19 12314,e2001d8712401320d4a0,-51,"174
"
16 31 19 12331,e2001d8712461320db93,-56,"168
"
16 31 19 12331,e2001d8712461320db93,-56,"168
"
16 31 19 12364,e2001d8712401320d4a0,-51,"174
"
16 31 19 12398,e2001d8712461320db93,-55,"168
"
16 31 19 12398,e2001d8712461320db93,-55,"168
"
16 31 19 12431,e2001d8712401320d4a0,-51,"174
"
16 31 19 12448,e2001d8712461320db93,-55,"174
"
16 31 19 12465,e2001d8712401320d4a0,-51,"174
"
16 31 19 12481,e2001d8712461320db93,-55,"171
"
16 31 19 12481,e2001d8712461320db93,-55,"171
"
16 31 19 12514,e2001d8712401320d4a0,-51,"168
"
16 31 19 12514,e2001d8712401320d4a0,-51,"168
"
16 31 19 12548,e2001d8712401320d4a0,-51,"177
"
16 31 19 12564,e2001d8712461320db93,-52,"174
"
16 31 19 12598,e2001d8712401320d4a0,-51,"177
"
16 31 19 12614,e2001d8712461320db93,-53,"171
"
16 31 19 12614,e2001d8712461320db93,-53,"171
"
16 31 19 12648,e2001d8712401320d4a0,-51,"171
"
16 31 19 12665,e2001d8712461320db93,-53,"171
"
16 31 19 12681,e2001d8712461320db93,-55,"174
"
16 31 20 12698,e2001d8712401320d4a0,-51,"174
"
