time,id,RSSI,phase
16 55 11 57547,e2001d8712461320db93,-55,"171
"
16 55 11 57547,e2001d8712461320db93,-55,"171
"
16 55 11 57547,e2001d8712461320db93,-55,"171
"
16 55 11 57594,e2001d8712171320c120,-53,"174
"
16 55 11 57613,e2001d8712401320d4a0,-47,"174
"
16 55 11 57647,e2001d8712401320d4a0,-49,"174
"
16 55 11 57680,e2001d8712401320d4a0,-47,"171
"
16 55 11 57695,e2001d8712461320db93,-55,"174
"
16 55 11 57731,e2001d8712401320d4a0,-47,"171
"
16 55 11 57747,e2001d8712461320db93,-55,"174
"
16 55 11 57747,e2001d8712461320db93,-55,"174
"
16 55 11 57780,e2001d8712171320c120,-53,"177
"
16 55 11 57797,e2001d8712461320db93,-55,"171
"
16 55 11 57864,e2001d8712171320c120,-55,"171
"
16 55 11 57864,e2001d8712171320c120,-55,"171
"
16 55 12 57897,e2001d8712171320c120,-53,"165
"
16 55 12 57947,e2001d8712401320d4a0,-47,"168
"
16 55 12 57964,e2001d8712171320c120,-52,"174
"
16 55 12 57997,e2001d8712401320d4a0,-49,"174
"
16 55 12 58013,e2001d8712461320db93,-55,"171
"
16 55 12 58030,e2001d8712171320c120,-55,"174
"
16 55 12 58080,e2001d8712401320d4a0,-47,"174
"
16 55 12 58113,e2001d8712171320c120,-55,"171
"
16 55 12 58130,e2001d8712461320db93,-56,"174
"
16 55 12 58147,e2001d8712401320d4a0,-49,"171
"
16 55 12 58164,e2001d8712171320c120,-55,"174
"
16 55 12 58180,e2001d8712461320db93,-57,"168
"
16 55 12 58180,e2001d8712461320db93,-57,"168
"
16 55 12 58180,e2001d8712461320db93,-57,"168
"
16 55 12 58230,e2001d8712401320d4a0,-47,"174
"
16 55 12 58247,e2001d8712171320c120,-55,"174
"
16 55 12 58297,e2001d8712461320db93,-55,"177
"
16 55 12 58314,e2001d8712401320d4a0,-49,"174
"
16 55 12 58347,e2001d8712461320db93,-55,"174
"
16 55 12 58363,e2001d8712171320c120,-53,"174
"
16 55 12 58363,e2001d8712171320c120,-53,"174
"
16 55 12 58396,e2001d8712461320db93,-55,"168
"
16 55 12 58414,e2001d8712171320c120,-52,"174
"
16 55 12 58463,e2001d8712461320db93,-56,"177
"
16 55 12 58480,e2001d8712171320c120,-53,"174
"
16 55 12 58531,e2001d8712461320db93,-55,"171
"
16 55 12 58547,e2001d8712401320d4a0,-49,"174
"
16 55 12 58580,e2001d8712171320c120,-55,"171
"
16 55 12 58597,e2001d8712461320db93,-55,"174
"
16 55 12 58597,e2001d8712461320db93,-55,"174
"
16 55 12 58631,e2001d8712401320d4a0,-49,"171
"
16 55 12 58647,e2001d8712461320db93,-56,"174
"
16 55 12 58681,e2001d8712401320d4a0,-49,"174
"
16 55 12 58697,e2001d8712461320db93,-56,"174
"
16 55 12 58713,e2001d8712401320d4a0,-49,"174
"
16 55 12 58730,e2001d8712461320db93,-56,"171
"
16 55 12 58747,e2001d8712171320c120,-55,"174
"
16 55 12 58747,e2001d8712171320c120,-55,"174
"
16 55 12 58797,e2001d8712461320db93,-56,"171
"
16 55 12 58814,e2001d8712401320d4a0,-49,"171
"
16 55 12 58864,e2001d8712401320d4a0,-49,"174
"
16 55 12 58880,e2001d8712401320d4a0,-49,"174
"
16 55 13 58914,e2001d8712461320db93,-55,"168
"
16 55 13 58930,e2001d8712171320c120,-52,"168
"
16 55 13 58947,e2001d8712461320db93,-57,"174
"
16 55 13 58964,e2001d8712401320d4a0,-47,"171
"
16 55 13 58980,e2001d8712171320c120,-55,"171
"
16 55 13 58997,e2001d8712401320d4a0,-49,"174
"
16 55 13 59031,e2001d8712461320db93,-56,"168
"
16 55 13 59047,e2001d8712171320c120,-55,"174
"
16 55 13 59063,e2001d8712401320d4a0,-49,"174
"
16 55 13 59081,e2001d8712171320c120,-53,"174
"
