time,id,RSSI,phase
13 59 16 23159,e2001d8712171320c120,-51,"165
"
13 59 16 23175,e2001d871271320b9f,-47,"174
"
13 59 16 23192,e2001d8712171320c120,-55,"174
"
13 59 16 23209,e2001d8712171320c120,-53,"174
"
13 59 16 23226,e2001d871271320b9f,-49,"171
"
13 59 16 23242,e2001d871271320b9f,-49,"174
"
13 59 16 23259,e2001d8712171320c120,-53,"174
"
13 59 16 23259,e2001d8712171320c120,-53,"174
"
13 59 16 23292,e2001d8712171320c120,-53,"174
"
13 59 16 23308,e2001d871271320b9f,-49,"174
"
13 59 16 23325,e2001d871271320b9f,-49,"171
"
13 59 16 23342,e2001d8712171320c120,-55,"174
"
13 59 16 23342,e2001d8712171320c120,-55,"174
"
13 59 16 23392,e2001d871271320b9f,-49,"174
"
13 59 17 23426,e2001d871271320b9f,-50,"171
"
13 59 17 23443,e2001d8712461320db93,-58,"168
"
13 59 17 23476,e2001d871271320b9f,-50,"174
"
13 59 17 23476,e2001d871271320b9f,-50,"174
"
13 59 17 23509,e2001d871271320b9f,-51,"177
"
13 59 17 23525,e2001d8712461320db93,-57,"174
"
13 59 17 23525,e2001d8712461320db93,-57,"174
"
13 59 17 23559,e2001d871271320b9f,-50,"174
"
13 59 17 23559,e2001d871271320b9f,-50,"174
"
13 59 17 23592,e2001d871271320b9f,-50,"171
"
13 59 17 23592,e2001d871271320b9f,-50,"171
"
13 59 17 23642,e2001d871271320b9f,-50,"171
"
13 59 17 23642,e2001d871271320b9f,-50,"171
"
13 59 17 23675,e2001d8712461320db93,-57,"174
"
13 59 17 23691,e2001d871271320b9f,-50,"168
"
13 59 17 23691,e2001d871271320b9f,-50,"168
"
13 59 17 23725,e2001d871271320b9f,-51,"174
"
13 59 17 23725,e2001d871271320b9f,-51,"174
"
13 59 17 23759,e2001d871271320b9f,-51,"171
"
13 59 17 23759,e2001d871271320b9f,-51,"171
"
13 59 17 23792,e2001d871271320b9f,-51,"174
"
13 59 17 23826,e2001d871271320b9f,-51,"171
"
13 59 17 23826,e2001d871271320b9f,-51,"171
"
13 59 17 23859,e2001d871271320b9f,-51,"174
"
13 59 17 23892,e2001d871271320b9f,-51,"171
"
13 59 17 23909,e2001d8712461320db93,-58,"171
"
13 59 17 23909,e2001d8712461320db93,-58,"171
"
13 59 17 23943,e2001d871271320b9f,-51,"171
"
