time,id,RSSI,phase
16 5 40 56987,e2001d8712171320c120,-57,"171
"
16 5 40 57020,e2001d8712401320d4a0,-51,"174
"
16 5 40 57020,e2001d8712401320d4a0,-51,"174
"
16 5 40 57053,e2001d8712171320c120,-57,"174
"
16 5 40 57053,e2001d8712171320c120,-57,"174
"
16 5 40 57087,e2001d8712401320d4a0,-51,"174
"
16 5 40 57103,e2001d8712171320c120,-57,"174
"
16 5 40 57103,e2001d8712171320c120,-57,"174
"
16 5 40 57137,e2001d8712401320d4a0,-51,"171
"
16 5 40 57154,e2001d8712171320c120,-57,"171
"
16 5 40 57154,e2001d8712171320c120,-57,"171
"
16 5 40 57187,e2001d8712171320c120,-56,"174
"
16 5 40 57204,e2001d8712401320d4a0,-51,"174
"
16 5 40 57204,e2001d8712401320d4a0,-51,"174
"
16 5 40 57237,e2001d8712401320d4a0,-51,"174
"
16 5 40 57237,e2001d8712401320d4a0,-51,"174
"
16 5 40 57270,e2001d8712401320d4a0,-51,"174
"
16 5 40 57286,e2001d8712171320c120,-55,"174
"
16 5 40 57303,e2001d8712401320d4a0,-51,"171
"
16 5 40 57320,e2001d8712171320c120,-56,"174
"
16 5 40 57320,e2001d8712171320c120,-56,"174
"
16 5 40 57354,e2001d8712401320d4a0,-51,"171
"
16 5 40 57370,e2001d8712171320c120,-55,"174
"
16 5 40 57370,e2001d8712171320c120,-55,"174
"
16 5 40 57370,e2001d8712171320c120,-55,"174
"
16 5 40 57420,e2001d8712171320c120,-55,"168
"
16 5 40 57436,e2001d8712401320d4a0,-50,"171
"
16 5 40 57454,e2001d8712401320d4a0,-51,"171
"
16 5 40 57470,e2001d8712171320c120,-55,"171
"
16 5 40 57486,e2001d8712401320d4a0,-51,"171
"
16 5 40 57486,e2001d8712401320d4a0,-51,"171
"
16 5 40 57520,e2001d8712171320c120,-55,"174
"
16 5 40 57520,e2001d8712171320c120,-55,"174
"
16 5 41 57554,e2001d8712401320d4a0,-51,"171
"
16 5 41 57570,e2001d8712171320c120,-55,"174
"
16 5 41 57570,e2001d8712171320c120,-55,"174
"
16 5 41 57603,e2001d8712401320d4a0,-51,"168
"
16 5 41 57637,e2001d8712401320d4a0,-51,"171
"
16 5 41 57653,e2001d8712171320c120,-53,"171
"
16 5 41 57670,e2001d8712171320c120,-55,"171
"
16 5 41 57687,e2001d8712401320d4a0,-50,"171
"
16 5 41 57704,e2001d8712171320c120,-56,"168
"
16 5 41 57720,e2001d8712401320d4a0,-51,"168
"
16 5 41 57737,e2001d8712401320d4a0,-51,"174
"
16 5 41 57753,e2001d8712171320c120,-57,"174
"
16 5 41 57753,e2001d8712171320c120,-57,"174
"
16 5 41 57803,e2001d8712171320c120,-56,"171
"
16 5 41 57820,e2001d8712401320d4a0,-51,"171
"
16 5 41 57820,e2001d8712401320d4a0,-51,"171
"
16 5 41 57853,e2001d8712401320d4a0,-51,"174
"
16 5 41 57870,e2001d8712171320c120,-55,"174
"
16 5 41 57903,e2001d8712401320d4a0,-51,"177
"
16 5 41 57920,e2001d8712171320c120,-57,"168
"
16 5 41 57936,e2001d8712401320d4a0,-51,"171
"
16 5 41 57953,e2001d8712171320c120,-57,"171
"
16 5 41 57987,e2001d8712171320c120,-56,"174
"
16 5 41 58004,e2001d8712401320d4a0,-51,"174
"
16 5 41 58020,e2001d8712171320c120,-56,"174
"
16 5 41 58037,e2001d8712401320d4a0,-51,"174
"
16 5 41 58037,e2001d8712401320d4a0,-51,"174
"
16 5 41 58071,e2001d8712171320c120,-57,"174
"
16 5 41 58087,e2001d8712401320d4a0,-49,"174
"
16 5 41 58104,e2001d8712171320c120,-57,"174
"
16 5 41 58120,e2001d8712401320d4a0,-51,"171
"
16 5 41 58137,e2001d8712401320d4a0,-51,"171
"
16 5 41 58153,e2001d8712171320c120,-57,"171
"
16 5 41 58153,e2001d8712171320c120,-57,"171
"
16 5 41 58186,e2001d8712401320d4a0,-51,"171
"
16 5 41 58186,e2001d8712401320d4a0,-51,"171
"
16 5 41 58220,e2001d8712171320c120,-57,"171
"
16 5 41 58237,e2001d8712401320d4a0,-51,"168
"
16 5 41 58237,e2001d8712401320d4a0,-51,"168
"
16 5 41 58270,e2001d871271320b9f,-57,"171
"
16 5 41 58287,e2001d8712401320d4a0,-51,"171
"
16 5 41 58303,e2001d8712171320c120,-57,"174
"
16 5 41 58319,e2001d8712171320c120,-57,"171
"
16 5 41 58319,e2001d8712171320c120,-57,"171
"
16 5 41 58353,e2001d871271320b9f,-57,"171
"
16 5 41 58370,e2001d8712401320d4a0,-51,"174
"
16 5 41 58385,e2001d8712401320d4a0,-51,"174
"
16 5 41 58420,e2001d871271320b9f,-58,"168
"
16 5 41 58436,e2001d8712171320c120,-57,"174
"
16 5 41 58453,e2001d8712401320d4a0,-51,"174
"
16 5 41 58470,e2001d871271320b9f,-57,"174
"
16 5 41 58486,e2001d8712171320c120,-57,"171
"
16 5 41 58503,e2001d8712401320d4a0,-51,"174
"
16 5 41 58520,e2001d871271320b9f,-57,"171
"
16 5 41 58520,e2001d871271320b9f,-57,"171
"
16 5 41 58520,e2001d871271320b9f,-57,"171
"
16 5 42 58570,e2001d8712171320c120,-58,"174
"
16 5 42 58586,e2001d8712401320d4a0,-51,"171
"
16 5 42 58602,e2001d871271320b9f,-57,"168
"
16 5 42 58620,e2001d8712171320c120,-57,"174
"
16 5 42 58636,e2001d8712401320d4a0,-52,"171
"
16 5 42 58652,e2001d871271320b9f,-56,"174
"
16 5 42 58670,e2001d8712171320c120,-58,"163
"
