time,id,RSSI,phase
,,,
,,,
16 6 44 6899,e2001d8712461320db93,-55,"171
"
16 6 44 6899,e2001d8712461320db93,-55,"171
"
16 6 44 6899,e2001d8712461320db93,-55,"171
"
16 6 44 6947,e2001d8712461320db93,-55,"168
"
16 6 44 6966,e2001d8712401320d4a0,-52,"174
"
16 6 44 6982,e2001d8712461320db93,-55,"174
"
16 6 44 6999,e2001d8712401320d4a0,-52,"174
"
16 6 44 6999,e2001d8712401320d4a0,-52,"174
"
16 6 44 7032,e2001d8712401320d4a0,-52,"174
"
16 6 44 7049,e2001d8712461320db93,-53,"168
"
16 6 44 7065,e2001d8712461320db93,-55,"171
"
16 6 44 7082,e2001d8712401320d4a0,-52,"171
"
16 6 44 7098,e2001d8712401320d4a0,-52,"171
"
16 6 44 7098,e2001d8712401320d4a0,-52,"171
"
16 6 45 7131,e2001d8712461320db93,-55,"171
"
16 6 45 7148,e2001d8712401320d4a0,-52,"174
"
16 6 45 7164,e2001d8712461320db93,-57,"171
"
16 6 45 7164,e2001d8712461320db93,-57,"171
"
16 6 45 7199,e2001d8712401320d4a0,-52,"174
"
16 6 45 7215,e2001d8712461320db93,-57,"171
"
16 6 45 7231,e2001d8712401320d4a0,-52,"174
"
16 6 45 7231,e2001d8712401320d4a0,-52,"174
"
16 6 45 7231,e2001d8712401320d4a0,-52,"174
"
16 6 45 7280,e2001d8712401320d4a0,-52,"171
"
16 6 45 7298,e2001d8712461320db93,-58,"168
"
16 6 45 7298,e2001d8712461320db93,-58,"168
"
16 6 45 7331,e2001d8712401320d4a0,-52,"171
"
16 6 45 7331,e2001d8712401320d4a0,-52,"171
"
16 6 45 7331,e2001d8712401320d4a0,-52,"171
"
16 6 45 7382,e2001d8712461320db93,-58,"171
"
16 6 45 7415,e2001d8712401320d4a0,-51,"174
"
16 6 45 7431,e2001d8712401320d4a0,-51,"171
"
16 6 45 7447,e2001d8712461320db93,-58,"165
"
16 6 45 7447,e2001d8712461320db93,-58,"165
"
16 6 45 7481,e2001d8712401320d4a0,-51,"174
"
16 6 45 7515,e2001d8712171320c120,-57,"168
"
16 6 45 7515,e2001d8712171320c120,-57,"168
"
16 6 45 7515,e2001d8712171320c120,-57,"168
"
16 6 45 7581,e2001d8712461320db93,-59,"171
"
16 6 45 7598,e2001d8712401320d4a0,-50,"171
"
16 6 45 7615,e2001d8712171320c120,-57,"174
"
16 6 45 7631,e2001d8712401320d4a0,-50,"171
"
16 6 45 7631,e2001d8712401320d4a0,-50,"171
"
16 6 45 7665,e2001d8712171320c120,-57,"171
"
16 6 45 7665,e2001d8712171320c120,-57,"171
"
16 6 45 7698,e2001d8712401320d4a0,-49,"171
"
16 6 45 7715,e2001d8712171320c120,-58,"171
"
16 6 45 7715,e2001d8712171320c120,-58,"171
"
16 6 45 7748,e2001d8712401320d4a0,-49,"171
"
16 6 45 7748,e2001d8712401320d4a0,-49,"171
"
16 6 45 7781,e2001d8712401320d4a0,-49,"171
"
16 6 45 7781,e2001d8712401320d4a0,-49,"171
"
16 6 45 7814,e2001d8712171320c120,-58,"174
"
16 6 45 7832,e2001d8712401320d4a0,-49,"171
"
