time,id,RSSI,phase
9 25 28 61258,e2001d8712171320c120,-55,"174
"
9 25 28 61258,e2001d8712171320c120,-55,"174
"
9 25 28 61292,e2001d871271320b9f,-58,"0
"
9 25 28 61308,e2001d8712401320d4a0,-51,"174
"
9 25 28 61308,e2001d8712401320d4a0,-51,"174
"
9 25 28 61342,e2001d8712171320c120,-55,"168
"
9 25 28 61359,e2001d8712401320d4a0,-51,"174
"
9 25 28 61392,e2001d8712171320c120,-55,"168
"
9 25 28 61409,e2001d8712401320d4a0,-51,"171
"
9 25 28 61442,e2001d8712401320d4a0,-51,"174
"
9 25 28 61458,e2001d8712171320c120,-55,"171
"
9 25 28 61475,e2001d8712171320c120,-55,"174
"
9 25 28 61492,e2001d8712401320d4a0,-51,"171
"
9 25 28 61509,e2001d8712401320d4a0,-51,"171
"
9 25 28 61525,e2001d8712171320c120,-55,"168
"
9 25 28 61541,e2001d8712461320db93,-57,"171
"
9 25 28 61558,e2001d8712461320db93,-59,"177
"
9 25 28 61591,e2001d8712171320c120,-55,"168
"
9 25 28 61608,e2001d8712401320d4a0,-51,"174
"
9 25 28 61625,e2001d8712401320d4a0,-51,"174
"
9 25 28 61641,e2001d8712171320c120,-55,"168
"
9 25 28 61657,e2001d8712461320db93,-58,"171
"
9 25 28 61692,e2001d8712401320d4a0,-52,"174
"
9 25 28 61709,e2001d8712171320c120,-52,"174
"
9 25 28 61709,e2001d8712171320c120,-52,"174
"
9 25 28 61742,e2001d8712401320d4a0,-52,"171
"
9 25 28 61759,e2001d8712171320c120,-55,"174
"
9 25 28 61774,e2001d8712461320db93,-58,"171
"
9 25 28 61792,e2001d8712461320db93,-58,"174
"
9 25 28 61808,e2001d8712461320db93,-57,"174
"
9 25 28 61825,e2001d8712171320c120,-55,"174
"
9 25 28 61842,e2001d8712401320d4a0,-53,"171
"
9 25 28 61859,e2001d8712171320c120,-55,"171
"
9 25 29 61875,e2001d8712401320d4a0,-53,"168
"
9 25 29 61891,e2001d8712461320db93,-57,"171
"
9 25 29 61891,e2001d8712461320db93,-57,"171
"
9 25 29 61925,e2001d8712401320d4a0,-52,"174
"
9 25 29 61925,e2001d8712401320d4a0,-52,"174
"
9 25 29 61958,e2001d8712461320db93,-58,"171
"
9 25 29 61975,e2001d8712171320c120,-55,"174
"
9 25 29 61992,e2001d8712401320d4a0,-53,"174
"
9 25 29 62008,e2001d8712461320db93,-58,"168
"
9 25 29 62025,e2001d8712171320c120,-55,"174
"
9 25 29 62042,e2001d8712401320d4a0,-53,"174
"
9 25 29 62058,e2001d8712461320db93,-58,"174
"
9 25 29 62075,e2001d8712171320c120,-55,"174
"
9 25 29 62075,e2001d8712171320c120,-55,"174
"
9 25 29 62075,e2001d8712171320c120,-55,"174
"
9 25 29 62125,e2001d8712171320c120,-55,"171
"
9 25 29 62142,e2001d8712401320d4a0,-52,"171
"
9 25 29 62159,e2001d8712401320d4a0,-53,"174
"
9 25 29 62176,e2001d8712171320c120,-55,"171
"
9 25 29 62191,e2001d8712401320d4a0,-51,"174
"
9 25 29 62208,e2001d871271320b9f,-58,"171
"
9 25 29 62225,e2001d8712401320d4a0,-51,"174
"
9 25 29 62240,e2001d8712171320c120,-53,"174
"
9 25 29 62275,e2001d871271320b9f,-57,"171
"
9 25 29 62275,e2001d871271320b9f,-57,"171
"
9 25 29 62308,e2001d871271320b9f,-58,"171
"
9 25 29 62325,e2001d8712401320d4a0,-51,"171
"
9 25 29 62358,e2001d8712401320d4a0,-51,"174
"
9 25 29 62358,e2001d8712401320d4a0,-51,"174
"
9 25 29 62392,e2001d871271320b9f,-58,"171
"
9 25 29 62425,e2001d8712401320d4a0,-52,"174
"
9 25 29 62442,e2001d8712171320c120,-53,"174
"
9 25 29 62459,e2001d8712171320c120,-55,"171
"
9 25 29 62475,e2001d8712401320d4a0,-51,"174
"
9 25 29 62491,e2001d8712171320c120,-53,"174
"
9 25 29 62508,e2001d8712401320d4a0,-52,"171
"
9 25 29 62525,e2001d8712401320d4a0,-52,"174
"
9 25 29 62541,e2001d8712171320c120,-52,"174
"
9 25 29 62558,e2001d8712401320d4a0,-51,"171
"
9 25 29 62592,e2001d8712171320c120,-55,"171
"
9 25 29 62625,e2001d8712171320c120,-55,"171
"
9 25 29 62641,e2001d8712401320d4a0,-51,"171
"
9 25 29 62641,e2001d8712401320d4a0,-51,"171
"
9 25 29 62675,e2001d8712171320c120,-55,"174
"
9 25 29 62692,e2001d8712401320d4a0,-51,"174
"
9 25 29 62708,e2001d8712401320d4a0,-51,"171
"
9 25 29 62725,e2001d8712171320c120,-55,"174
"
9 25 29 62725,e2001d8712171320c120,-55,"174
"
9 25 29 62725,e2001d8712171320c120,-55,"174
"
9 25 29 62775,e2001d8712171320c120,-55,"174
"
9 25 29 62792,e2001d8712401320d4a0,-51,"174
"
9 25 29 62808,e2001d8712171320c120,-55,"171
"
9 25 29 62824,e2001d8712401320d4a0,-55,"174
"
9 25 29 62842,e2001d8712461320db93,-58,"171
"
9 25 29 62859,e2001d8712401320d4a0,-53,"174
"
9 25 30 62875,e2001d8712461320db93,-56,"171
"
9 25 30 62892,e2001d8712171320c120,-56,"171
"
9 25 30 62925,e2001d8712171320c120,-55,"171
"
9 25 30 62942,e2001d8712461320db93,-58,"171
"
9 25 30 62959,e2001d8712401320d4a0,-53,"174
"
9 25 30 62959,e2001d8712401320d4a0,-53,"174
"
9 25 30 62992,e2001d8712171320c120,-55,"174
"
9 25 30 63008,e2001d8712401320d4a0,-53,"171
"
9 25 30 63024,e2001d8712461320db93,-58,"174
"
