time,id,RSSI,phase
9 25 8 40991,e2001d8712461320db93,-52,"174
"
9 25 8 40991,e2001d8712461320db93,-52,"174
"
9 25 8 41024,e2001d8712171320c120,-55,"165
"
9 25 8 41041,e2001d8712401320d4a0,-51,"174
"
9 25 8 41058,e2001d8712461320db93,-53,"174
"
9 25 8 41058,e2001d8712461320db93,-53,"174
"
9 25 8 41091,e2001d8712171320c120,-55,"168
"
9 25 8 41091,e2001d8712171320c120,-55,"168
"
9 25 8 41124,e2001d8712401320d4a0,-51,"171
"
9 25 8 41174,e2001d8712171320c120,-56,"174
"
9 25 8 41191,e2001d8712401320d4a0,-51,"174
"
9 25 8 41241,e2001d8712171320c120,-56,"174
"
9 25 8 41257,e2001d8712461320db93,-52,"174
"
9 25 8 41274,e2001d8712171320c120,-56,"171
"
9 25 8 41274,e2001d8712171320c120,-56,"171
"
9 25 8 41308,e2001d8712461320db93,-52,"174
"
9 25 8 41324,e2001d8712401320d4a0,-52,"174
"
9 25 8 41341,e2001d8712171320c120,-56,"177
"
9 25 8 41358,e2001d8712401320d4a0,-52,"174
"
9 25 8 41374,e2001d8712461320db93,-52,"174
"
9 25 8 41408,e2001d8712461320db93,-53,"171
"
9 25 8 41425,e2001d8712401320d4a0,-51,"174
"
9 25 8 41440,e2001d8712171320c120,-55,"174
"
9 25 8 41457,e2001d8712171320c120,-55,"171
"
9 25 8 41474,e2001d8712461320db93,-53,"171
"
9 25 8 41491,e2001d8712401320d4a0,-50,"171
"
9 25 8 41507,e2001d8712401320d4a0,-51,"174
"
9 25 8 41524,e2001d8712171320c120,-55,"171
"
9 25 8 41540,e2001d8712461320db93,-53,"171
"
9 25 8 41574,e2001d8712461320db93,-52,"174
"
9 25 8 41591,e2001d8712401320d4a0,-51,"171
"
9 25 8 41607,e2001d8712171320c120,-55,"177
"
9 25 8 41623,e2001d8712401320d4a0,-51,"174
"
9 25 8 41640,e2001d8712461320db93,-53,"171
"
9 25 8 41656,e2001d8712171320c120,-55,"171
"
9 25 8 41656,e2001d8712171320c120,-55,"171
"
9 25 8 41656,e2001d8712171320c120,-55,"171
"
9 25 8 41707,e2001d8712461320db93,-52,"171
"
9 25 8 41724,e2001d8712171320c120,-53,"174
"
9 25 8 41758,e2001d8712401320d4a0,-51,"174
"
9 25 8 41774,e2001d8712461320db93,-53,"174
"
9 25 8 41790,e2001d8712171320c120,-53,"174
"
9 25 8 41807,e2001d8712401320d4a0,-51,"171
"
9 25 8 41824,e2001d8712171320c120,-55,"174
"
9 25 8 41840,e2001d8712461320db93,-53,"168
"
9 25 9 41874,e2001d8712171320c120,-55,"174
"
9 25 9 41890,e2001d8712401320d4a0,-51,"174
"
9 25 9 41907,e2001d8712461320db93,-53,"168
"
9 25 9 41923,e2001d8712401320d4a0,-51,"174
"
9 25 9 41940,e2001d8712461320db93,-52,"174
"
9 25 9 41957,e2001d8712171320c120,-55,"174
"
9 25 9 41957,e2001d8712171320c120,-55,"174
"
9 25 9 41991,e2001d8712171320c120,-56,"171
"
9 25 9 41991,e2001d8712171320c120,-56,"171
"
9 25 9 42024,e2001d8712461320db93,-53,"171
"
9 25 9 42040,e2001d8712401320d4a0,-51,"174
"
9 25 9 42057,e2001d8712461320db93,-53,"168
"
9 25 9 42074,e2001d8712401320d4a0,-51,"174
"
9 25 9 42090,e2001d8712171320c120,-55,"174
"
9 25 9 42107,e2001d8712401320d4a0,-52,"171
"
9 25 9 42107,e2001d8712401320d4a0,-52,"171
"
9 25 9 42141,e2001d8712401320d4a0,-52,"171
"
9 25 9 42158,e2001d8712461320db93,-53,"174
"
9 25 9 42174,e2001d8712171320c120,-55,"171
"
9 25 9 42191,e2001d8712401320d4a0,-52,"171
"
9 25 9 42208,e2001d8712461320db93,-53,"171
"
9 25 9 42208,e2001d8712461320db93,-53,"171
"
9 25 9 42241,e2001d8712171320c120,-56,"171
"
9 25 9 42241,e2001d8712171320c120,-56,"171
"
9 25 9 42290,e2001d8712171320c120,-55,"174
"
9 25 9 42307,e2001d8712461320db93,-52,"174
"
9 25 9 42340,e2001d8712171320c120,-55,"174
"
9 25 9 42357,e2001d8712401320d4a0,-52,"171
"
9 25 9 42391,e2001d8712461320db93,-53,"174
"
9 25 9 42408,e2001d8712171320c120,-55,"174
"
9 25 9 42441,e2001d8712461320db93,-52,"171
"
9 25 9 42458,e2001d8712171320c120,-55,"171
"
9 25 9 42491,e2001d8712401320d4a0,-51,"165
"
9 25 9 42507,e2001d8712461320db93,-53,"174
"
9 25 9 42524,e2001d8712171320c120,-53,"171
"
9 25 9 42541,e2001d8712461320db93,-53,"168
"
9 25 9 42558,e2001d8712401320d4a0,-51,"168
"
9 25 9 42575,e2001d8712171320c120,-55,"171
"
9 25 9 42575,e2001d8712171320c120,-55,"171
"
9 25 9 42575,e2001d8712171320c120,-55,"171
"
9 25 9 42624,e2001d8712461320db93,-53,"174
"
9 25 9 42641,e2001d8712401320d4a0,-51,"174
"
9 25 9 42657,e2001d8712171320c120,-55,"174
"
9 25 9 42657,e2001d8712171320c120,-55,"174
"
9 25 9 42707,e2001d8712401320d4a0,-51,"171
"
9 25 9 42724,e2001d8712171320c120,-55,"174
"
9 25 9 42758,e2001d8712461320db93,-53,"171
"
9 25 9 42790,e2001d8712401320d4a0,-51,"171
"
9 25 9 42806,e2001d8712171320c120,-57,"174
"
9 25 9 42840,e2001d8712401320d4a0,-52,"174
"
9 25 9 42858,e2001d8712461320db93,-52,"171
"
9 25 10 42890,e2001d8712401320d4a0,-51,"171
"
9 25 10 42908,e2001d8712171320c120,-55,"171
"
