time,id,RSSI,phase
9 25 33 66325,e2001d8712461320db93,-55,"171
"
9 25 33 66359,e2001d8712171320c120,-55,"2
"
9 25 33 66376,e2001d8712401320d4a0,-49,"171
"
9 25 33 66391,e2001d8712401320d4a0,-50,"171
"
9 25 33 66408,e2001d8712171320c120,-55,"174
"
9 25 33 66442,e2001d8712171320c120,-56,"174
"
9 25 33 66458,e2001d8712401320d4a0,-51,"171
"
9 25 33 66475,e2001d8712461320db93,-53,"168
"
9 25 33 66492,e2001d8712171320c120,-56,"168
"
9 25 33 66509,e2001d8712401320d4a0,-51,"174
"
9 25 33 66524,e2001d8712461320db93,-53,"171
"
9 25 33 66541,e2001d8712401320d4a0,-52,"171
"
9 25 33 66558,e2001d8712171320c120,-56,"174
"
9 25 33 66575,e2001d8712461320db93,-55,"168
"
9 25 33 66575,e2001d8712461320db93,-55,"168
"
9 25 33 66575,e2001d8712461320db93,-55,"168
"
9 25 33 66575,e2001d8712461320db93,-55,"168
"
9 25 33 66642,e2001d8712401320d4a0,-52,"171
"
9 25 33 66658,e2001d8712461320db93,-55,"174
"
9 25 33 66692,e2001d8712401320d4a0,-52,"174
"
9 25 33 66708,e2001d8712171320c120,-55,"177
"
9 25 33 66708,e2001d8712171320c120,-55,"177
"
9 25 33 66742,e2001d8712461320db93,-55,"171
"
9 25 33 66759,e2001d8712401320d4a0,-51,"171
"
9 25 33 66775,e2001d8712171320c120,-56,"174
"
9 25 33 66792,e2001d8712401320d4a0,-51,"174
"
9 25 33 66809,e2001d8712401320d4a0,-51,"171
"
9 25 33 66842,e2001d8712171320c120,-55,"171
"
9 25 33 66859,e2001d8712461320db93,-53,"171
"
9 25 34 66876,e2001d8712401320d4a0,-51,"174
"
9 25 34 66891,e2001d8712461320db93,-55,"171
"
9 25 34 66908,e2001d8712171320c120,-55,"174
"
9 25 34 66908,e2001d8712171320c120,-55,"174
"
9 25 34 66942,e2001d8712461320db93,-55,"174
"
9 25 34 66959,e2001d8712171320c120,-55,"168
"
9 25 34 66976,e2001d8712401320d4a0,-51,"171
"
9 25 34 66992,e2001d8712461320db93,-55,"171
"
9 25 34 66992,e2001d8712461320db93,-55,"171
"
9 25 34 67025,e2001d8712401320d4a0,-51,"174
"
9 25 34 67041,e2001d8712171320c120,-53,"174
"
9 25 34 67058,e2001d8712401320d4a0,-51,"168
"
9 25 34 67075,e2001d8712461320db93,-55,"171
"
9 25 34 67092,e2001d8712171320c120,-55,"171
"
9 25 34 67092,e2001d8712171320c120,-55,"171
"
9 25 34 67126,e2001d8712171320c120,-55,"177
"
9 25 34 67142,e2001d8712401320d4a0,-49,"171
"
9 25 34 67159,e2001d8712461320db93,-55,"171
"
9 25 34 67175,e2001d8712461320db93,-55,"171
"
9 25 34 67191,e2001d8712401320d4a0,-52,"174
"
9 25 34 67208,e2001d8712461320db93,-55,"174
"
9 25 34 67225,e2001d8712401320d4a0,-52,"171
"
9 25 34 67242,e2001d8712171320c120,-56,"165
"
9 25 34 67242,e2001d8712171320c120,-56,"165
"
9 25 34 67275,e2001d8712171320c120,-57,"171
"
9 25 34 67292,e2001d8712401320d4a0,-52,"174
"
9 25 34 67308,e2001d8712461320db93,-55,"171
"
9 25 34 67308,e2001d8712461320db93,-55,"171
"
9 25 34 67342,e2001d8712171320c120,-57,"171
"
9 25 34 67359,e2001d8712401320d4a0,-52,"174
"
9 25 34 67392,e2001d8712401320d4a0,-52,"171
"
9 25 34 67409,e2001d8712461320db93,-52,"174
"
9 25 34 67441,e2001d8712171320c120,-55,"171
"
9 25 34 67459,e2001d8712401320d4a0,-49,"174
"
