time,id,RSSI,phase
9 24 55 28239,e2001d8712401320d4a0,-49,"174
"
9 24 55 28256,e2001d871271320b9f,-51,"171
"
9 24 55 28290,e2001d8712401320d4a0,-49,"174
"
9 24 55 28306,e2001d8712171320c120,-50,"171
"
9 24 55 28322,e2001d871271320b9f,-51,"171
"
9 24 55 28356,e2001d8712171320c120,-51,"168
"
9 24 55 28372,e2001d8712401320d4a0,-49,"171
"
9 24 55 28405,e2001d871271320b9f,-53,"171
"
9 24 55 28423,e2001d8712401320d4a0,-49,"171
"
9 24 55 28440,e2001d8712171320c120,-52,"171
"
9 24 55 28440,e2001d8712171320c120,-52,"171
"
9 24 55 28440,e2001d8712171320c120,-52,"171
"
9 24 55 28506,e2001d8712171320c120,-51,"168
"
9 24 55 28524,e2001d871271320b9f,-52,"171
"
9 24 55 28540,e2001d8712401320d4a0,-49,"171
"
9 24 55 28540,e2001d8712401320d4a0,-49,"171
"
9 24 55 28573,e2001d8712461320db93,-57,"171
"
9 24 55 28590,e2001d8712401320d4a0,-49,"171
"
9 24 55 28640,e2001d8712401320d4a0,-49,"174
"
9 24 55 28656,e2001d8712171320c120,-51,"174
"
9 24 55 28672,e2001d8712461320db93,-58,"171
"
9 24 55 28690,e2001d871271320b9f,-53,"174
"
9 24 55 28690,e2001d871271320b9f,-53,"174
"
9 24 55 28724,e2001d8712461320db93,-58,"174
"
9 24 55 28740,e2001d8712171320c120,-49,"174
"
9 24 55 28774,e2001d8712401320d4a0,-49,"171
"
9 24 55 28774,e2001d8712401320d4a0,-49,"171
"
9 24 55 28806,e2001d8712171320c120,-49,"171
"
9 24 55 28823,e2001d871271320b9f,-51,"174
"
9 24 55 28823,e2001d871271320b9f,-51,"174
"
9 24 55 28856,e2001d8712171320c120,-49,"174
"
9 24 56 28873,e2001d8712401320d4a0,-49,"174
"
9 24 56 28873,e2001d8712401320d4a0,-49,"174
"
9 24 56 28940,e2001d8712171320c120,-49,"174
"
9 24 56 28957,e2001d8712401320d4a0,-49,"171
"
9 24 56 28974,e2001d871271320b9f,-51,"171
"
9 24 56 28990,e2001d8712401320d4a0,-49,"174
"
9 24 56 29007,e2001d8712171320c120,-49,"174
"
9 24 56 29007,e2001d8712171320c120,-49,"174
"
9 24 56 29007,e2001d8712171320c120,-49,"174
"
9 24 56 29057,e2001d8712171320c120,-49,"171
"
9 24 56 29074,e2001d871271320b9f,-50,"171
"
9 24 56 29123,e2001d871271320b9f,-51,"171
"
9 24 56 29140,e2001d8712401320d4a0,-49,"168
"
9 24 56 29173,e2001d871271320b9f,-51,"171
"
9 24 56 29190,e2001d8712171320c120,-49,"171
"
9 24 56 29190,e2001d8712171320c120,-49,"171
"
9 24 56 29223,e2001d8712171320c120,-49,"174
"
9 24 56 29240,e2001d8712401320d4a0,-49,"174
"
9 24 56 29273,e2001d8712401320d4a0,-49,"174
"
9 24 56 29289,e2001d871271320b9f,-51,"171
"
9 24 56 29306,e2001d871271320b9f,-52,"171
"
9 24 56 29340,e2001d8712401320d4a0,-49,"174
"
9 24 56 29357,e2001d8712171320c120,-49,"171
"
9 24 56 29407,e2001d871271320b9f,-55,"171
"
9 24 56 29423,e2001d8712171320c120,-52,"174
"
9 24 56 29440,e2001d8712401320d4a0,-51,"174
"
9 24 56 29456,e2001d871271320b9f,-55,"174
"
9 24 56 29473,e2001d8712171320c120,-51,"174
"
9 24 56 29490,e2001d8712401320d4a0,-51,"174
"
9 24 56 29506,e2001d871271320b9f,-57,"168
"
9 24 56 29506,e2001d871271320b9f,-57,"168
"
9 24 56 29540,e2001d8712171320c120,-52,"174
"
9 24 56 29556,e2001d8712401320d4a0,-52,"171
"
9 24 56 29556,e2001d8712401320d4a0,-52,"171
"
9 24 56 29556,e2001d8712401320d4a0,-52,"171
"
9 24 56 29607,e2001d8712401320d4a0,-52,"174
"
9 24 56 29623,e2001d8712171320c120,-51,"171
"
9 24 56 29623,e2001d8712171320c120,-51,"171
"
9 24 56 29657,e2001d8712171320c120,-51,"171
"
9 24 56 29674,e2001d8712401320d4a0,-51,"174
"
9 24 56 29690,e2001d871271320b9f,-57,"174
"
9 24 56 29690,e2001d871271320b9f,-57,"174
"
9 24 56 29723,e2001d8712401320d4a0,-52,"174
"
9 24 56 29739,e2001d8712171320c120,-51,"171
"
9 24 56 29789,e2001d8712401320d4a0,-55,"171
"
9 24 56 29806,e2001d8712171320c120,-51,"171
"
9 24 56 29806,e2001d8712171320c120,-51,"171
"
9 24 56 29806,e2001d8712171320c120,-51,"171
"
9 24 56 29857,e2001d8712401320d4a0,-56,"171
"
9 24 57 29872,e2001d8712171320c120,-51,"171
"
9 24 57 29889,e2001d871271320b9f,-57,"168
"
9 24 57 29889,e2001d871271320b9f,-57,"168
"
9 24 57 29923,e2001d8712171320c120,-52,"171
"
9 24 57 29939,e2001d871271320b9f,-57,"168
"
9 24 57 29957,e2001d8712401320d4a0,-56,"171
"
9 24 57 29973,e2001d8712171320c120,-52,"171
"
9 24 57 29989,e2001d8712401320d4a0,-56,"174
"
9 24 57 30006,e2001d871271320b9f,-58,"174
"
9 24 57 30006,e2001d871271320b9f,-58,"174
"
9 24 57 30056,e2001d871271320b9f,-58,"171
"
9 24 57 30073,e2001d8712401320d4a0,-53,"174
"
9 24 57 30089,e2001d8712171320c120,-51,"174
"
9 24 57 30106,e2001d871271320b9f,-55,"171
"
9 24 57 30123,e2001d8712171320c120,-51,"171
"
9 24 57 30140,e2001d8712401320d4a0,-52,"174
"
9 24 57 30156,e2001d871271320b9f,-55,"171
"
9 24 57 30190,e2001d8712401320d4a0,-52,"174
"
9 24 57 30206,e2001d871271320b9f,-53,"171
"
9 24 57 30223,e2001d871271320b9f,-55,"174
"
9 24 57 30240,e2001d8712171320c120,-50,"171
"
9 24 57 30257,e2001d8712401320d4a0,-53,"171
"
9 24 57 30257,e2001d8712401320d4a0,-53,"171
"
9 24 57 30290,e2001d8712171320c120,-51,"174
"
9 24 57 30307,e2001d8712401320d4a0,-55,"174
"
9 24 57 30323,e2001d871271320b9f,-51,"174
"
9 24 57 30357,e2001d871271320b9f,-53,"171
"
9 24 57 30373,e2001d8712171320c120,-52,"174
"
9 24 57 30389,e2001d8712401320d4a0,-55,"171
"
9 24 57 30406,e2001d8712401320d4a0,-57,"174
"
9 24 57 30423,e2001d8712171320c120,-51,"168
"
9 24 57 30456,e2001d871271320b9f,-52,"174
"
