time,id,RSSI,phase
9 25 38 71058,e2001d8712171320c120,-55,"171
"
9 25 38 71074,e2001d8712461320db93,-53,"174
"
9 25 38 71092,e2001d8712401320d4a0,-51,"174
"
9 25 38 71107,e2001d8712461320db93,-53,"171
"
9 25 38 71125,e2001d8712171320c120,-55,"168
"
9 25 38 71125,e2001d8712171320c120,-55,"168
"
9 25 38 71125,e2001d8712171320c120,-55,"168
"
9 25 38 71175,e2001d8712461320db93,-55,"174
"
9 25 38 71209,e2001d8712401320d4a0,-49,"174
"
9 25 38 71258,e2001d8712401320d4a0,-52,"168
"
9 25 38 71275,e2001d8712171320c120,-57,"174
"
9 25 38 71275,e2001d8712171320c120,-57,"174
"
9 25 38 71308,e2001d8712171320c120,-57,"174
"
9 25 38 71325,e2001d8712401320d4a0,-52,"174
"
9 25 38 71341,e2001d8712461320db93,-55,"171
"
9 25 38 71359,e2001d8712401320d4a0,-52,"174
"
9 25 38 71375,e2001d8712171320c120,-57,"174
"
9 25 38 71375,e2001d8712171320c120,-57,"174
"
9 25 38 71375,e2001d8712171320c120,-57,"174
"
9 25 38 71425,e2001d8712461320db93,-55,"174
"
9 25 38 71459,e2001d8712461320db93,-52,"174
"
9 25 38 71491,e2001d8712461320db93,-55,"174
"
9 25 38 71507,e2001d8712171320c120,-57,"165
"
9 25 38 71507,e2001d8712171320c120,-57,"165
"
9 25 38 71541,e2001d8712171320c120,-57,"171
"
9 25 38 71557,e2001d8712401320d4a0,-52,"174
"
9 25 38 71608,e2001d8712461320db93,-53,"174
"
9 25 38 71624,e2001d8712171320c120,-55,"171
"
9 25 38 71641,e2001d8712461320db93,-55,"174
"
9 25 38 71658,e2001d8712401320d4a0,-52,"177
"
9 25 38 71708,e2001d8712171320c120,-57,"174
"
9 25 38 71725,e2001d8712401320d4a0,-52,"171
"
9 25 38 71742,e2001d8712171320c120,-56,"171
"
9 25 38 71759,e2001d8712401320d4a0,-53,"174
"
9 25 38 71792,e2001d8712461320db93,-55,"171
"
9 25 38 71792,e2001d8712461320db93,-55,"171
"
9 25 38 71825,e2001d8712171320c120,-55,"171
"
9 25 38 71842,e2001d8712401320d4a0,-51,"171
"
9 25 38 71858,e2001d8712401320d4a0,-51,"174
"
9 25 39 71874,e2001d8712461320db93,-55,"174
"
9 25 39 71892,e2001d8712171320c120,-55,"171
"
9 25 39 71892,e2001d8712171320c120,-55,"171
"
9 25 39 71925,e2001d8712171320c120,-55,"174
"
9 25 39 71941,e2001d8712401320d4a0,-52,"171
"
9 25 39 71958,e2001d8712461320db93,-56,"174
"
9 25 39 71992,e2001d8712401320d4a0,-51,"174
"
9 25 39 72008,e2001d8712171320c120,-55,"171
"
9 25 39 72025,e2001d8712461320db93,-58,"174
"
9 25 39 72025,e2001d8712461320db93,-58,"174
"
9 25 39 72059,e2001d8712401320d4a0,-52,"174
"
9 25 39 72076,e2001d8712171320c120,-55,"177
"
9 25 39 72092,e2001d8712461320db93,-58,"177
"
9 25 39 72092,e2001d8712461320db93,-58,"177
"
9 25 39 72125,e2001d8712171320c120,-55,"171
"
9 25 39 72142,e2001d8712401320d4a0,-51,"171
"
9 25 39 72176,e2001d8712461320db93,-57,"174
"
9 25 39 72191,e2001d8712401320d4a0,-51,"171
"
9 25 39 72225,e2001d8712401320d4a0,-52,"174
"
9 25 39 72242,e2001d8712171320c120,-55,"171
"
9 25 39 72258,e2001d8712461320db93,-55,"171
"
9 25 39 72275,e2001d8712461320db93,-55,"171
"
9 25 39 72291,e2001d8712401320d4a0,-52,"174
"
9 25 39 72309,e2001d8712171320c120,-55,"171
"
9 25 39 72309,e2001d8712171320c120,-55,"171
"
9 25 39 72309,e2001d8712171320c120,-55,"171
"
9 25 39 72359,e2001d8712171320c120,-56,"174
"
9 25 39 72374,e2001d8712401320d4a0,-52,"174
"
9 25 39 72409,e2001d8712461320db93,-52,"165
"
9 25 39 72425,e2001d8712171320c120,-55,"171
"
9 25 39 72458,e2001d8712461320db93,-53,"174
"
9 25 39 72475,e2001d8712401320d4a0,-51,"171
"
9 25 39 72508,e2001d8712171320c120,-53,"174
"
9 25 39 72525,e2001d8712401320d4a0,-51,"171
"
9 25 39 72541,e2001d8712401320d4a0,-51,"174
"
9 25 39 72558,e2001d8712171320c120,-55,"171
"
9 25 39 72592,e2001d8712401320d4a0,-50,"174
"
9 25 39 72609,e2001d8712171320c120,-55,"174
"
9 25 39 72625,e2001d8712401320d4a0,-51,"174
"
9 25 39 72642,e2001d8712461320db93,-55,"171
"
9 25 39 72658,e2001d8712171320c120,-55,"171
"
9 25 39 72658,e2001d8712171320c120,-55,"171
"
9 25 39 72692,e2001d8712401320d4a0,-51,"171
"
9 25 39 72725,e2001d8712461320db93,-53,"174
"
9 25 39 72741,e2001d8712171320c120,-55,"174
"
9 25 39 72759,e2001d8712401320d4a0,-52,"168
"
9 25 39 72775,e2001d8712171320c120,-53,"171
"
9 25 39 72792,e2001d8712461320db93,-53,"174
"
9 25 39 72808,e2001d8712401320d4a0,-52,"174
"
9 25 39 72808,e2001d8712401320d4a0,-52,"174
"
9 25 39 72859,e2001d8712461320db93,-53,"171
"
9 25 40 72908,e2001d8712171320c120,-55,"168
"
9 25 40 72926,e2001d8712461320db93,-55,"171
"
9 25 40 72958,e2001d8712171320c120,-55,"168
"
9 25 40 72975,e2001d8712401320d4a0,-52,"171
"
9 25 40 72992,e2001d8712461320db93,-55,"171
"
9 25 40 73008,e2001d8712401320d4a0,-52,"171
"
9 25 40 73008,e2001d8712401320d4a0,-52,"171
"
9 25 40 73042,e2001d8712171320c120,-55,"171
"
9 25 40 73058,e2001d8712461320db93,-55,"174
"
9 25 40 73075,e2001d8712461320db93,-55,"171
"
9 25 40 73092,e2001d8712401320d4a0,-52,"174
"
9 25 40 73108,e2001d8712171320c120,-55,"168
"
9 25 40 73108,e2001d8712171320c120,-55,"168
"
9 25 40 73108,e2001d8712171320c120,-55,"168
"
9 25 40 73159,e2001d8712401320d4a0,-52,"171
"
9 25 40 73175,e2001d8712461320db93,-53,"171
"
9 25 40 73209,e2001d8712461320db93,-55,"171
"
9 25 40 73225,e2001d8712171320c120,-56,"171
"
9 25 40 73242,e2001d8712401320d4a0,-52,"171
"
9 25 40 73258,e2001d8712461320db93,-55,"171
"
9 25 40 73258,e2001d8712461320db93,-55,"171
"
9 25 40 73292,e2001d8712461320db93,-55,"171
"
9 25 40 73308,e2001d8712401320d4a0,-52,"171
"
9 25 40 73359,e2001d8712401320d4a0,-52,"171
"
9 25 40 73375,e2001d8712461320db93,-55,"174
"
9 25 40 73409,e2001d8712401320d4a0,-52,"171
"
9 25 40 73426,e2001d8712461320db93,-53,"171
"
9 25 40 73459,e2001d8712461320db93,-53,"171
"
9 25 40 73492,e2001d8712461320db93,-55,"174
"
9 25 40 73508,e2001d8712401320d4a0,-52,"165
"
9 25 40 73542,e2001d8712401320d4a0,-52,"174
"
9 25 40 73558,e2001d8712461320db93,-55,"174
"
9 25 40 73575,e2001d8712171320c120,-55,"174
"
9 25 40 73591,e2001d8712461320db93,-55,"168
"
9 25 40 73609,e2001d8712401320d4a0,-52,"174
"
9 25 40 73625,e2001d8712171320c120,-55,"174
"
9 25 40 73642,e2001d8712401320d4a0,-52,"174
"
9 25 40 73658,e2001d8712171320c120,-55,"171
"
9 25 40 73658,e2001d8712171320c120,-55,"171
"
