time,id,RSSI,phase
9 25 16 49074,e2001d8712401320d4a0,-55,"168
"
9 25 16 49091,e2001d8712171320c120,-55,"171
"
9 25 16 49108,e2001d8712461320db93,-55,"168
"
9 25 16 49124,e2001d8712171320c120,-55,"168
"
9 25 16 49124,e2001d8712171320c120,-55,"168
"
9 25 16 49158,e2001d8712171320c120,-55,"168
"
9 25 16 49174,e2001d8712401320d4a0,-52,"174
"
9 25 16 49190,e2001d8712461320db93,-53,"168
"
9 25 16 49190,e2001d8712461320db93,-53,"168
"
9 25 16 49223,e2001d8712461320db93,-53,"174
"
9 25 16 49241,e2001d8712171320c120,-55,"177
"
9 25 16 49275,e2001d8712461320db93,-52,"171
"
9 25 16 49290,e2001d8712171320c120,-56,"171
"
9 25 16 49290,e2001d8712171320c120,-56,"171
"
9 25 16 49324,e2001d8712401320d4a0,-52,"171
"
9 25 16 49340,e2001d8712171320c120,-55,"174
"
9 25 16 49358,e2001d8712461320db93,-52,"171
"
9 25 16 49408,e2001d8712461320db93,-55,"171
"
9 25 16 49424,e2001d8712401320d4a0,-50,"174
"
9 25 16 49458,e2001d8712461320db93,-55,"168
"
9 25 16 49474,e2001d8712171320c120,-52,"171
"
9 25 16 49474,e2001d8712171320c120,-52,"171
"
9 25 16 49508,e2001d8712171320c120,-55,"174
"
9 25 16 49525,e2001d8712461320db93,-55,"168
"
9 25 16 49574,e2001d8712171320c120,-53,"171
"
9 25 16 49591,e2001d8712461320db93,-55,"174
"
9 25 16 49608,e2001d8712461320db93,-55,"174
"
9 25 16 49624,e2001d8712401320d4a0,-50,"171
"
9 25 16 49674,e2001d8712461320db93,-55,"171
"
9 25 16 49691,e2001d8712401320d4a0,-50,"171
"
9 25 16 49707,e2001d8712171320c120,-55,"174
"
9 25 16 49723,e2001d8712461320db93,-55,"171
"
9 25 16 49741,e2001d8712401320d4a0,-49,"171
"
9 25 16 49741,e2001d8712401320d4a0,-49,"171
"
9 25 16 49774,e2001d8712171320c120,-55,"171
"
9 25 16 49791,e2001d8712401320d4a0,-51,"171
"
9 25 16 49825,e2001d8712461320db93,-55,"171
"
9 25 16 49841,e2001d8712171320c120,-55,"171
"
9 25 16 49857,e2001d8712401320d4a0,-52,"174
"
9 25 16 49857,e2001d8712401320d4a0,-52,"174
"
9 25 17 49891,e2001d8712461320db93,-55,"174
"
9 25 17 49907,e2001d8712401320d4a0,-51,"171
"
9 25 17 49941,e2001d8712461320db93,-55,"171
"
9 25 17 49957,e2001d8712401320d4a0,-51,"174
"
9 25 17 49957,e2001d8712401320d4a0,-51,"174
"
9 25 17 49990,e2001d8712171320c120,-55,"171
"
9 25 17 50006,e2001d8712401320d4a0,-51,"171
"
9 25 17 50041,e2001d8712461320db93,-53,"171
"
9 25 17 50057,e2001d8712171320c120,-55,"174
"
9 25 17 50074,e2001d8712401320d4a0,-52,"171
"
9 25 17 50091,e2001d8712171320c120,-55,"171
"
9 25 17 50124,e2001d8712461320db93,-53,"174
"
9 25 17 50140,e2001d8712401320d4a0,-51,"174
"
9 25 17 50156,e2001d8712401320d4a0,-51,"168
"
9 25 17 50156,e2001d8712401320d4a0,-51,"168
"
9 25 17 50207,e2001d8712171320c120,-55,"174
"
9 25 17 50224,e2001d8712461320db93,-53,"171
"
9 25 17 50241,e2001d8712461320db93,-55,"174
"
9 25 17 50258,e2001d8712401320d4a0,-51,"174
"
9 25 17 50275,e2001d8712171320c120,-55,"174
"
9 25 17 50292,e2001d8712461320db93,-55,"174
"
9 25 17 50292,e2001d8712461320db93,-55,"174
"
9 25 17 50324,e2001d8712171320c120,-55,"174
"
9 25 17 50341,e2001d8712401320d4a0,-51,"174
"
9 25 17 50341,e2001d8712401320d4a0,-51,"174
"
9 25 17 50374,e2001d8712171320c120,-55,"168
"
9 25 17 50391,e2001d8712401320d4a0,-50,"171
"
9 25 17 50424,e2001d8712171320c120,-55,"174
"
9 25 17 50441,e2001d8712461320db93,-55,"171
"
9 25 17 50458,e2001d8712461320db93,-55,"168
"
9 25 17 50475,e2001d8712401320d4a0,-53,"171
"
9 25 17 50491,e2001d8712171320c120,-55,"171
"
9 25 17 50507,e2001d8712401320d4a0,-53,"171
"
9 25 17 50524,e2001d8712461320db93,-53,"174
"
9 25 17 50541,e2001d8712171320c120,-55,"174
"
9 25 17 50541,e2001d8712171320c120,-55,"174
"
9 25 17 50575,e2001d8712461320db93,-53,"174
"
9 25 17 50591,e2001d8712401320d4a0,-53,"171
"
9 25 17 50607,e2001d8712171320c120,-55,"171
"
9 25 17 50607,e2001d8712171320c120,-55,"171
"
9 25 17 50658,e2001d8712171320c120,-55,"171
"
9 25 17 50675,e2001d8712401320d4a0,-53,"174
"
9 25 17 50707,e2001d8712461320db93,-55,"174
"
9 25 17 50723,e2001d8712171320c120,-55,"171
"
9 25 17 50741,e2001d8712461320db93,-53,"168
"
9 25 17 50741,e2001d8712461320db93,-53,"168
"
9 25 17 50774,e2001d8712401320d4a0,-52,"171
"
9 25 17 50791,e2001d8712401320d4a0,-50,"174
"
9 25 17 50791,e2001d8712401320d4a0,-50,"174
"
9 25 17 50857,e2001d8712461320db93,-55,"174
"
9 25 18 50874,e2001d8712401320d4a0,-51,"171
"
9 25 18 50907,e2001d871271320b9f,-57,"171
"
9 25 18 50923,e2001d8712461320db93,-53,"174
"
9 25 18 50941,e2001d8712401320d4a0,-51,"174
"
9 25 18 50975,e2001d8712401320d4a0,-51,"171
"
9 25 18 50992,e2001d8712461320db93,-55,"174
"
9 25 18 51024,e2001d871271320b9f,-58,"171
"
9 25 18 51041,e2001d8712171320c120,-53,"174
"
9 25 18 51056,e2001d8712461320db93,-55,"171
"
9 25 18 51074,e2001d8712171320c120,-53,"168
"
9 25 18 51108,e2001d8712401320d4a0,-49,"174
"
9 25 18 51124,e2001d8712461320db93,-55,"168
"
9 25 18 51140,e2001d8712171320c120,-55,"174
"
9 25 18 51157,e2001d8712401320d4a0,-52,"171
"
9 25 18 51174,e2001d8712461320db93,-55,"174
"
9 25 18 51190,e2001d8712461320db93,-55,"168
"
9 25 18 51207,e2001d8712171320c120,-55,"174
"
9 25 18 51225,e2001d8712401320d4a0,-52,"174
"
9 25 18 51241,e2001d8712171320c120,-55,"171
"
9 25 18 51241,e2001d8712171320c120,-55,"171
"
9 25 18 51275,e2001d8712461320db93,-55,"174
"
9 25 18 51291,e2001d8712401320d4a0,-52,"168
"
9 25 18 51306,e2001d8712171320c120,-55,"168
"
9 25 18 51324,e2001d8712401320d4a0,-52,"174
"
9 25 18 51341,e2001d8712461320db93,-53,"171
"
9 25 18 51358,e2001d8712401320d4a0,-52,"174
"
9 25 18 51391,e2001d8712461320db93,-55,"174
"
9 25 18 51425,e2001d8712401320d4a0,-51,"174
"
