time,id,RSSI,phase
9 25 42 75224,e2001d8712401320d4a0,-51,"177
"
9 25 42 75224,e2001d8712401320d4a0,-51,"177
"
9 25 42 75258,e2001d8712171320c120,-55,"177
"
9 25 42 75274,e2001d8712461320db93,-52,"171
"
9 25 42 75291,e2001d8712401320d4a0,-51,"174
"
9 25 42 75308,e2001d8712461320db93,-55,"174
"
9 25 42 75325,e2001d8712171320c120,-55,"174
"
9 25 42 75325,e2001d8712171320c120,-55,"174
"
9 25 42 75325,e2001d8712171320c120,-55,"174
"
9 25 42 75375,e2001d8712401320d4a0,-51,"171
"
9 25 42 75392,e2001d8712171320c120,-53,"174
"
9 25 42 75441,e2001d8712401320d4a0,-52,"171
"
9 25 42 75459,e2001d8712171320c120,-55,"174
"
9 25 42 75475,e2001d8712461320db93,-55,"171
"
9 25 42 75491,e2001d8712461320db93,-55,"174
"
9 25 42 75509,e2001d8712171320c120,-55,"168
"
9 25 42 75525,e2001d8712401320d4a0,-52,"174
"
9 25 42 75541,e2001d8712401320d4a0,-52,"171
"
9 25 42 75541,e2001d8712401320d4a0,-52,"171
"
9 25 42 75575,e2001d8712461320db93,-55,"174
"
9 25 42 75592,e2001d8712171320c120,-55,"174
"
9 25 42 75625,e2001d8712461320db93,-55,"171
"
9 25 42 75641,e2001d8712401320d4a0,-52,"177
"
9 25 42 75658,e2001d8712171320c120,-55,"168
"
9 25 42 75675,e2001d8712401320d4a0,-52,"174
"
9 25 42 75692,e2001d8712171320c120,-55,"174
"
9 25 42 75709,e2001d8712461320db93,-55,"174
"
9 25 42 75726,e2001d8712401320d4a0,-52,"174
"
9 25 42 75742,e2001d8712461320db93,-55,"171
"
9 25 42 75758,e2001d8712171320c120,-55,"171
"
9 25 42 75758,e2001d8712171320c120,-55,"171
"
9 25 42 75758,e2001d8712171320c120,-55,"171
"
9 25 42 75809,e2001d8712171320c120,-55,"171
"
9 25 42 75825,e2001d8712171320c120,-55,"168
"
9 25 42 75858,e2001d8712171320c120,-55,"174
"
9 25 43 75874,e2001d8712401320d4a0,-51,"171
"
9 25 43 75892,e2001d8712461320db93,-55,"174
"
9 25 43 75908,e2001d8712401320d4a0,-52,"174
"
9 25 43 75924,e2001d8712171320c120,-55,"174
"
9 25 43 75958,e2001d8712461320db93,-55,"168
"
9 25 43 75958,e2001d8712461320db93,-55,"168
"
9 25 43 75991,e2001d8712401320d4a0,-51,"171
"
9 25 43 76008,e2001d8712171320c120,-55,"168
"
9 25 43 76008,e2001d8712171320c120,-55,"168
"
9 25 43 76042,e2001d8712461320db93,-55,"174
"
9 25 43 76042,e2001d8712461320db93,-55,"174
"
9 25 43 76075,e2001d8712401320d4a0,-51,"174
"
9 25 43 76092,e2001d8712461320db93,-55,"0
"
9 25 43 76125,e2001d8712171320c120,-55,"174
"
9 25 43 76141,e2001d8712461320db93,-55,"174
"
9 25 43 76158,e2001d8712401320d4a0,-51,"174
"
9 25 43 76191,e2001d8712401320d4a0,-51,"171
"
9 25 43 76209,e2001d8712171320c120,-55,"174
"
9 25 43 76224,e2001d8712461320db93,-55,"174
"
9 25 43 76224,e2001d8712461320db93,-55,"174
"
9 25 43 76258,e2001d8712461320db93,-55,"171
"
9 25 43 76275,e2001d8712401320d4a0,-51,"168
"
9 25 43 76291,e2001d8712171320c120,-55,"171
"
9 25 43 76308,e2001d8712461320db93,-55,"174
"
9 25 43 76308,e2001d8712461320db93,-55,"174
"
9 25 43 76342,e2001d8712171320c120,-55,"171
"
9 25 43 76358,e2001d8712401320d4a0,-51,"171
"
9 25 43 76358,e2001d8712401320d4a0,-51,"171
"
9 25 43 76391,e2001d8712401320d4a0,-51,"174
"
