, ,run,activity,time,id,RSSI,phase
62,,1,2,13 38 12 18716,4,-47,171
64,,1,2,13 38 12 18766,4,-49,174
67,,1,2,13 38 12 18816,4,-46,174
70,,1,2,13 38 12 18882,4,-49,171
72,,1,2,13 38 12 18916,4,-47,174
73,,1,2,13 38 12 18932,4,-47,174
77,,1,2,13 38 12 19031,4,-47,174
78,,1,2,13 38 12 19066,4,-47,174
82,,1,2,13 38 13 19166,4,-47,171
84,,1,2,13 38 13 19199,4,-49,174
85,,1,2,13 38 13 19216,4,-49,174
89,,1,2,13 38 13 19300,4,-47,171
90,,1,2,13 38 13 19332,4,-49,174
92,,1,2,13 38 13 19383,4,-49,171
96,,1,2,13 38 13 19482,4,-49,174
99,,1,2,13 38 13 19550,4,-49,171
102,,1,2,13 38 13 19616,4,-49,171
105,,1,2,13 38 13 19682,4,-49,171
109,,1,2,13 38 13 19782,4,-49,171
110,,1,2,13 38 13 19816,4,-49,174
113,,1,2,13 38 13 19866,4,-49,171
117,,1,2,13 38 13 19932,4,-49,174
118,,1,2,13 38 13 19965,4,-49,168
121,,1,2,13 38 13 20015,4,-50,168
124,,1,2,13 38 14 20099,4,-51,174
126,,1,2,13 38 14 20148,4,-51,171
128,,1,2,13 38 14 20183,4,-50,174
130,,1,2,13 38 14 20232,4,-50,168
133,,1,2,13 38 14 20299,4,-49,171
136,,1,2,13 38 14 20366,4,-49,171
139,,1,2,13 38 14 20466,4,-49,171
142,,1,2,13 38 14 20533,4,-49,171
143,,1,2,13 38 14 20565,4,-49,174
206,,1,4,13 38 22 28749,4,-51,174
209,,1,4,13 38 22 28816,4,-51,171
213,,1,4,13 38 22 28916,4,-52,174
216,,1,4,13 38 22 28983,4,-51,174
218,,1,4,13 38 22 29050,4,-52,174
220,,1,4,13 38 23 29083,4,-53,174
222,,1,4,13 38 23 29117,4,-52,174
223,,1,4,13 38 23 29133,4,-53,171
225,,1,4,13 38 23 29166,4,-55,171
228,,1,4,13 38 23 29250,4,-57,174
229,,1,4,13 38 23 29266,4,-56,174
232,,1,4,13 38 23 29333,4,-55,171
234,,1,4,13 38 23 29400,4,-55,174
237,,1,4,13 38 23 29466,4,-53,174
238,,1,4,13 38 23 29483,4,-52,174
241,,1,4,13 38 23 29532,4,-52,174
243,,1,4,13 38 23 29616,4,-51,171
245,,1,4,13 38 23 29649,4,-51,174
248,,1,4,13 38 23 29700,4,-51,174
249,,1,4,13 38 23 29733,4,-51,174
251,,1,4,13 38 23 29766,4,-51,171
253,,1,4,13 38 23 29816,4,-51,174
255,,1,4,13 38 23 29882,4,-50,174
258,,1,4,13 38 23 29965,4,-50,171
262,,1,4,13 38 24 30082,4,-50,171
265,,1,4,13 38 24 30149,4,-51,171
267,,1,4,13 38 24 30217,4,-52,174
272,,1,4,13 38 24 30349,4,-51,171
275,,1,4,13 38 24 30433,4,-51,174
276,,1,4,13 38 24 30483,4,-50,174
278,,1,4,13 38 24 30516,4,-50,171
454,,1,7,13 38 37 43667,4,-52,174
458,,1,7,13 38 37 43783,4,-53,174
460,,1,7,13 38 37 43851,4,-52,174
462,,1,7,13 38 37 43900,4,-52,174
470,,1,7,13 38 38 44116,4,-51,171
