, ,run,activity,time,id,RSSI,phase
61,,1,2,13 38 12 18665,3,-55,177
62,,1,2,13 38 12 18716,4,-47,171
63,,1,2,13 38 12 18732,2,-52,174
64,,1,2,13 38 12 18766,4,-49,174
65,,1,2,13 38 12 18782,3,-53,171
66,,1,2,13 38 12 18799,2,-52,174
67,,1,2,13 38 12 18816,4,-46,174
68,,1,2,13 38 12 18849,2,-52,174
69,,1,2,13 38 12 18865,2,-52,171
70,,1,2,13 38 12 18882,4,-49,171
71,,1,2,13 38 12 18898,2,-52,174
72,,1,2,13 38 12 18916,4,-47,174
73,,1,2,13 38 12 18932,4,-47,174
74,,1,2,13 38 12 18966,3,-56,174
75,,1,2,13 38 12 18983,2,-52,174
76,,1,2,13 38 12 19016,3,-55,171
77,,1,2,13 38 12 19031,4,-47,174
78,,1,2,13 38 12 19066,4,-47,174
79,,1,2,13 38 13 19083,2,-52,171
80,,1,2,13 38 13 19116,2,-52,174
81,,1,2,13 38 13 19132,3,-52,174
82,,1,2,13 38 13 19166,4,-47,171
83,,1,2,13 38 13 19183,2,-52,174
84,,1,2,13 38 13 19199,4,-49,174
85,,1,2,13 38 13 19216,4,-49,174
86,,1,2,13 38 13 19233,3,-50,174
87,,1,2,13 38 13 19249,2,-53,171
88,,1,2,13 38 13 19282,2,-53,168
89,,1,2,13 38 13 19300,4,-47,171
90,,1,2,13 38 13 19332,4,-49,174
91,,1,2,13 38 13 19349,2,-55,174
92,,1,2,13 38 13 19383,4,-49,171
93,,1,2,13 38 13 19399,3,-50,168
94,,1,2,13 38 13 19416,2,-57,168
95,,1,2,13 38 13 19465,2,-53,171
96,,1,2,13 38 13 19482,4,-49,174
97,,1,2,13 38 13 19498,3,-55,171
98,,1,2,13 38 13 19533,2,-52,171
99,,1,2,13 38 13 19550,4,-49,171
100,,1,2,13 38 13 19566,3,-56,174
101,,1,2,13 38 13 19599,3,-56,174
102,,1,2,13 38 13 19616,4,-49,171
103,,1,2,13 38 13 19649,2,-53,174
104,,1,2,13 38 13 19665,3,-57,171
105,,1,2,13 38 13 19682,4,-49,171
106,,1,2,13 38 13 19714,2,-55,171
107,,1,2,13 38 13 19732,3,-57,168
108,,1,2,13 38 13 19766,3,-57,174
109,,1,2,13 38 13 19782,4,-49,171
110,,1,2,13 38 13 19816,4,-49,174
111,,1,2,13 38 13 19832,3,-56,171
112,,1,2,13 38 13 19849,3,-58,174
113,,1,2,13 38 13 19866,4,-49,171
114,,1,2,13 38 13 19883,2,-55,174
115,,1,2,13 38 13 19899,3,-56,171
116,,1,2,13 38 13 19916,2,-55,171
117,,1,2,13 38 13 19932,4,-49,174
118,,1,2,13 38 13 19965,4,-49,168
119,,1,2,13 38 13 19982,3,-57,174
120,,1,2,13 38 13 19998,2,-55,174
121,,1,2,13 38 13 20015,4,-50,168
122,,1,2,13 38 13 20033,3,-57,171
123,,1,2,13 38 14 20083,3,-56,174
124,,1,2,13 38 14 20099,4,-51,174
125,,1,2,13 38 14 20132,2,-53,174
126,,1,2,13 38 14 20148,4,-51,171
127,,1,2,13 38 14 20166,3,-57,171
128,,1,2,13 38 14 20183,4,-50,174
129,,1,2,13 38 14 20216,2,-55,174
130,,1,2,13 38 14 20232,4,-50,168
131,,1,2,13 38 14 20249,3,-55,177
132,,1,2,13 38 14 20282,2,-55,174
133,,1,2,13 38 14 20299,4,-49,171
134,,1,2,13 38 14 20316,3,-56,171
135,,1,2,13 38 14 20349,3,-56,174
136,,1,2,13 38 14 20366,4,-49,171
137,,1,2,13 38 14 20399,3,-56,174
138,,1,2,13 38 14 20432,2,-55,177
139,,1,2,13 38 14 20466,4,-49,171
140,,1,2,13 38 14 20483,2,-55,168
141,,1,2,13 38 14 20515,2,-56,174
142,,1,2,13 38 14 20533,4,-49,171
143,,1,2,13 38 14 20565,4,-49,174
144,,1,2,13 38 14 20582,3,-52,171
205,,1,4,13 38 22 28716,3,-55,171
206,,1,4,13 38 22 28749,4,-51,174
207,,1,4,13 38 22 28766,3,-55,174
208,,1,4,13 38 22 28800,2,-52,171
209,,1,4,13 38 22 28816,4,-51,171
210,,1,4,13 38 22 28866,3,-57,177
211,,1,4,13 38 22 28882,2,-52,174
212,,1,4,13 38 22 28899,2,-52,171
213,,1,4,13 38 22 28916,4,-52,174
214,,1,4,13 38 22 28933,3,-57,171
215,,1,4,13 38 22 28966,3,-58,171
216,,1,4,13 38 22 28983,4,-51,174
217,,1,4,13 38 22 29032,2,-52,171
218,,1,4,13 38 22 29050,4,-52,174
219,,1,4,13 38 22 29066,2,-52,171
220,,1,4,13 38 23 29083,4,-53,174
221,,1,4,13 38 23 29099,2,-53,171
222,,1,4,13 38 23 29117,4,-52,174
223,,1,4,13 38 23 29133,4,-53,171
224,,1,4,13 38 23 29150,2,-52,174
225,,1,4,13 38 23 29166,4,-55,171
226,,1,4,13 38 23 29182,2,-53,171
227,,1,4,13 38 23 29233,2,-55,168
228,,1,4,13 38 23 29250,4,-57,174
229,,1,4,13 38 23 29266,4,-56,174
230,,1,4,13 38 23 29283,2,-55,171
