, ,run,activity,time,id,RSSI,phase
5683,,7,1,14 0 28 15992,2,-50,171
5684,,7,1,14 0 28 16025,2,-51,168
5685,,7,1,14 0 28 16042,4,-49,174
5686,,7,1,14 0 28 16060,4,-49,168
5687,,7,1,14 0 28 16076,2,-50,174
5688,,7,1,14 0 28 16093,3,-58,174
5689,,7,1,14 0 28 16142,3,-52,174
5690,,7,1,14 0 28 16176,2,-52,171
5691,,7,1,14 0 28 16193,4,-47,171
5692,,7,1,14 0 28 16209,4,-49,171
5693,,7,1,14 0 28 16226,2,-52,171
5694,,7,1,14 0 28 16243,3,-52,168
5695,,7,1,14 0 28 16260,4,-49,174
5696,,7,1,14 0 28 16276,3,-52,168
5697,,7,1,14 0 28 16293,2,-52,174
5698,,7,1,14 0 28 16325,3,-52,171
5699,,7,1,14 0 29 16359,4,-49,174
5700,,7,1,14 0 29 16376,2,-52,174
5701,,7,1,14 0 29 16393,4,-49,171
5702,,7,1,14 0 29 16410,2,-49,171
5703,,7,1,14 0 29 16426,3,-52,174
5704,,7,1,14 0 29 16443,4,-49,171
5705,,7,1,14 0 29 16477,2,-52,174
5706,,7,1,14 0 29 16492,3,-51,171
5707,,7,1,14 0 29 16510,4,-47,174
5708,,7,1,14 0 29 16542,2,-52,168
5709,,7,1,14 0 29 16559,4,-46,174
5710,,7,1,14 0 29 16576,3,-52,174
5711,,7,1,14 0 29 16593,3,-52,171
5712,,7,1,14 0 29 16608,2,-52,171
5713,,7,1,14 0 29 16626,4,-47,174
5714,,7,1,14 0 29 16660,4,-47,174
5715,,7,1,14 0 29 16692,3,-52,174
5716,,7,1,14 0 29 16710,2,-51,174
5717,,7,1,14 0 29 16743,4,-47,174
5718,,7,1,14 0 29 16760,3,-51,171
5719,,7,1,14 0 29 16793,2,-49,174
5720,,7,1,14 0 29 16810,3,-58,174
5721,,7,1,14 0 29 16827,4,-49,171
5722,,7,1,14 0 29 16843,2,-50,174
5723,,7,1,14 0 29 16860,3,-57,174
5724,,7,1,14 0 29 16893,2,-50,171
5725,,7,1,14 0 29 16910,4,-49,174
5726,,7,1,14 0 29 16926,4,-49,171
5727,,7,1,14 0 29 16943,2,-51,174
5728,,7,1,14 0 29 16976,3,-58,171
5729,,7,1,14 0 29 17009,4,-49,171
5730,,7,1,14 0 29 17026,2,-49,174
5731,,7,1,14 0 29 17060,4,-49,171
5732,,7,1,14 0 29 17076,2,-49,171
5733,,7,1,14 0 29 17093,2,-51,171
5734,,7,1,14 0 29 17110,4,-49,168
5735,,7,1,14 0 29 17125,4,-49,171
5736,,7,1,14 0 29 17142,2,-51,174
5737,,7,1,14 0 29 17160,4,-49,171
5738,,7,1,14 0 29 17193,2,-51,168
5739,,7,1,14 0 29 17226,2,-51,168
5740,,7,1,14 0 29 17243,4,-49,174
5741,,7,1,14 0 29 17260,4,-49,174
5742,,7,1,14 0 29 17276,2,-51,174
5743,,7,1,14 0 29 17309,4,-49,171
5744,,7,1,14 0 29 17326,2,-49,174
5745,,7,1,14 0 30 17360,2,-50,174
5746,,7,1,14 0 30 17376,4,-49,174
5747,,7,1,14 0 30 17393,2,-50,171
5748,,7,1,14 0 30 17409,4,-49,165
5749,,7,1,14 0 30 17459,2,-51,174
5750,,7,1,14 0 30 17475,4,-49,171
5751,,7,1,14 0 30 17510,4,-49,168
5752,,7,1,14 0 30 17525,2,-50,174
5753,,7,1,14 0 30 17542,4,-49,174
5754,,7,1,14 0 30 17559,3,-57,171
5755,,7,1,14 0 30 17576,2,-52,171
5756,,7,1,14 0 30 17593,4,-49,174
5757,,7,1,14 0 30 17610,2,-51,174
5758,,7,1,14 0 30 17626,3,-56,174
5759,,7,1,14 0 30 17643,4,-49,171
5760,,7,1,14 0 30 17660,2,-51,174
5761,,7,1,14 0 30 17676,3,-57,174
5762,,7,1,14 0 30 17709,2,-51,174
5763,,7,1,14 0 30 17726,4,-47,174
5764,,7,1,14 0 30 17743,3,-55,174
5765,,7,1,14 0 30 17776,2,-51,174
5766,,7,1,14 0 30 17793,4,-49,171
5767,,7,1,14 0 30 17810,4,-49,174
5768,,7,1,14 0 30 17827,2,-50,174
5769,,7,1,14 0 30 17843,2,-51,171
5770,,7,1,14 0 30 17860,4,-49,174
5771,,7,1,14 0 30 17893,2,-50,174
5772,,7,1,14 0 30 17910,4,-47,174
5773,,7,1,14 0 30 17925,2,-51,174
5774,,7,1,14 0 30 17943,4,-49,174
5775,,7,1,14 0 30 17960,2,-51,174
5776,,7,1,14 0 30 17975,4,-49,174
5777,,7,1,14 0 30 18009,4,-49,174
5778,,7,1,14 0 30 18027,2,-50,174
5779,,7,1,14 0 30 18043,4,-49,174
5780,,7,1,14 0 30 18077,2,-51,171
5781,,7,1,14 0 30 18110,4,-49,171
5782,,7,1,14 0 30 18126,2,-49,171
5783,,7,1,14 0 30 18143,4,-47,174
5784,,7,1,14 0 30 18160,3,-52,171
5785,,7,1,14 0 30 18177,2,-50,171
5786,,7,1,14 0 30 18192,4,-47,174
5787,,7,1,14 0 30 18209,2,-52,171
5788,,7,1,14 0 30 18226,3,-52,174
5789,,7,1,14 0 30 18243,4,-47,174
5790,,7,1,14 0 30 18276,2,-52,171
5791,,7,1,14 0 30 18293,3,-52,168
5792,,7,1,14 0 30 18326,4,-47,174
5793,,7,2,14 0 32 19826,2,-50,174
5794,,7,2,14 0 32 19860,4,-49,171
5795,,7,2,14 0 32 19876,2,-50,174
5796,,7,2,14 0 32 19927,2,-51,174
5797,,7,2,14 0 32 19943,4,-46,171
5798,,7,2,14 0 32 19976,3,-57,171
5799,,7,2,14 0 32 19993,4,-49,174
5800,,7,2,14 0 32 20026,2,-49,174
5801,,7,2,14 0 32 20043,3,-57,174
5802,,7,2,14 0 32 20077,2,-51,171
5803,,7,2,14 0 32 20093,4,-49,174
5804,,7,2,14 0 32 20127,4,-46,171
5805,,7,2,14 0 32 20142,3,-52,174
5806,,7,2,14 0 32 20160,2,-51,174
5807,,7,2,14 0 32 20176,4,-46,171
5808,,7,2,14 0 32 20193,2,-51,171
5809,,7,2,14 0 32 20209,3,-52,174
5810,,7,2,14 0 32 20261,3,-52,168
5811,,7,2,14 0 32 20276,4,-46,174
5812,,7,2,14 0 32 20309,4,-49,174
