, ,RSSI,Unnamed: 0,activity,id,phase,run,time
69,,-57,69,2,2,174,3,16 46 0 33511
70,,-47,70,2,1,174,3,16 46 0 33527
71,,-49,71,2,1,174,3,16 46 0 33544
72,,-57,72,2,2,171,3,16 46 0 33578
73,,-47,73,2,1,174,3,16 46 0 33610
74,,-58,74,2,2,165,3,16 46 1 33644
75,,-47,75,2,1,174,3,16 46 1 33677
76,,-47,76,2,1,168,3,16 46 1 33728
77,,-47,77,2,1,174,3,16 46 1 33795
78,,-58,78,2,3,174,3,16 46 1 33827
79,,-47,79,2,1,174,3,16 46 1 33843
80,,-49,80,2,1,174,3,16 46 1 33861
81,,-49,81,2,1,171,3,16 46 1 33877
82,,-49,82,2,1,171,3,16 46 1 33927
83,,-49,83,2,1,174,3,16 46 1 33944
84,,-49,84,2,1,174,3,16 46 1 33978
85,,-49,85,2,1,171,3,16 46 1 34011
86,,-49,86,2,1,174,3,16 46 1 34043
87,,-49,87,2,1,171,3,16 46 1 34078
88,,-49,88,2,1,171,3,16 46 1 34110
89,,-49,89,2,1,174,3,16 46 1 34160
90,,-50,90,2,1,174,3,16 46 1 34195
91,,-57,91,2,2,171,3,16 46 1 34228
92,,-57,92,2,3,171,3,16 46 1 34244
93,,-57,93,2,2,174,3,16 46 1 34294
94,,-51,94,2,1,171,3,16 46 1 34310
95,,-51,95,2,1,171,3,16 46 1 34344
96,,-55,96,2,2,174,3,16 46 1 34361
97,,-57,97,2,3,171,3,16 46 1 34411
98,,-51,98,2,1,168,3,16 46 1 34427
99,,-57,99,2,3,171,3,16 46 1 34477
100,,-55,100,2,2,168,3,16 46 1 34511
101,,-55,101,2,2,168,3,16 46 1 34545
102,,-55,102,2,3,174,3,16 46 1 34561
103,,-52,103,2,1,174,3,16 46 1 34578
104,,-55,104,2,3,177,3,16 46 1 34594
105,,-55,105,2,3,171,3,16 46 2 34628
106,,-55,106,2,2,174,3,16 46 2 34644
107,,-52,107,2,1,171,3,16 46 2 34677
108,,-55,108,2,3,171,3,16 46 2 34694
109,,-52,109,2,1,171,3,16 46 2 34728
110,,-55,110,2,2,171,3,16 46 2 34743
111,,-53,111,2,1,174,3,16 46 2 34761
112,,-55,112,2,2,168,3,16 46 2 34777
113,,-52,113,2,1,171,3,16 46 2 34843
114,,-51,114,2,1,171,3,16 46 2 34861
115,,-51,115,2,1,171,3,16 46 2 34894
116,,-55,116,2,2,171,3,16 46 2 34911
117,,-51,117,2,1,171,3,16 46 2 34928
118,,-55,118,2,3,174,3,16 46 2 34945
119,,-55,119,2,2,171,3,16 46 2 34960
120,,-55,120,2,2,171,3,16 46 2 34994
121,,-51,121,2,1,174,3,16 46 2 35011
122,,-58,122,2,3,171,3,16 46 2 35027
123,,-55,123,2,2,180,3,16 46 2 35061
124,,-52,124,2,1,171,3,16 46 2 35077
125,,-52,125,2,1,171,3,16 46 2 35095
126,,-55,126,2,2,174,3,16 46 2 35110
127,,-55,127,2,2,177,3,16 46 2 35145
128,,-51,128,2,1,174,3,16 46 2 35161
129,,-55,129,2,2,171,3,16 46 2 35210
130,,-52,130,2,1,168,3,16 46 2 35226
131,,-53,131,2,1,174,3,16 46 2 35260
132,,-55,132,2,3,171,3,16 46 2 35278
133,,-55,133,2,3,174,3,16 46 2 35311
134,,-55,134,2,2,174,3,16 46 2 35328
135,,-53,135,2,3,168,3,16 46 2 35361
136,,-53,136,2,1,171,3,16 46 2 35394
137,,-55,137,2,3,171,3,16 46 2 35411
138,,-53,138,2,1,171,3,16 46 2 35445
139,,-55,139,2,2,171,3,16 46 2 35478
140,,-55,140,2,3,174,3,16 46 2 35494
141,,-53,141,2,1,171,3,16 46 2 35511
142,,-55,142,2,2,171,3,16 46 2 35527
143,,-56,143,2,3,168,3,16 46 2 35545
144,,-52,144,2,1,171,3,16 46 2 35561
145,,-57,145,2,3,174,3,16 46 2 35593
146,,-53,146,2,2,171,3,16 46 2 35611
147,,-52,147,2,1,168,3,16 46 3 35645
148,,-57,148,2,3,177,3,16 46 3 35661
149,,-52,149,2,1,174,3,16 46 3 35678
150,,-55,150,2,2,171,3,16 46 3 35728
151,,-52,151,2,1,174,3,16 46 3 35761
152,,-55,152,2,2,171,3,16 46 3 35778
153,,-58,153,2,3,171,3,16 46 3 35794
154,,-55,154,2,2,171,3,16 46 3 35810
155,,-52,155,2,1,171,3,16 46 3 35845
156,,-57,156,2,3,174,3,16 46 3 35877
157,,-52,157,2,1,171,3,16 46 3 35893
158,,-53,158,2,2,174,3,16 46 3 35927
159,,-57,159,2,3,174,3,16 46 3 35944
250,,-53,298,4,1,168,3,16 46 16 49179
251,,-53,299,4,1,174,3,16 46 16 49195
252,,-55,300,4,3,174,3,16 46 16 49212
253,,-55,301,4,3,174,3,16 46 16 49262
254,,-53,302,4,1,171,3,16 46 16 49277
255,,-56,303,4,3,174,3,16 46 16 49295
256,,-52,304,4,1,174,3,16 46 16 49310
257,,-52,305,4,1,171,3,16 46 16 49327
258,,-56,306,4,3,171,3,16 46 16 49345
259,,-56,307,4,3,171,3,16 46 16 49378
260,,-52,308,4,1,174,3,16 46 16 49394
261,,-52,309,4,1,171,3,16 46 16 49411
262,,-58,310,4,3,171,3,16 46 16 49428
263,,-52,311,4,1,174,3,16 46 16 49445
264,,-52,312,4,1,174,3,16 46 16 49478
265,,-52,313,4,1,171,3,16 46 16 49511
266,,-52,314,4,1,171,3,16 46 16 49545
267,,-52,315,4,1,174,3,16 46 16 49562
268,,-52,316,4,1,174,3,16 46 16 49612
269,,-52,317,4,1,171,3,16 46 17 49628
270,,-52,318,4,1,174,3,16 46 17 49660
271,,-53,319,4,1,171,3,16 46 17 49710
272,,-53,320,4,1,174,3,16 46 17 49745
273,,-53,321,4,1,174,3,16 46 17 49778
274,,-53,322,4,1,174,3,16 46 17 49810
275,,-53,323,4,1,171,3,16 46 17 49844
276,,-55,324,4,1,174,3,16 46 17 49878
277,,-55,325,4,1,174,3,16 46 17 49911
278,,-55,326,4,1,168,3,16 46 17 49945
279,,-55,327,4,1,174,3,16 46 17 49978
280,,-55,328,4,1,174,3,16 46 17 50011
281,,-55,329,4,1,171,3,16 46 17 50045
282,,-55,330,4,1,171,3,16 46 17 50079
283,,-55,331,4,1,171,3,16 46 17 50095
284,,-55,332,4,1,174,3,16 46 17 50112
285,,-55,333,4,1,171,3,16 46 17 50144
286,,-55,334,4,1,171,3,16 46 17 50178
287,,-55,335,4,1,171,3,16 46 17 50210
288,,-55,336,4,1,174,3,16 46 17 50244
289,,-55,337,4,1,174,3,16 46 17 50279
290,,-55,338,4,1,174,3,16 46 17 50312
291,,-55,339,4,1,180,3,16 46 17 50344
292,,-55,340,4,1,174,3,16 46 17 50361
293,,-55,341,4,1,168,3,16 46 17 50395
294,,-55,342,4,1,174,3,16 46 17 50428
295,,-55,343,4,1,168,3,16 46 17 50461
296,,-55,344,4,1,180,3,16 46 17 50494
297,,-55,345,4,1,174,3,16 46 17 50529
298,,-55,346,4,1,171,3,16 46 17 50561
299,,-57,347,4,1,171,3,16 46 17 50594
300,,-56,348,4,1,174,3,16 46 18 50628
301,,-56,349,4,1,174,3,16 46 18 50677
302,,-57,350,4,3,177,3,16 46 18 50711
303,,-57,351,4,3,174,3,16 46 18 50762
304,,-57,352,4,3,174,3,16 46 18 50794
305,,-58,353,4,3,171,3,16 46 18 50861
306,,-58,354,4,3,174,3,16 46 18 50895
307,,-57,355,4,3,168,3,16 46 18 50928
308,,-58,356,4,3,168,3,16 46 18 50994
309,,-57,357,4,3,171,3,16 46 18 51045
310,,-57,358,4,3,174,3,16 46 18 51079
311,,-57,359,4,3,171,3,16 46 18 51145
312,,-57,360,4,3,168,3,16 46 18 51162
313,,-58,361,4,3,174,3,16 46 18 51196
314,,-58,362,4,3,174,3,16 46 18 51229
478,,-57,526,7,3,168,3,16 46 31 63779
479,,-53,527,7,1,177,3,16 46 31 63796
480,,-57,528,7,3,171,3,16 46 31 63812
481,,-53,529,7,1,171,3,16 46 31 63829
482,,-53,530,7,1,174,3,16 46 31 63846
483,,-57,531,7,3,168,3,16 46 31 63894
484,,-52,532,7,1,177,3,16 46 31 63912
485,,-52,533,7,1,174,3,16 46 31 63944
486,,-52,534,7,1,171,3,16 46 31 63996
487,,-57,535,7,3,171,3,16 46 31 64012
488,,-52,536,7,1,171,3,16 46 31 64029
489,,-52,537,7,1,174,3,16 46 31 64063
490,,-52,538,7,1,174,3,16 46 31 64129
491,,-52,539,7,1,168,3,16 46 31 64163
492,,-52,540,7,1,171,3,16 46 31 64196
493,,-56,541,7,1,171,3,16 46 31 64246
494,,-57,542,7,3,174,3,16 46 31 64263
495,,-57,543,7,1,168,3,16 46 31 64345
496,,-57,544,7,3,171,3,16 46 31 64363
497,,-55,545,7,1,174,3,16 46 31 64379
498,,-57,546,7,2,171,3,16 46 31 64396
499,,-56,547,7,1,174,3,16 46 31 64429
500,,-55,548,7,2,174,3,16 46 31 64445
501,,-55,549,7,2,174,3,16 46 31 64463
502,,-56,550,7,1,171,3,16 46 31 64479
503,,-57,551,7,1,171,3,16 46 31 64512
504,,-55,552,7,2,171,3,16 46 31 64529
505,,-55,553,7,2,171,3,16 46 31 64563
506,,-57,554,7,1,171,3,16 46 31 64579
507,,-55,555,7,2,168,3,16 46 31 64594
508,,-55,556,7,1,174,3,16 46 32 64629
509,,-53,557,7,2,171,3,16 46 32 64646
510,,-56,558,7,2,171,3,16 46 32 64663
511,,-56,559,7,1,171,3,16 46 32 64679
512,,-57,560,7,2,177,3,16 46 32 64696
