, ,RSSI,Unnamed: 0,activity,id,phase,run,time
0,,-49,0,1,1,174,3,16 45 55 28294
1,,-57,1,1,3,171,3,16 45 55 28327
2,,-49,2,1,1,171,3,16 45 55 28360
3,,-57,3,1,3,171,3,16 45 55 28378
4,,-49,4,1,1,171,3,16 45 55 28411
5,,-56,5,1,3,171,3,16 45 55 28427
6,,-49,6,1,1,171,3,16 45 55 28460
7,,-56,7,1,3,168,3,16 45 55 28494
8,,-49,8,1,1,174,3,16 45 55 28511
9,,-49,9,1,1,174,3,16 45 55 28527
10,,-57,10,1,3,168,3,16 45 55 28544
11,,-57,11,1,2,168,3,16 45 55 28578
12,,-49,12,1,1,171,3,16 45 55 28594
13,,-56,13,1,2,171,3,16 45 55 28611
14,,-55,14,1,2,168,3,16 45 56 28660
15,,-49,15,1,1,174,3,16 45 56 28676
16,,-57,16,1,2,174,3,16 45 56 28693
17,,-49,17,1,1,171,3,16 45 56 28710
18,,-57,18,1,2,174,3,16 45 56 28726
19,,-49,19,1,1,174,3,16 45 56 28744
20,,-55,20,1,2,174,3,16 45 56 28777
21,,-49,21,1,1,174,3,16 45 56 28793
22,,-49,22,1,1,168,3,16 45 56 28811
23,,-56,23,1,2,171,3,16 45 56 28827
24,,-49,24,1,1,174,3,16 45 56 28861
25,,-55,25,1,2,174,3,16 45 56 28877
26,,-56,26,1,2,174,3,16 45 56 28911
27,,-49,27,1,1,174,3,16 45 56 28927
28,,-57,28,1,2,174,3,16 45 56 28944
29,,-49,29,1,1,174,3,16 45 56 28961
30,,-49,30,1,1,174,3,16 45 56 28976
31,,-56,31,1,2,174,3,16 45 56 29010
32,,-49,32,1,1,171,3,16 45 56 29043
33,,-57,33,1,2,171,3,16 45 56 29061
34,,-57,34,1,2,171,3,16 45 56 29110
35,,-49,35,1,1,174,3,16 45 56 29127
36,,-49,36,1,1,171,3,16 45 56 29144
37,,-57,37,1,2,174,3,16 45 56 29160
38,,-49,38,1,1,174,3,16 45 56 29194
39,,-57,39,1,2,168,3,16 45 56 29210
40,,-49,40,1,1,174,3,16 45 56 29227
41,,-49,41,1,1,174,3,16 45 56 29260
42,,-49,42,1,1,171,3,16 45 56 29294
43,,-49,43,1,1,174,3,16 45 56 29360
44,,-58,44,1,3,171,3,16 45 56 29410
45,,-58,45,1,3,171,3,16 45 56 29444
46,,-47,46,1,1,174,3,16 45 56 29459
47,,-49,47,1,1,174,3,16 45 56 29478
48,,-47,48,1,1,174,3,16 45 56 29511
49,,-47,49,1,1,171,3,16 45 56 29526
50,,-47,50,1,1,174,3,16 45 56 29594
51,,-47,51,1,1,174,3,16 45 57 29643
52,,-57,52,1,2,174,3,16 45 57 29678
53,,-49,53,1,1,174,3,16 45 57 29710
54,,-58,54,1,2,174,3,16 45 57 29744
55,,-49,55,1,1,174,3,16 45 57 29777
56,,-57,56,1,2,171,3,16 45 57 29794
57,,-57,57,1,2,171,3,16 45 57 29860
58,,-49,58,1,1,174,3,16 45 57 29878
59,,-49,59,1,1,174,3,16 45 57 29910
60,,-57,60,1,2,174,3,16 45 57 29960
61,,-49,61,1,1,171,3,16 45 57 29994
62,,-57,62,1,2,174,3,16 45 57 30028
63,,-49,63,1,1,174,3,16 45 57 30078
64,,-58,64,1,2,174,3,16 45 57 30094
65,,-49,65,1,1,171,3,16 45 57 30144
66,,-57,66,1,2,174,3,16 45 57 30161
67,,-49,67,1,1,168,3,16 45 57 30177
68,,-57,68,1,2,174,3,16 45 57 30194
69,,-57,69,2,2,174,3,16 46 0 33511
70,,-47,70,2,1,174,3,16 46 0 33527
71,,-49,71,2,1,174,3,16 46 0 33544
72,,-57,72,2,2,171,3,16 46 0 33578
73,,-47,73,2,1,174,3,16 46 0 33610
74,,-58,74,2,2,165,3,16 46 1 33644
75,,-47,75,2,1,174,3,16 46 1 33677
76,,-47,76,2,1,168,3,16 46 1 33728
77,,-47,77,2,1,174,3,16 46 1 33795
78,,-58,78,2,3,174,3,16 46 1 33827
79,,-47,79,2,1,174,3,16 46 1 33843
80,,-49,80,2,1,174,3,16 46 1 33861
81,,-49,81,2,1,171,3,16 46 1 33877
82,,-49,82,2,1,171,3,16 46 1 33927
83,,-49,83,2,1,174,3,16 46 1 33944
84,,-49,84,2,1,174,3,16 46 1 33978
85,,-49,85,2,1,171,3,16 46 1 34011
86,,-49,86,2,1,174,3,16 46 1 34043
87,,-49,87,2,1,171,3,16 46 1 34078
88,,-49,88,2,1,171,3,16 46 1 34110
89,,-49,89,2,1,174,3,16 46 1 34160
90,,-50,90,2,1,174,3,16 46 1 34195
91,,-57,91,2,2,171,3,16 46 1 34228
92,,-57,92,2,3,171,3,16 46 1 34244
93,,-57,93,2,2,174,3,16 46 1 34294
94,,-51,94,2,1,171,3,16 46 1 34310
95,,-51,95,2,1,171,3,16 46 1 34344
96,,-55,96,2,2,174,3,16 46 1 34361
97,,-57,97,2,3,171,3,16 46 1 34411
98,,-51,98,2,1,168,3,16 46 1 34427
99,,-57,99,2,3,171,3,16 46 1 34477
100,,-55,100,2,2,168,3,16 46 1 34511
101,,-55,101,2,2,168,3,16 46 1 34545
102,,-55,102,2,3,174,3,16 46 1 34561
103,,-52,103,2,1,174,3,16 46 1 34578
104,,-55,104,2,3,177,3,16 46 1 34594
105,,-55,105,2,3,171,3,16 46 2 34628
106,,-55,106,2,2,174,3,16 46 2 34644
107,,-52,107,2,1,171,3,16 46 2 34677
108,,-55,108,2,3,171,3,16 46 2 34694
109,,-52,109,2,1,171,3,16 46 2 34728
110,,-55,110,2,2,171,3,16 46 2 34743
111,,-53,111,2,1,174,3,16 46 2 34761
112,,-55,112,2,2,168,3,16 46 2 34777
113,,-52,113,2,1,171,3,16 46 2 34843
114,,-51,114,2,1,171,3,16 46 2 34861
115,,-51,115,2,1,171,3,16 46 2 34894
116,,-55,116,2,2,171,3,16 46 2 34911
117,,-51,117,2,1,171,3,16 46 2 34928
118,,-55,118,2,3,174,3,16 46 2 34945
119,,-55,119,2,2,171,3,16 46 2 34960
120,,-55,120,2,2,171,3,16 46 2 34994
121,,-51,121,2,1,174,3,16 46 2 35011
122,,-58,122,2,3,171,3,16 46 2 35027
123,,-55,123,2,2,180,3,16 46 2 35061
124,,-52,124,2,1,171,3,16 46 2 35077
125,,-52,125,2,1,171,3,16 46 2 35095
126,,-55,126,2,2,174,3,16 46 2 35110
127,,-55,127,2,2,177,3,16 46 2 35145
128,,-51,128,2,1,174,3,16 46 2 35161
129,,-55,129,2,2,171,3,16 46 2 35210
130,,-52,130,2,1,168,3,16 46 2 35226
131,,-53,131,2,1,174,3,16 46 2 35260
132,,-55,132,2,3,171,3,16 46 2 35278
133,,-55,133,2,3,174,3,16 46 2 35311
134,,-55,134,2,2,174,3,16 46 2 35328
135,,-53,135,2,3,168,3,16 46 2 35361
136,,-53,136,2,1,171,3,16 46 2 35394
137,,-55,137,2,3,171,3,16 46 2 35411
138,,-53,138,2,1,171,3,16 46 2 35445
139,,-55,139,2,2,171,3,16 46 2 35478
140,,-55,140,2,3,174,3,16 46 2 35494
141,,-53,141,2,1,171,3,16 46 2 35511
142,,-55,142,2,2,171,3,16 46 2 35527
143,,-56,143,2,3,168,3,16 46 2 35545
144,,-52,144,2,1,171,3,16 46 2 35561
145,,-57,145,2,3,174,3,16 46 2 35593
146,,-53,146,2,2,171,3,16 46 2 35611
147,,-52,147,2,1,168,3,16 46 3 35645
148,,-57,148,2,3,177,3,16 46 3 35661
149,,-52,149,2,1,174,3,16 46 3 35678
150,,-55,150,2,2,171,3,16 46 3 35728
151,,-52,151,2,1,174,3,16 46 3 35761
152,,-55,152,2,2,171,3,16 46 3 35778
153,,-58,153,2,3,171,3,16 46 3 35794
154,,-55,154,2,2,171,3,16 46 3 35810
155,,-52,155,2,1,171,3,16 46 3 35845
156,,-57,156,2,3,174,3,16 46 3 35877
157,,-52,157,2,1,171,3,16 46 3 35893
158,,-53,158,2,2,174,3,16 46 3 35927
159,,-57,159,2,3,174,3,16 46 3 35944
160,,-58,208,3,1,174,3,16 46 12 44795
161,,-58,209,3,1,171,3,16 46 12 44860
162,,-57,210,3,1,168,3,16 46 12 45078
163,,-55,211,3,1,174,3,16 46 12 45111
164,,-55,212,3,1,174,3,16 46 12 45144
165,,-55,213,3,1,171,3,16 46 12 45177
166,,-55,214,3,1,174,3,16 46 12 45210
167,,-55,215,3,1,171,3,16 46 12 45244
168,,-55,216,3,1,168,3,16 46 12 45278
169,,-53,217,3,1,171,3,16 46 12 45310
170,,-55,218,3,1,174,3,16 46 12 45345
171,,-55,219,3,1,171,3,16 46 12 45378
172,,-53,220,3,1,171,3,16 46 12 45411
173,,-55,221,3,1,171,3,16 46 12 45445
174,,-53,222,3,1,168,3,16 46 12 45460
175,,-52,223,3,1,174,3,16 46 12 45495
176,,-52,224,3,1,174,3,16 46 12 45527
177,,-53,225,3,1,174,3,16 46 12 45562
178,,-52,226,3,1,168,3,16 46 12 45595
179,,-52,227,3,1,171,3,16 46 13 45628
180,,-52,228,3,1,168,3,16 46 13 45678
181,,-53,229,3,1,171,3,16 46 13 45695
182,,-53,230,3,1,168,3,16 46 13 45760
183,,-56,231,3,3,174,3,16 46 13 45778
184,,-53,232,3,1,171,3,16 46 13 45811
185,,-55,233,3,3,168,3,16 46 13 45828
186,,-55,234,3,3,171,3,16 46 13 45845
187,,-52,235,3,1,174,3,16 46 13 45861
188,,-53,236,3,1,174,3,16 46 13 45878
189,,-55,237,3,3,171,3,16 46 13 45895
190,,-52,238,3,1,174,3,16 46 13 45928
191,,-53,239,3,3,171,3,16 46 13 45944
192,,-52,240,3,1,168,3,16 46 13 45961
193,,-53,241,3,3,171,3,16 46 13 45978
194,,-53,242,3,3,174,3,16 46 13 46010
195,,-52,243,3,1,174,3,16 46 13 46029
196,,-52,244,3,1,174,3,16 46 13 46044
197,,-53,245,3,3,168,3,16 46 13 46061
198,,-52,246,3,3,177,3,16 46 13 46111
199,,-52,247,3,1,174,3,16 46 13 46129
200,,-51,248,3,1,174,3,16 46 13 46160
201,,-55,249,3,3,174,3,16 46 13 46195
202,,-51,250,3,1,171,3,16 46 13 46210
203,,-52,251,3,1,168,3,16 46 13 46228
204,,-55,252,3,3,168,3,16 46 13 46244
205,,-53,253,3,3,171,3,16 46 13 46261
206,,-52,254,3,1,174,3,16 46 13 46277
207,,-55,255,3,3,171,3,16 46 13 46295
208,,-52,256,3,1,174,3,16 46 13 46311
209,,-53,257,3,3,174,3,16 46 13 46328
210,,-53,258,3,1,174,3,16 46 13 46377
211,,-53,259,3,3,171,3,16 46 13 46394
212,,-53,260,3,1,174,3,16 46 13 46411
213,,-53,261,3,3,174,3,16 46 13 46428
214,,-52,262,3,1,174,3,16 46 13 46445
215,,-53,263,3,3,174,3,16 46 13 46460
216,,-55,264,3,3,174,3,16 46 13 46477
217,,-53,265,3,1,168,3,16 46 13 46494
218,,-53,266,3,1,174,3,16 46 13 46544
219,,-53,267,3,3,171,3,16 46 13 46561
220,,-53,268,3,1,168,3,16 46 13 46578
221,,-53,269,3,3,171,3,16 46 13 46595
222,,-53,270,3,3,174,3,16 46 14 46629
223,,-52,271,3,1,171,3,16 46 14 46644
224,,-53,272,3,1,174,3,16 46 14 46661
225,,-52,273,3,3,165,3,16 46 14 46678
226,,-53,274,3,1,171,3,16 46 14 46710
227,,-53,275,3,3,171,3,16 46 14 46728
228,,-52,276,3,3,174,3,16 46 14 46745
229,,-55,277,3,1,174,3,16 46 14 46761
230,,-52,278,3,3,174,3,16 46 14 46794
231,,-53,279,3,3,174,3,16 46 14 46828
232,,-55,280,3,1,171,3,16 46 14 46860
233,,-55,281,3,1,174,3,16 46 14 46894
234,,-52,282,3,3,174,3,16 46 14 46911
235,,-52,283,3,3,171,3,16 46 14 46928
236,,-53,284,3,1,171,3,16 46 14 46945
237,,-52,285,3,3,174,3,16 46 14 46961
238,,-55,286,3,1,174,3,16 46 14 46978
239,,-55,287,3,1,168,3,16 46 14 47011
240,,-52,288,3,3,171,3,16 46 14 47028
241,,-53,289,3,3,168,3,16 46 14 47045
242,,-55,290,3,1,174,3,16 46 14 47078
243,,-55,291,3,1,174,3,16 46 14 47094
244,,-53,292,3,3,168,3,16 46 14 47127
245,,-52,293,3,3,168,3,16 46 14 47144
246,,-55,294,3,1,168,3,16 46 14 47162
247,,-55,295,3,1,174,3,16 46 14 47194
248,,-52,296,3,3,174,3,16 46 14 47212
249,,-55,297,3,1,174,3,16 46 14 47227
250,,-53,298,4,1,168,3,16 46 16 49179
251,,-53,299,4,1,174,3,16 46 16 49195
252,,-55,300,4,3,174,3,16 46 16 49212
253,,-55,301,4,3,174,3,16 46 16 49262
254,,-53,302,4,1,171,3,16 46 16 49277
255,,-56,303,4,3,174,3,16 46 16 49295
256,,-52,304,4,1,174,3,16 46 16 49310
257,,-52,305,4,1,171,3,16 46 16 49327
258,,-56,306,4,3,171,3,16 46 16 49345
259,,-56,307,4,3,171,3,16 46 16 49378
260,,-52,308,4,1,174,3,16 46 16 49394
261,,-52,309,4,1,171,3,16 46 16 49411
262,,-58,310,4,3,171,3,16 46 16 49428
263,,-52,311,4,1,174,3,16 46 16 49445
264,,-52,312,4,1,174,3,16 46 16 49478
265,,-52,313,4,1,171,3,16 46 16 49511
266,,-52,314,4,1,171,3,16 46 16 49545
267,,-52,315,4,1,174,3,16 46 16 49562
268,,-52,316,4,1,174,3,16 46 16 49612
269,,-52,317,4,1,171,3,16 46 17 49628
270,,-52,318,4,1,174,3,16 46 17 49660
271,,-53,319,4,1,171,3,16 46 17 49710
272,,-53,320,4,1,174,3,16 46 17 49745
273,,-53,321,4,1,174,3,16 46 17 49778
274,,-53,322,4,1,174,3,16 46 17 49810
275,,-53,323,4,1,171,3,16 46 17 49844
276,,-55,324,4,1,174,3,16 46 17 49878
277,,-55,325,4,1,174,3,16 46 17 49911
278,,-55,326,4,1,168,3,16 46 17 49945
279,,-55,327,4,1,174,3,16 46 17 49978
280,,-55,328,4,1,174,3,16 46 17 50011
281,,-55,329,4,1,171,3,16 46 17 50045
282,,-55,330,4,1,171,3,16 46 17 50079
283,,-55,331,4,1,171,3,16 46 17 50095
284,,-55,332,4,1,174,3,16 46 17 50112
285,,-55,333,4,1,171,3,16 46 17 50144
286,,-55,334,4,1,171,3,16 46 17 50178
287,,-55,335,4,1,171,3,16 46 17 50210
288,,-55,336,4,1,174,3,16 46 17 50244
289,,-55,337,4,1,174,3,16 46 17 50279
290,,-55,338,4,1,174,3,16 46 17 50312
